bug_id,long_description,label
WINEHQ_APPS_DATABASE-18748,appdb application search type tony hawk find tony hawk pro skater tony hawk pro skater tony hawk pro skater tony hawk underground tony hawks american wasteland tony hawks pro skater tony hawks underground means thps thug twice please merge,0
WINEHQ_APPS_DATABASE-4680,copying pasting registry document slashes appear wysiwyg text interface posted comment,1
WINE-42487,created attachment test file opening attached file notepad samanata font size crashes invalid memory access uniscribe font available debian package fonts deva extra efa cde bafc samanata ttf font broken device table delta format invalid least one records ttx throws exception parsing gpos however native usp works fine,0
WINE-17626,created attachment output installing taxcut wine taxcut installed wine mostly okay except strange msiexec output see attached however trying run get message fixme actctx parse depend manifests could find dependent assembly lmicrosoft mfcloc also pops message box saying taxcut federal installed see businessmgmt getdllhandle even installing msvcr dll using winetricks vcrun make things better love able taxes without windows please let know need debug info happy help testing thanks great product thus far joe,0
WINE-11303,elster official german program required submit income tax statements etc consider rather important nice mostly installs works fine wine one problem left built help seems winhelp work neither screen display help relating currently selected field regular help browser would good fixed download elster free https www elster elfo php thanks joachim,1
WINE-11948,created attachment image showing menu nvidia drivers work correctly games however attached screenshots showing problems background menu image fonts correct server list black boxes hud items,0
WINE-43940,error window comes starting installer staging exits error present wine,0
WINE-24242,http forum winehq org viewtopic php user asked simple download code failed snip simple delphi code uses comobj procedure tform button click sender tobject var xmlhttp variant begin xmlhttp createoleobject msxml xmlhttp xmlhttp open get edit text true xmlhttp send xmlhttp readystate application processmessages memo lines add xmlhttp responsetext end screen cap http netikka net dev ole jpg zipped exe http netikka net dev ole zip click ole error ubuntu wine snip app links simple one uses msxml interface download file click button fails wine log shows err ole cogetclassobject class object could created context winetricks msxml works around gets next problem,0
WINE-10194,since wine also colors gta vice city completely messed attach screenshot demonstration regression testing tracked bug commit commit author roderick colenbrander wined use fragment shader palette conversion hardware hope get fixed soon,0
WINE-39677,created attachment error generated zararadio zararadio radio automation software windows crashes change playlist another use wine ubuntu studio,0
WINE-20533,wine also current git ubuntu intel drivers xorg edgers repository check screenshots,0
WINE-33909,compiling bsd based freebsd hangs gets compiling loader austin pcbsd wine git loader make gcc include include winesrc wall pipe fno strict aliasing wdeclaration statement wstrict prototypes wwrite strings wpointer arith gdwarf fno omit frame pointer usr local include fno builtin main main sed package version wine info plist wine info plist false using gnu make works around austin pcbsd wine git loader gmake sed package version wine info plist wine info plist wine info plist false gcc wine export dynamic section start interp main libs wine lwine libs port libwine port lpthread usr local lib rpath origin libs wine gcc wine installed export dynamic section start interp main libs wine lwine libs port libwine port lpthread usr local lib rpath origin tools relpath usr local bin usr local lib enable new dtags sed bindir usr local bing dlldir usr local lib wineg package string wine wine man wine man wine man false sed bindir usr local bing dlldir usr local lib wineg package string wine wine man wine man wine man false sed bindir usr local bing dlldir usr local lib wineg package string wine wine man wine man wine man false sed bindir usr local bing dlldir usr local lib wineg package string wine wine man wine man wine man false regression introduced,0
WINE-26091,reproduce start finale create new document open existing one click menu option tool smart shape dashed line draw dashed line score variety methods reproduce example windows mac produces dashed line screen printing wine produces solid line circumstances printed real cups printer cups pdf printer producing result time done trace guessing brush hope dupe searched find anything similar dupe finale mentioned please sure add finale affected apps probably added appdb well,1
WINE-13228,running game windowed mode take focus blockland window give focus program throw unhandled page fault read access address happens tread happens different every time debug info taken shows wine console window disappears directly afterwards,0
WINE-29544,since wine starcraft broodwar crashes try click map must kill process distribution fedora full text bug log err seh setup exception record stack overflow bytes thread eip esp stack starcraft broodwar works good fedora wine,0
WINE-10389,metin launch past patch update checker making game unplayable,0
WINE-1503,old bit app crashes every time gets executed afaics two pointers passed scroll getscrollrange function one truncated bits another stays bit wide lpmin lpmax afaics truncation happens function winproc callproc ato winproc callwndproc proc hwnd msg wparam lparam winproc user dll ebp winproc callproc ato func hwnd msg wparam lparam winproc user dll ebp,1
