bug_id,long_description,label
TOOLKIT-391514,when i login to my bank site and use my pin if i tell firefox to remember it the site tells me to use only numbers when i don t tell firefox to remember it no problems i ll try to find the regression range which is between fixing of the million master password dialogs and the master password change it and lose passwords bugs i believe the bug fix for the master password change and lose passwords caused this but i ll find the regression ,1
CORE_GRAVEYARD-119570,i have an applet that creates a modal dialog until it is dismissed all browser windows will not respond to input expected only the applet should not respond to input the rest of that browser window and all other browser windows should continue to behave as usual setting a high severity since it makes the browser appear to have hung ,1
CORE-60486,from bugzilla helper user agent mozilla en win i buildid the onload handler isn t triggered when a html page is first loaded if it s url has an anchor extension on the end to go to a selected point in the document reproducible always steps to reproduce goto http booth lse ac uk test browsers mozilla onload bug html click on first link and see that nothing happens when the page loads go back click on the link again it still doesn t work go back click on the second link and it does work but that is because the url doesn t use an anchor actual results it doesn t execute the defined onload handler expected results displayed an alert box,1
CORE-221866, ,1
CORE-453747, js j function var a var s for var i i s i a i a s for var i s i s i typeof a i assertion failure jsval is void boxed jsval is boolean boxed at jsbuiltins cpp this bug exists on mozilla central and tracemonkey branch based on the sensitivity to the line a s i m guessing the array has to be dense for the assertion to fire ,0
CAMINO_GRAVEYARD-456195,when the bookmark manager is shown or dismissed we need to swap it in and out with the gecko view in the tab chain ,1
SEAMONKEY-243894,error uncaught exception exception component returned failure code x ns error failure nsicontrollers removecontroller nsresult x ns error failure location js frame chrome navigator content navigator js shutdown line data no at startup i create one or two special windows which have the wrong icon mozilla instead of navigator and which don t really work correctly when i close them i get that error ,1
CORE_GRAVEYARD-7229,all the good little girls and boys that i m watching,1
SEAMONKEY-262893, mozilla windows u win en us rv a gecko release w se warning redeclaration of var i source file chrome messenger content searchbar js line column source code for var i i termsarray count i ,1
CORE-501601,created attachment patch,0
CORE-462802,it looks like this code was added in bug the two issues from my point of view it doesn t use the innermost uri from the principal should it it never sends null as the origin instead it kills off the load if the origin is something without a host this doesn t seem to be the code s intent it seems to me that we should factor out the principal origin conversion out somewhere and make it correct there are various abortive attempts at this code in the origin header on post bug as well requesting blocking since it looks to me like we tried to align ourselves with the access control spec here and sorta failed ,1
NSPR-51743,in the pthreads version ptsynch c pr entermonitor makes a pthread mutex trylock call that seems unnecessary ,1
MAILNEWS_CORE-458781, mozilla windows u windows nt en us rv b pre gecko seamonkey a pre home optim default w ksp python runtests py autorun close when done leak threshold after working around bug test pass runtests leaks warning leaked bytes during test execution under threshold set at bytes test pass runtests leaks leaked instance of nsstringbuffer with size bytes remains this leaks appears with any one of these tests running more than one test does not leak additional strings the tests are in content html content test test bug html test bug html test bug html and dom tests mochitest ajax scriptaculous i did not narrow which one s ,1
CORE-226278,user agent mozilla x u linux i en us rv a gecko mozilla firebird build identifier mozilla x u linux i en us rv a gecko mozilla firebird forgive me if i m missing something but browsing through the code it appears that the password cache for http remembers realm hostname and port to determine if it should replay a password to a site that it had seen previously i believe the list should actually be realm hostname port and whether it was a secure site just because a site is on port it does not mean that the site is under ssl an attacker could allow you to enter your password to your secure site then latter during the same browsing session spoof dns for a non ssl version of the same url you hit previously on the same port your browser would happily send your password to them no ssl required i haven t had time to test this theory reproducible didn t try steps to reproduce ,1
SEAMONKEY-241058,crash when visiting hixie s blog http ln hixie ch this is with the trunk i have a stack look like we might be de references a null nscomptr ,1
CORE_GRAVEYARD-40601,from bugzilla helper user agent mozilla en winnt u buildid all rdfserviceimpl getunicoderesource munges non ascii non latin unicode uris by changing every char to a this is problematic we should instead do the munging by converting from unicode to a utf string otherwise many intl uris will all map to the same resource inadvertently reproducible always steps to reproduce do getunicoderesource for two different japanese prunichar uris they will likely map to the same resource even if they are very different actual results this means that we cannot use japanese group names in instant messenger unless we do some ugly utf mangling in our code instead the right place for that to be done is in rdf itself as other people can hit this too in the future ,0
SEAMONKEY-35671,some of the sidebar items don t fit the default panel size width mainly these include the search and investorworld panels i suggest that the width be increased to accommodate the search panel at least ,0
MAILNEWS_CORE-344205,user agent mozilla macintosh u intel mac os x en applewebkit khtml like gecko safari build identifier version alpha ok capability uidplus literal unselect namespace sort multiappend thread orderedsubject thread references x draft i esearch list extended idle urlauth catenate condstore starttls authenticate completed namespace namespace nil shared folders ok namespace completed lsub lsub trash ok lsub completed lsub shared folders ok lsub completed list inbox list noinferiors inbox ok list completed select inbox flags answered flagged deleted draft seen ok permanentflags answered flagged deleted draft seen exists recent ok unseen ok uidvalidity ok uidnext ok urlmech internal ok highestmodseq ok read write select completed uid fetch flags fetch flags seen uid fetch flags seen uid fetch flags seen uid fetch flags uid fetch flags seen uid fetch flags uid fetch flags uid fetch flags seen uid fetch flags seen uid fetch flags seen uid fetch flags seen uid fetch flags seen uid fetch flags uid fetch flags seen uid fetch flags seen uid ok uid fetch completed idle no idle internal error done done bad null command authenticate cram md bad session in wrong state for the command authenticate cram md bad session in wrong state for the command logout bye logout received ok logout completed reproducible always steps to reproduce have the imap server return no to idle command select a message or change a flag client now thinks it s not authenticated which it is need to logout actual results need to logout expected results don t use idle for that session ,1
BUGZILLA-469794,user agent mozilla windows u windows nt en us rv gecko firefox build identifier bugzilla when exporting a buglist to csv in windows k activestate build i get one extra line break for every loop check for each if in template list csv so every bug takes lines per column exported this was not happening when using bugzilla and active state build is this a known issue of tt or other module to fix i had to remove all line breaks and make conditions happen on one line foreach bug bugs bug bug id foreach column displaycolumns colsepchar if column opendate or column changeddate rawcolumn column replace date time bug column date format bug rawcolumn y m d h m s elsif column bug status bug column get status bug column elsif column resolution bug column get resolution bug column end bug column filter csv end end reproducible always steps to reproduce create a search click on csv to export bug list as csv actual results for each bug a column is display every lines expected results columns should be displaying next to each other no below each other ,1
MAILNEWS_CORE-181123,user agent mozilla windows u windows nt en us rv gecko build identifier mozilla windows u windows nt en us rv gecko the mozilla client will never understand such a mime encoded mail it doesn t display it mmsc mgw unique boundary content type text plaincharset utf content location j jmjm uwtw pgpg txt content transfer encoding base sjqgam qbsb d r ihbncgc reproducible always steps to reproduce send an email to your email account with such mime encoding expected results mozilla should have decoded the content and display it as text i know this the worst thing to do to encode text with base but it s the way the nokia mmcs works and it s underanted by most mail client,1
MAILNEWS_CORE-453196,user agent mozilla macintosh u intel mac os x en gb rv gecko firefox build identifier mozilla macintosh u intel mac os x en us rv b pre gecko shredder b pre when replying to a message with an embedded attachment if the original is deleted before sending the reply it hangs with attaching reproducible always steps to reproduce go to inbox open a message with an embedded image reply to it go back to the inbox delete the message being replied to go to compose window and send it actual results it sits there with an attaching dialog it looks like it is trying to find the attachment which has been deleted expected results not totally sure an error would be acceptable but not what the user expects especially since they often don t realise they are working with an attachment i hit this with an embedded graphic in a signature and it took me a while to realise why there was an error this may seem obscure but i think its not uncommon message to start a reply to a message then for some reason not completing it while continuing to work on the inbox including deleting the message being replied to ,1
CAMINO_GRAVEYARD-318146,user agent mozilla macintosh u ppc mac os x mach o en us rv gecko camino b build identifier mozilla macintosh u ppc mac os x mach o en us rv gecko camino b this is related to bug but it seemed sufficiantly different that it should have its own bug basically the problem is that if you have allow saving in the keychain disabled in the preferences the dialog for supplying http authorization still gives a store password in keychain option if you check that option you might be surprised when you next go to that page only to discover that your password is not in fact saved reproducible always steps to reproduce disable save passoword in keychain login to a page that uses http auth check store password in keychain in the dialog quit your browser and go back to the page actual results password isn t saved expected results password should be saved or the save password in keychain checkbox shouldn t be there or it should give you a warning when you try to use it ,1
