long_description,label
demonstration https youtu jbesfysez inxi system host localhost localdomain kernel git bits desktop gnome distro fedora release rawhide machine device desktop system gigabyte product serial mobo gigabyte model serial uefi american megatrends date battery hidpp charge condition cpu quad core intel core mcp speed max mhz graphics card advanced micro devices amd ati vega radeon vega display server wayland org drivers modesettingfbdevvesa resolution opengl renderer radeon vega vega drm git llvm version mesa network card realtek rtl pci express gigabit ethernet controller driver drives hdd total size used info processes uptime min memory client shell bash inxi dmesg output amdgpu gfxhub vmc page fault src ring vmid pasid amdgpu page amdgpu protection fault status drm amdgpu job timedout amdgpu error ring gfx timeout last signaled seq last emitted seq drm hardware hang detected blocks stall,1
created attachment fix mesa update framebuffer visual call osmesa signature mesa update framebuffer visual function changed revision cca breaks build osmesa,0
created attachment test case exempi debian unstable crashes reproducibly run attached corrupted pdf file exempi crash pdf processing file crash pdf dump xmp file crash pdf segmentation fault valgrind gives following information library path debug exempi exempi libs valgrind debug exempi exempi libs exempi crash pdf memcheck memory error detector copyright gnu gpl julian seward using valgrind libvex rerun copyright info command debug exempi exempi libs exempi crash pdf processing file crash pdf dump xmp file crash pdf invalid read size reconciletiff cpp trimtrailingspaces reconciletiff cpp trimtrailingspaces reconciletiff cpp importsingletiff ascii reconciletiff cpp reconciletiff cpp reconciletiff cpp photodatautils import wayexif tiff manager const txmpmeta std allocator int reconciletiff cpp importphotodata tiff manager const iptc manager const psir manager const int txmpmeta std allocator unsigned int reconcilelegacy cpp efbb jpeg metahandler processxmp jpeg handler cpp xmpfiles getxmp txmpmeta std allocator char const unsigned int xmp packetinfo xmpfiles cpp wxmpfiles getxmp wxmpfiles cpp txmpfiles std allocator getxmp txmpmeta std allocator std cxx basic string std allocator xmp packetinfo txmpfiles incl cpp xmp files get new xmp exempi cpp get xmp file char const bool bool main cpp dump xmp main cpp process file main cpp main main cpp address stack malloc recently free process terminating default action signal sigsegv access within mapped region address reconciletiff cpp trimtrailingspaces reconciletiff cpp trimtrailingspaces reconciletiff cpp importsingletiff ascii reconciletiff cpp reconciletiff cpp reconciletiff cpp photodatautils import wayexif tiff manager const txmpmeta std allocator int reconciletiff cpp importphotodata tiff manager const iptc manager const psir manager const int txmpmeta std allocator unsigned int reconcilelegacy cpp efbb jpeg metahandler processxmp jpeg handler cpp xmpfiles getxmp txmpmeta std allocator char const unsigned int xmp packetinfo xmpfiles cpp wxmpfiles getxmp wxmpfiles cpp txmpfiles std allocator getxmp txmpmeta std allocator std cxx basic string std allocator xmp packetinfo txmpfiles incl cpp xmp files get new xmp exempi cpp get xmp file char const bool bool main cpp dump xmp main cpp process file main cpp main main cpp believe happened result stack overflow program main thread unlikely possible try increase size main thread stack using main stacksize flag main thread stack size used run heap summary use exit bytes blocks total heap usage allocs frees bytes allocated leak summary definitely lost bytes blocks indirectly lost bytes blocks possibly lost bytes blocks still reachable bytes blocks suppressed bytes blocks rerun leak check full see details leaked memory counts detected suppressed errors rerun error summary errors contexts suppressed segmentation fault gdb backtrace library path debug exempi exempi libs gdb args debug exempi exempi libs exempi crash pdf reading symbols debug exempi exempi libs exempi done gdb starting program home sliedes scratch afl exempi debug exempi exempi libs exempi crash pdf thread debugging using libthread enabled using host libthread library lib linux gnu libthread processing file crash pdf dump xmp file crash pdf program received signal sigsegv segmentation fault ffff trimtrailingspaces firstchar firstchar entry cdad origlen origlen entry reconciletiff cpp lastchar nothing gdb ffff trimtrailingspaces firstchar firstchar entry cdad origlen origlen entry reconciletiff cpp ffff trimtrailingspaces origlen firstchar cdad reconciletiff cpp trimtrailingspaces info fffffffd info fffffffd reconciletiff cpp importsingletiff ascii xmpprop ffff cameraownername xmpns ffff http cipa exif xmp taginfo reconciletiff cpp importsingletiff taginfo nativeendian nativeendian entry false xmp xmp entry xmpns ffff http cipa exif xmpprop ffff cameraownername reconciletiff cpp ffff importtiff standardmappings ifd ifd entry tiff xmp xmp entry reconciletiff cpp ffff photodatautils import wayexif exif xmp iptcdigeststate reconciletiff cpp ffff importphotodata exif iptc psir iptcdigeststate xmp options reconcilelegacy cpp ffff adcb jpeg metahandler processxmp jpeg handler cpp ffff acaa xmpfiles getxmp xmpobj fffffffd xmppacket fffffffd xmppacketlen fffffffd packetinfo xmpfiles cpp ffff ffa wxmpfiles getxmp xmpobjref xmpref clientpacket packetinfo setclientstring ffff dbf std allocator setclientstring void char const unsigned int wresult fffffffd wxmpfiles cpp ffff txmpfiles std allocator getxmp entry xmpobj xmpobj entry xmppacket xmppacket entry packetinfo packetinfo entry public include client glue txmpfiles incl cpp ffff xmp files get new xmp exempi cpp get xmp file filename reconcile xmp main cpp dump xmp outio ffff xmp reconcile filename fffffffe crash pdf main cpp process file output prop value value name action dump xml true write place false xmp reconcile filename fffffffe crash pdf main cpp main argc argv fffffffdda main cpp,0
mesa bbb bdeb fdf master devel scons build fails glibc scons compiling src util strtod src util strtod fatal error xlocale file directory include glibc removed xlocale https sourceware org glibc wiki release removal xlocale,0
attempting start compiz mesa master induces floating point exception intel update renderbuffers looks like might problem getting buffers list gdb dump program received signal sigfpe arithmetic exception intel update renderbuffers context drawable intel context region intel region alloc handle intel buffers cpp gdb intel update renderbuffers context drawable intel context intelmakecurrent dricontextpriv dridrawpriv drireadpriv intel context dribindcontext pcp pdp prp common dri util eaa domakecurrent ccd drawid readid contextid tag glxcmds dee glxdispatch client glxext dispatch dispatch main argc argv envp main gdb print buffers gdb print buffers cannot access memory address,0
created attachment dmesg cnl oops running igt gem exec nop basic series cnl cycle next test igt gem exec parse basic allowed timed probably derived oops igt gem exec parse basic rejected incomplete probably derived two previous tests stdout internal exception handled test run time exceeded timeout value seconds bug unable handle kernel paging request print request oops smp pti dumping ftrace buffer ftrace buffer empty modules linked snd hda codec hdmi asix usbnet mii table filter tables bnep iptable filter binfmt misc snd soc skl snd soc skl ipc snd soc sst ipc snd soc sst dsp snd hda ext core snd soc acpi nls iso snd hda codec realtek snd soc core snd hda codec generic snd compress snd pcm dmaengine bus snd hda intel snd hda codec pkg temp thermal snd hda core snd hwdep intel powerclamp coretemp snd pcm kvm intel kvm snd seq midi irqbypass snd seq midi event snd rawmidi crct dif pclmul crc pclmul ghash clmulni intel pcbc snd seq aesni intel aes crypto simd snd seq device glue helper cryptd snd timer iwlwifi input leds snd serio raw wmi bmof btusb btrtl btbcm btintel soundcore idma bluetooth shpchp virt dma cfg intel pch thermal intel lpss pci ecdh generic intel lpss tpm crb acpi pad mac hid parport ppdev parport tables tables autofs ptp pps core wmi video cpu pid comm kworker tainted drm intel commit hardware name intel corporation cannonlake client platform cannonlake lpddr rvp bios cnlsfwr workqueue events long hangcheck elapsed rip print request rsp ffffb eflags rax rbx ffffb rcx rdx ffffb rsi fffffffc rdi ffffb rbp ffffb ffffb ffffb fffffffc ffff ffff knlgs fffe pkru call trace intel engine dump engine stuck fwtable read hangcheck elapsed drm printk process one work worker thread kthread process one work kthread associate blkcg ret fork code rip print request rsp ffffb end trace ebe,1
additional text added help pages even though supposed http help libreoffice org chart charts text line context menu offers many lines upto first link editing chart titles supposed,0
created attachment kernel stack lockup unable boot linux rcx kernels something seems broke kernel crash info lenovo laptop gen gpu kernel specifically right git see attachment kernel stack,0
following code snippet reformats version string appending gllibraryversion via sprintf format adds code originally added length account space open paren close paren forgot add character account terminating null character sprintf adds end string meant glxsprintf writing character beyond malloc block corrupting malloc heap fix add malloc size rather patch attached else name version atof string atof glserverversion buf glxmalloc glxstrlen string glxstrlen glserverversion buf null string glserverversion else glxsprintf buf glserverversion string string buf,0
created attachment test document see two problems exporting xls document first default height identification seems buggy code currently chooses last encountered row manually set height comments code seem indicate intention choose default way number used rows exceeds number unused rows hmm sure whether quite makes sense took comment good faith implemented way second blank row excluded exporting case even rows may non standard heights additionally default row chosen existing row height imported default row height used,0
