long_description,label
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows gecko firefox pagex represent horizontal vertical coordinates event relative whole document differs clientx clienty horizontal vertical coordinate within application client area scroll document fire event pagey clienty scrolldata works expected works clicking manually manually dispatching events pagey would include scrolldata pagey include scrolldata manually dispatching reproducible always steps reproduce open attached page page includes spacer div followed two buttons report pagey simulate mouseup button onload mouseup automatically simulated actual results see word fail body page pagey less manually click report pagey see word pass body page may also manually click simulate mouseup button get word fail appear machine pagey typically expected results word pass appear body page regardless whether push left button right button pagey always bug discussed elsewhere bug bug regression caused bug microsoft virtual earth maps depended behavior pagey public standard behavior pagey defacto standard behavior safari opera behave way say pass load page changed behavior attribute incorrectly,0
returns false delete boolean prototype returns true delete boolean prototype,0
viewing videos real content camino crashes using build cvs hours ago see filing time bug almost certainly caused problem patch aaron leventhal bug bet issue nsobjectframe isfocusable writes atabindex without checking whether atabindex default value null,0
steps reproduce load attached testcase expected results pass actual results fail details problem window provider implementation starts blank load window provides worked around implementation easily since appending dom starts load way fix provider side would either explicitly call stop return providewindow load completes happens actually open new window given difficulty latter think right solution call stop window watcher,0
calltracer trc xbfffa thing kind users bzbarsky mozilla tracemonkey mozilla src jsgc cpp flagp getgcthingflags thing tracestackframe trc xbfffa users bzbarsky mozilla tracemonkey mozilla src jsgc cpp call value tracer trc jsval thisp regs xbfffb slots callobj argsobj varobj callee eea script fun eea thisp argc argv rval annotation scopechain sharpdepth sharparray flags dormantnext xmlnamespace blockchain displaysave pcdisabledsave getgcthingflags thing users bzbarsky mozilla tracemonkey mozilla src jsgc cpp jsgcarenainfo xff index calltracer trc xbfffa thing kind users bzbarsky mozilla tracemonkey mozilla src jsgc cpp jsruntime jsgcarenainfo dff jscontext xda index flagp uint tracestackframe trc xbfffa users bzbarsky mozilla tracemonkey mozilla src jsgc cpp nslots minargs skip tracecontext trc xbfffa acx xda users bzbarsky mozilla tracemonkey mozilla src jsgc cpp jsarena age jsstackframe nextchain jsstackframe jsstackheader tvr jstempvaluerooter traceruntime trc xbfffa allatoms users bzbarsky mozilla tracemonkey mozilla src jsgc cpp jsruntime iter jscontext xda acx jscontext xda xda gckind normal users bzbarsky mozilla tracemonkey mozilla src jsgc cpp jsruntime trc context xda callback debugprinter debugprintarg debugprintindex jsgcarenainfo flagp uint freelist jsgcthing xda callback jsgccallback emptyarenas jsgcarenainfo acx jscontext iter jscontext keepatoms type thingsize requestdebit indexlimit jsgcarenainfo flags thing jsgcthing xda allclear arenalist jsgcarenalist xda users bzbarsky mozilla tracemonkey mozilla src jsapi cpp locals maybegc xda users bzbarsky mozilla tracemonkey mozilla dom src base nsjsenvironment cpp bytes lastbytes nsjscontext domoperationcallback xda users bzbarsky mozilla tracemonkey mozilla dom src base nsjsenvironment cpp win mrawptr xdeadbeef stopbutton members nsastring internal mdata mlength mflags waitbutton members nsastring internal mdata xbfffabc mlength mflags nevershowdlg members nsastring internal mdata mlength mflags buttonpressed istrackingchromecodetime bundle mrawptr xda debugbutton members nsastring internal mdata mlength mflags buttonflags callbacktime docshell cannot access memory address,1
proper uri http www mozilla org start http www mozilla org start fixing help alleviate server load avoids redirect requesting current uri every little bit surely helps release,0
landing bug caused reported leaks extensions bayesian spam filter tests test bug mailnews base test unit possibly similar rdf resource leak bugs bug bug however reporting fresh reported leak,0
bug bug http changes necko needed resolve bug moved bug download manager dupes download manager http kept preventing dupes,1
please add blocking blocking blocking flag wherever present thanks,0
see bug details,1
using ldap bugzilla silently copies ldap accounts profiles table without checking user emails againts email filter one server possible host multiple email domains right way restrict users access bugzilla,1
parent null top volume readonly attribute nsifile parent looking nslocalfileunix nslocalfilewin true impls particular parent unix sure parent win exactly could fix comment impls please got infinite loop walking dir tree assumed would hit null hit top,1
steps reproduce create recurring event alarm wait result alarm icon calendar view alarm comes expected result user get alarm reproducible always defect lightning build works build,0
lber needs config system headers otherwise building trunk thunderbird fails error message see bug details usr bin nsldapberelement relocation ber flatten used making shared object recompile fpic usr bin final link failed bad value collect returned exit status gmake libmozldap error,0
created attachment remove include nsistringcharsetdetector includes nsstring never uses anything uses char pruint enum another file plus nsisupports basic xpcom things makes hard use external api even though works fine yes dist xulrunner include chardet bad ended useful account strings feeding short,0
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows pre gecko thunderbird pre move copy menus menuitems recent file copy lost access keys reproducible always steps reproduce select message choose example message move actual results recent item underscore happens mail folder bindings xml specifies accesskey attributes capital lowercase accesskey,0
please create two new linux vms called linux slave build mozilla org linux slave build mozilla org usual three disks,1
user agent mozilla windows windows gecko firefox build identifier would quite useful scriptableobject implemented least minimal version map interface containskey get put remove minimum also perhaps read version various set views object would allow accessing nativeobject much cleanly know scriptable interface etc could accessed many classes already deal java maps terms general behaviour much useful scriptableobject implemented terms hashmap cause performance degredation reproducible always steps reproduce,1
reported juanpablo mailing list clone vcs clone ssh bitbucket org repository clone make changes commit push commit new changes push try update bespin vcs update get output vcs update output fetch invalid arguments fetch source pull changes remote rep note kevin reproduce bespin mozilla com know sure passed fetch looks like working,1
current behaviour trunk report web forgery menu action launch google report page new tab seems unsafe since leaves phish site open loaded presumably since currently reporting marked phish site leaves open possibility user another user computer might come back later less vigilant time mistake scam site actual bank paypal ebay login menu item load existing tab probably need destroy history indeed would likely annoying least get scam site screen note opposite menu item site forgery continue open new tab since case quite plausible want continue interacting site attach liner patch,0
assertion remove singleton element aelement mnext file users admin trunk mozilla layout generic nslinebox cpp line assertion added bug,0
mailinglist newsletter use anymore administrators mozbrowser ask file bug closing list bug old administrator list,0
created attachment sync network toolkit wieder mal ist weit und gibt einiges der deutschen bersetzung nicht maher ganz mit dem englischen trunk zusammenstimmt die nderungen netwerk und toolkit werden mit dem patch hier wieder date gebracht,0
user agent mozilla macintosh ppc mac mach gecko firefox build identifier mozilla macintosh ppc mac mach gecko firefox firefox toolbar one button stop loading page cross icon button reloading page spiral icon problem cross icon displayed even page loading spiral icon displayed even page already loading reloading suggest one smart button loading page shows cross icon stops loading pressed page loaded shows spiral icon reloads page pressed allows logical interface would also save space smart button replaces two dumb buttons reproducible always steps reproduce,1
