Unnamed: 0,project,classifier,fold,balanced_acc,feature_extraction
0,eclipse,knn,0,0.5079588014981273,tf-idf
1,eclipse,knn,1,0.518455702666229,tf-idf
2,eclipse,knn,2,0.5166589861751152,tf-idf
3,eclipse,knn,3,0.5156692724569565,tf-idf
4,eclipse,knn,4,0.5305866069454723,tf-idf
5,eclipse,knn,5,0.505492585681265,tf-idf
6,eclipse,knn,6,0.5060317277517059,tf-idf
7,eclipse,knn,7,0.5000038484925455,tf-idf
8,eclipse,knn,8,0.5071313456889606,tf-idf
9,eclipse,knn,9,0.5107739919060674,tf-idf
10,eclipse,knn,10,0.4937879857572595,tf-idf
11,eclipse,knn,11,0.5322062953641901,tf-idf
12,eclipse,knn,12,0.49664671577655,tf-idf
13,eclipse,knn,13,0.5372948552461737,tf-idf
14,eclipse,knn,14,0.5193076716429366,tf-idf
15,eclipse,knn,15,0.5210828508607694,tf-idf
16,eclipse,knn,16,0.4995969970523213,tf-idf
17,eclipse,knn,17,0.5191737353248509,tf-idf
18,eclipse,knn,18,0.50430505248941,tf-idf
19,eclipse,knn,19,0.5213211311922029,tf-idf
20,eclipse,knn,20,0.5057988256514564,tf-idf
21,eclipse,knn,21,0.5116846319561543,tf-idf
22,eclipse,knn,22,0.5279288831520069,tf-idf
23,eclipse,knn,23,0.5195260800462361,tf-idf
24,eclipse,knn,24,0.5306625545283739,tf-idf
25,eclipse,knn,25,0.4959549859091161,tf-idf
26,eclipse,knn,26,0.5127475653791443,tf-idf
27,eclipse,knn,27,0.5071920777795683,tf-idf
28,eclipse,knn,28,0.5204032258064516,tf-idf
29,eclipse,knn,29,0.5284912418014782,tf-idf
30,eclipse,knn,30,0.5088912776412776,tf-idf
31,eclipse,knn,31,0.5263768516811113,tf-idf
32,eclipse,knn,32,0.5242932650340058,tf-idf
33,eclipse,knn,33,0.52352132867871,tf-idf
34,eclipse,knn,34,0.492008529358089,tf-idf
35,eclipse,knn,35,0.4933101510685335,tf-idf
36,eclipse,knn,36,0.5255582226673805,tf-idf
37,eclipse,knn,37,0.518663907478821,tf-idf
38,eclipse,knn,38,0.5085607404920627,tf-idf
