project,classifier,fold,balanced_acc,feature_extraction
freedesktop,knn,0,0.536771292222939,tf-idf
freedesktop,knn,1,0.5223214285714286,tf-idf
freedesktop,knn,2,0.5459496984598824,tf-idf
freedesktop,knn,3,0.5424325219407187,tf-idf
freedesktop,knn,4,0.5456631011125754,tf-idf
freedesktop,knn,5,0.5247070255622688,tf-idf
freedesktop,knn,6,0.5512617789998134,tf-idf
freedesktop,knn,7,0.5450943586576705,tf-idf
freedesktop,knn,8,0.5279230802212408,tf-idf
freedesktop,knn,9,0.5413574188799607,tf-idf
freedesktop,knn,10,0.5532405071805737,tf-idf
freedesktop,knn,11,0.5535436440613202,tf-idf
freedesktop,knn,12,0.51677777472116,tf-idf
freedesktop,knn,13,0.5188082495438011,tf-idf
freedesktop,knn,14,0.5461616192546774,tf-idf
freedesktop,knn,15,0.5601879727974326,tf-idf
freedesktop,knn,16,0.5356898238747554,tf-idf
freedesktop,knn,17,0.546109607060371,tf-idf
freedesktop,knn,18,0.5257660934744268,tf-idf
freedesktop,knn,19,0.5437885802469136,tf-idf
freedesktop,knn,20,0.5267392839564297,tf-idf
freedesktop,knn,21,0.5296839660125925,tf-idf
freedesktop,knn,22,0.5522541829332045,tf-idf
freedesktop,knn,23,0.5648285934744268,tf-idf
freedesktop,knn,24,0.5474261463844797,tf-idf
freedesktop,knn,25,0.5348854289071681,tf-idf
freedesktop,knn,26,0.5393491630699255,tf-idf
freedesktop,knn,27,0.5456987850538703,tf-idf
freedesktop,knn,28,0.5573054453262787,tf-idf
freedesktop,knn,29,0.5475393519936301,tf-idf
freedesktop,knn,30,0.5384020563415581,tf-idf
freedesktop,knn,31,0.5386407969157181,tf-idf
freedesktop,knn,32,0.5382165800032441,tf-idf
freedesktop,knn,33,0.5705728879579612,tf-idf
freedesktop,knn,34,0.5334888621312462,tf-idf
freedesktop,knn,35,0.5507603894416678,tf-idf
freedesktop,knn,36,0.5493727508155921,tf-idf
freedesktop,knn,37,0.5237304195002674,tf-idf
freedesktop,knn,38,0.5282175032175032,tf-idf
freedesktop,knn,39,0.5328757557380965,tf-idf
freedesktop,knn,40,0.5437312794180573,tf-idf
freedesktop,knn,41,0.5470344616795293,tf-idf
freedesktop,knn,42,0.5506704199179053,tf-idf
freedesktop,knn,43,0.5338798567098374,tf-idf
freedesktop,knn,44,0.550745628808525,tf-idf
freedesktop,knn,45,0.5488592278273204,tf-idf
freedesktop,knn,46,0.5353591734743499,tf-idf
freedesktop,knn,47,0.5408265651050032,tf-idf
freedesktop,knn,48,0.5143996129893511,tf-idf
freedesktop,knn,49,0.5328453855716062,tf-idf
freedesktop,nb,0,0.5461200294708395,tf-idf
freedesktop,nb,1,0.5714163405088062,tf-idf
freedesktop,nb,2,0.5432676428492789,tf-idf
freedesktop,nb,3,0.5620687751835294,tf-idf
freedesktop,nb,4,0.5879256444049408,tf-idf
freedesktop,nb,5,0.550040922926955,tf-idf
freedesktop,nb,6,0.5483852715478088,tf-idf
freedesktop,nb,7,0.5559166378785887,tf-idf
freedesktop,nb,8,0.5611076742149075,tf-idf
freedesktop,nb,9,0.5642872477458136,tf-idf
freedesktop,nb,10,0.5452023004742206,tf-idf
freedesktop,nb,11,0.5645131214941843,tf-idf
freedesktop,nb,12,0.5263404032901433,tf-idf
freedesktop,nb,13,0.5792071326221939,tf-idf
freedesktop,nb,14,0.5477922038154148,tf-idf
freedesktop,nb,15,0.5569297776419347,tf-idf
freedesktop,nb,16,0.5683586105675147,tf-idf
freedesktop,nb,17,0.5642316340109209,tf-idf
freedesktop,nb,18,0.5453180114638447,tf-idf
freedesktop,nb,19,0.5600887345679013,tf-idf
freedesktop,nb,20,0.5557240379941486,tf-idf
freedesktop,nb,21,0.5409774436090226,tf-idf
freedesktop,nb,22,0.577258539359162,tf-idf
freedesktop,nb,23,0.5667989417989419,tf-idf
freedesktop,nb,24,0.5346395502645502,tf-idf
freedesktop,nb,25,0.5483499804151979,tf-idf
