project,classifier,fold,balanced_acc,feature_extraction
gnome,knn,0,0.5845249870820108,bert
gnome,knn,1,0.5610396332446022,bert
gnome,knn,2,0.5576784020862968,bert
gnome,knn,3,0.578034673530369,bert
gnome,knn,4,0.5820942089418055,bert
gnome,knn,5,0.5644991212653778,bert
gnome,knn,6,0.5955199223121606,bert
gnome,knn,7,0.565759744484533,bert
gnome,knn,8,0.5566260107298548,bert
gnome,knn,9,0.567266172155972,bert
gnome,knn,10,0.5518696921640408,bert
gnome,knn,11,0.5538869153345175,bert
gnome,knn,12,0.5634249471458774,bert
gnome,knn,13,0.5784248459995385,bert
gnome,knn,14,0.5737041659519344,bert
gnome,knn,15,0.5848371762406148,bert
gnome,knn,16,0.5743371128105943,bert
gnome,knn,17,0.5578740693393938,bert
gnome,knn,18,0.5799052138337852,bert
gnome,knn,19,0.5538608678143562,bert
gnome,knn,20,0.5767932601589285,bert
gnome,knn,21,0.5702117904575976,bert
gnome,knn,22,0.5720452057631431,bert
gnome,knn,23,0.5673881022522094,bert
gnome,knn,24,0.580209844022849,bert
gnome,knn,25,0.5621574371574372,bert
gnome,knn,26,0.5563535437774663,bert
gnome,knn,27,0.5956886709298818,bert
gnome,knn,28,0.575247773734505,bert
gnome,knn,29,0.5514297037667992,bert
gnome,knn,30,0.5761969031579756,bert
gnome,knn,31,0.5758818412596971,bert
gnome,knn,32,0.5841898168693234,bert
gnome,knn,33,0.5676086376966143,bert
gnome,knn,34,0.5623727057430432,bert
gnome,knn,35,0.5550760159136119,bert
gnome,knn,36,0.5443826908393559,bert
gnome,knn,37,0.5852316499354059,bert
gnome,knn,38,0.5877122129318966,bert
gnome,knn,39,0.5538479309078417,bert
gnome,knn,40,0.5556823557237465,bert
gnome,knn,41,0.5607266405241147,bert
gnome,knn,42,0.5972882870090992,bert
gnome,knn,43,0.5670896744936964,bert
gnome,knn,44,0.5680738466271462,bert
gnome,knn,45,0.5545989576562629,bert
gnome,knn,46,0.5871157508766309,bert
gnome,knn,47,0.5678430467534159,bert
gnome,knn,48,0.5517121545523377,bert
gnome,knn,49,0.5650190788889875,bert
gnome,nb,0,0.5969675943013213,bert
gnome,nb,1,0.5516518781425614,bert
gnome,nb,2,0.5566989687055477,bert
gnome,nb,3,0.582991627466643,bert
gnome,nb,4,0.5820735075796559,bert
gnome,nb,5,0.5753850925255867,bert
gnome,nb,6,0.5801747976385739,bert
gnome,nb,7,0.5733054356183829,bert
gnome,nb,8,0.5695976600162072,bert
gnome,nb,9,0.5732124266515237,bert
gnome,nb,10,0.563178254361133,bert
gnome,nb,11,0.581375074008289,bert
gnome,nb,12,0.5764104796252538,bert
gnome,nb,13,0.5784248459995385,bert
gnome,nb,14,0.5727843796026286,bert
gnome,nb,15,0.5671420320760585,bert
gnome,nb,16,0.5657194314814487,bert
gnome,nb,17,0.5945486074121421,bert
gnome,nb,18,0.5797788521002807,bert
gnome,nb,19,0.5503342986243123,bert
gnome,nb,20,0.566609969791196,bert
gnome,nb,21,0.5571656757476262,bert
gnome,nb,22,0.5787299192331588,bert
gnome,nb,23,0.5861045448066141,bert
gnome,nb,24,0.5874049190517063,bert
gnome,nb,25,0.5532271782271783,bert
gnome,nb,26,0.5967759107120677,bert
gnome,nb,27,0.5662878675839875,bert
gnome,nb,28,0.556637377592379,bert
gnome,nb,29,0.5875464343176225,bert
gnome,nb,30,0.5797984660502122,bert
gnome,nb,31,0.5637837070174504,bert
gnome,nb,32,0.5888553593088962,bert
gnome,nb,33,0.5754732071447615,bert
gnome,nb,34,0.5504440497335701,bert
gnome,nb,35,0.5651463483944302,bert
gnome,nb,36,0.5761966487324728,bert
gnome,nb,37,0.5974511988432318,bert
gnome,nb,38,0.5614049102625552,bert
gnome,nb,39,0.5492246087502517,bert
gnome,nb,40,0.5642206717123935,bert
gnome,nb,41,0.585256015353813,bert
gnome,nb,42,0.5761406529173027,bert
gnome,nb,43,0.5459204871910539,bert
gnome,nb,44,0.5739398080768638,bert
gnome,nb,45,0.5749967500620443,bert
gnome,nb,46,0.591926096011107,bert
gnome,nb,47,0.5839191564147628,bert
gnome,nb,48,0.5611306312701116,bert
gnome,nb,49,0.5512837578016387,bert
gnome,svm,0,0.6084402450727098,bert
gnome,svm,1,0.560377107364685,bert
gnome,svm,2,0.5801875889046941,bert
gnome,svm,3,0.6002440756190646,bert
gnome,svm,4,0.581285377149245,bert
gnome,svm,5,0.5966327480025402,bert
gnome,svm,6,0.609224838791812,bert
gnome,svm,7,0.5874667297569054,bert
gnome,svm,8,0.5901967337233307,bert
gnome,svm,9,0.5824578837781564,bert
