project,classifier,fold,balanced_acc,feature_extraction
gnome,vc,0,0.5787535561404908,tf-idf
gnome,vc,1,0.5810601354749017,tf-idf
gnome,vc,2,0.5776304964161206,tf-idf
gnome,vc,3,0.5930564184491584,tf-idf
gnome,vc,4,0.5669728677814516,tf-idf
gnome,vc,5,0.5905080782312926,tf-idf
gnome,vc,6,0.5870100141369092,tf-idf
gnome,vc,7,0.5949852428861248,tf-idf
gnome,vc,8,0.5719739986277711,tf-idf
gnome,vc,9,0.570955338657202,tf-idf
gnome,vc,10,0.581221805677417,tf-idf
gnome,vc,11,0.5827552017047977,tf-idf
gnome,vc,12,0.5724965990418169,tf-idf
gnome,vc,13,0.5699871507155927,tf-idf
gnome,vc,14,0.5909952620651717,tf-idf
gnome,vc,15,0.6045344706727911,tf-idf
gnome,vc,16,0.5933325826982565,tf-idf
gnome,vc,17,0.5868902348856331,tf-idf
gnome,vc,18,0.577239276889987,tf-idf
gnome,vc,19,0.5751553956578268,tf-idf
gnome,vc,20,0.5769792967815665,tf-idf
gnome,vc,21,0.5771600556097849,tf-idf
gnome,vc,22,0.5900201106083459,tf-idf
gnome,vc,23,0.5699555734339783,tf-idf
gnome,vc,24,0.5813973437453782,tf-idf
gnome,vc,25,0.5822991982431789,tf-idf
gnome,vc,26,0.5541972422771926,tf-idf
gnome,vc,27,0.5774056101313765,tf-idf
gnome,vc,28,0.5812991660259064,tf-idf
gnome,vc,29,0.5782849804102601,tf-idf
gnome,vc,30,0.5892924662066358,tf-idf
gnome,vc,31,0.5680730553090803,tf-idf
gnome,vc,32,0.5954322084073416,tf-idf
gnome,vc,33,0.5706772308676946,tf-idf
gnome,vc,34,0.5953165719023927,tf-idf
gnome,vc,35,0.5741207254513399,tf-idf
gnome,vc,36,0.5711321469588795,tf-idf
gnome,vc,37,0.5843032045771204,tf-idf
gnome,vc,38,0.5863473709114568,tf-idf
gnome,vc,39,0.5747692034560303,tf-idf
gnome,vc,40,0.5763450080574817,tf-idf
gnome,vc,41,0.5963427479244703,tf-idf
gnome,vc,42,0.5875323914664017,tf-idf
gnome,vc,43,0.5744578562764415,tf-idf
gnome,vc,44,0.5870100141369092,tf-idf
gnome,vc,45,0.5795068027210883,tf-idf
gnome,vc,46,0.5763474382257769,tf-idf
gnome,vc,47,0.5678992620996136,tf-idf
gnome,vc,48,0.5735696153095099,tf-idf
gnome,vc,49,0.5892906794450853,tf-idf
