project,classifier,fold,balanced_acc,feature_extraction
mozilla,vc,0,0.5666582998661311,tf-idf
mozilla,vc,1,0.5729488125587012,tf-idf
mozilla,vc,2,0.595438132817153,tf-idf
mozilla,vc,3,0.607053532353133,tf-idf
mozilla,vc,4,0.5942752649649201,tf-idf
mozilla,vc,5,0.5918002984619164,tf-idf
mozilla,vc,6,0.5999395416325619,tf-idf
mozilla,vc,7,0.5816643826434094,tf-idf
mozilla,vc,8,0.595903196959535,tf-idf
mozilla,vc,9,0.5990412122295727,tf-idf
mozilla,vc,10,0.5974632098434604,tf-idf
mozilla,vc,11,0.5920289585349512,tf-idf
mozilla,vc,12,0.5763983628922238,tf-idf
mozilla,vc,13,0.6001600774328046,tf-idf
mozilla,vc,14,0.5940863969253286,tf-idf
mozilla,vc,15,0.6025781627569797,tf-idf
mozilla,vc,16,0.598938848519557,tf-idf
mozilla,vc,17,0.5908893579995267,tf-idf
mozilla,vc,18,0.5972279446446516,tf-idf
mozilla,vc,19,0.5924908748764548,tf-idf
mozilla,vc,20,0.5815767167441808,tf-idf
mozilla,vc,21,0.5914527372432382,tf-idf
mozilla,vc,22,0.5877506596428898,tf-idf
mozilla,vc,23,0.5926723816900779,tf-idf
mozilla,vc,24,0.5923038229376257,tf-idf
mozilla,vc,25,0.5965778093957532,tf-idf
mozilla,vc,26,0.5940202547870379,tf-idf
mozilla,vc,27,0.5701755856424698,tf-idf
mozilla,vc,28,0.5864059937378858,tf-idf
mozilla,vc,29,0.6191391123026512,tf-idf
mozilla,vc,30,0.6012575026217339,tf-idf
mozilla,vc,31,0.599224445766999,tf-idf
mozilla,vc,32,0.5710665861189421,tf-idf
mozilla,vc,33,0.5965415533123664,tf-idf
mozilla,vc,34,0.584037023798886,tf-idf
mozilla,vc,35,0.5920104098893949,tf-idf
mozilla,vc,36,0.5843207810320781,tf-idf
mozilla,vc,37,0.6037675089580716,tf-idf
mozilla,vc,38,0.5911280759658146,tf-idf
mozilla,vc,39,0.5832819643738418,tf-idf
mozilla,vc,40,0.5907215038331983,tf-idf
mozilla,vc,41,0.5981171353692311,tf-idf
mozilla,vc,42,0.6046134941912422,tf-idf
mozilla,vc,43,0.5982264665757162,tf-idf
mozilla,vc,44,0.601971264421331,tf-idf
mozilla,vc,45,0.5975860684532771,tf-idf
mozilla,vc,46,0.6037437681375102,tf-idf
mozilla,vc,47,0.5794408874329958,tf-idf
mozilla,vc,48,0.6074654165013624,tf-idf
mozilla,vc,49,0.5821155009539765,tf-idf
