project,classifier,fold,balanced_acc,feature_extraction
winehq,vc,0,0.5907836644591611,bert
winehq,vc,1,0.5896000348553503,bert
winehq,vc,2,0.5774692553500532,bert
winehq,vc,3,0.5576359365597034,bert
winehq,vc,4,0.5857233071019139,bert
winehq,vc,5,0.5692931229843982,bert
winehq,vc,6,0.5961717206924597,bert
winehq,vc,7,0.574415663701378,bert
winehq,vc,8,0.5697163103356226,bert
winehq,vc,9,0.5606259097525472,bert
winehq,vc,10,0.5834875362094187,bert
winehq,vc,11,0.5646186543246933,bert
winehq,vc,12,0.6005145648002791,bert
winehq,vc,13,0.5789339547076385,bert
winehq,vc,14,0.5882013285393346,bert
winehq,vc,15,0.5764639247124433,bert
winehq,vc,16,0.5675042899107117,bert
winehq,vc,17,0.5871161839797687,bert
winehq,vc,18,0.5811809372147672,bert
winehq,vc,19,0.5745510029544394,bert
winehq,vc,20,0.5748425082380306,bert
winehq,vc,21,0.6066637567292303,bert
winehq,vc,22,0.5852517811273203,bert
winehq,vc,23,0.5796565594810059,bert
winehq,vc,24,0.5914067813076849,bert
winehq,vc,25,0.603972064600611,bert
winehq,vc,26,0.5951825199275538,bert
winehq,vc,27,0.5647130647130647,bert
winehq,vc,28,0.5825465617962226,bert
winehq,vc,29,0.5815090824406148,bert
winehq,vc,30,0.5588001781530179,bert
winehq,vc,31,0.5843144950287807,bert
winehq,vc,32,0.5918418248740798,bert
winehq,vc,33,0.6168005744449621,bert
winehq,vc,34,0.5572149442018437,bert
winehq,vc,35,0.5456579214968477,bert
winehq,vc,36,0.5786060764494017,bert
winehq,vc,37,0.5853609535059352,bert
winehq,vc,38,0.5827736801242236,bert
winehq,vc,39,0.5881057268722467,bert
winehq,vc,40,0.6009299622202848,bert
winehq,vc,41,0.5830718498503733,bert
winehq,vc,42,0.5925906188533724,bert
winehq,vc,43,0.5772838212246046,bert
winehq,vc,44,0.5678681521396151,bert
winehq,vc,45,0.585110718652357,bert
winehq,vc,46,0.5830686934211163,bert
winehq,vc,47,0.583107931245092,bert
winehq,vc,48,0.5444347319347319,bert
winehq,vc,49,0.5972181779356667,bert
