project,classifier,fold,balanced_acc,feature_extraction
winehq,vc,0,0.6263066877222216,tf-idf
winehq,vc,1,0.6205765600038728,tf-idf
winehq,vc,2,0.6035007315395273,tf-idf
winehq,vc,3,0.5973904939422181,tf-idf
winehq,vc,4,0.5844497514756135,tf-idf
winehq,vc,5,0.6059790260717581,tf-idf
winehq,vc,6,0.623074946176077,tf-idf
winehq,vc,7,0.6151626035961809,tf-idf
winehq,vc,8,0.602602915847949,tf-idf
winehq,vc,9,0.6042966751918158,tf-idf
winehq,vc,10,0.6113192750087139,tf-idf
winehq,vc,11,0.6034898267936459,tf-idf
winehq,vc,12,0.6100460235100988,tf-idf
winehq,vc,13,0.5822507350975675,tf-idf
winehq,vc,14,0.6207544148262458,tf-idf
winehq,vc,15,0.6093358183666554,tf-idf
winehq,vc,16,0.6155670881663795,tf-idf
winehq,vc,17,0.5980597188335076,tf-idf
winehq,vc,18,0.5969162995594715,tf-idf
winehq,vc,19,0.5967251291754603,tf-idf
winehq,vc,20,0.6077124183006536,tf-idf
winehq,vc,21,0.5963958948540447,tf-idf
winehq,vc,22,0.5990032145001065,tf-idf
winehq,vc,23,0.6144154766583694,tf-idf
winehq,vc,24,0.6072523676447756,tf-idf
winehq,vc,25,0.598143467270984,tf-idf
winehq,vc,26,0.6393464052287581,tf-idf
winehq,vc,27,0.6106396803537831,tf-idf
winehq,vc,28,0.6065354147250699,tf-idf
winehq,vc,29,0.6311626552795031,tf-idf
winehq,vc,30,0.6265096998518145,tf-idf
winehq,vc,31,0.606843216849611,tf-idf
winehq,vc,32,0.6198244050789838,tf-idf
winehq,vc,33,0.6106000621021581,tf-idf
winehq,vc,34,0.6169781931464176,tf-idf
winehq,vc,35,0.6164604391774138,tf-idf
winehq,vc,36,0.5939536234690419,tf-idf
winehq,vc,37,0.6112923839584825,tf-idf
winehq,vc,38,0.5930415372670808,tf-idf
winehq,vc,39,0.5916367041743695,tf-idf
winehq,vc,40,0.6198103251292577,tf-idf
winehq,vc,41,0.613810927711077,tf-idf
winehq,vc,42,0.6258327684709983,tf-idf
winehq,vc,43,0.5917321016166281,tf-idf
winehq,vc,44,0.5921001552795031,tf-idf
winehq,vc,45,0.6117670733363074,tf-idf
winehq,vc,46,0.6025852878464819,tf-idf
winehq,vc,47,0.5904224410935821,tf-idf
winehq,vc,48,0.591014345008374,tf-idf
winehq,vc,49,0.6147574398695475,tf-idf
