project,classifier,fold,balanced_acc,feature_extraction
eclipse,knn,0,0.521156484119447,bert
eclipse,knn,1,0.5454781887725171,bert
eclipse,knn,2,0.5413983035934256,bert
eclipse,knn,3,0.5437501465175704,bert
eclipse,knn,4,0.5530231085786641,bert
eclipse,knn,5,0.5255081709751648,bert
eclipse,knn,6,0.5548736180021097,bert
eclipse,knn,7,0.5330735489934988,bert
eclipse,knn,8,0.5507926803064458,bert
eclipse,knn,9,0.5198736555884157,bert
eclipse,knn,10,0.5253394549184331,bert
eclipse,knn,11,0.5302560033148696,bert
eclipse,knn,12,0.5192686357243319,bert
eclipse,knn,13,0.5584838102233127,bert
eclipse,knn,14,0.5314468729102876,bert
eclipse,knn,15,0.5281259167986857,bert
eclipse,knn,16,0.5484386297461552,bert
eclipse,knn,17,0.5291662596940869,bert
eclipse,knn,18,0.5365622032288699,bert
eclipse,knn,19,0.5305767010430325,bert
eclipse,knn,20,0.5441038583550812,bert
eclipse,knn,21,0.534334558017109,bert
eclipse,knn,22,0.5236768067522419,bert
eclipse,knn,23,0.526241296856319,bert
eclipse,knn,24,0.5425413846466478,bert
eclipse,knn,25,0.5353707807872595,bert
eclipse,knn,26,0.544992127891486,bert
eclipse,knn,27,0.543210854186464,bert
eclipse,knn,28,0.5423611111111111,bert
eclipse,knn,29,0.5462992320157825,bert
eclipse,knn,30,0.5446761375624165,bert
eclipse,knn,31,0.5194906790945406,bert
eclipse,knn,32,0.5325027276246788,bert
eclipse,knn,33,0.53053733360943,bert
eclipse,knn,34,0.5373491285595082,bert
eclipse,knn,35,0.5284573916649389,bert
eclipse,knn,36,0.5414231486440526,bert
eclipse,knn,37,0.5197577003819405,bert
eclipse,knn,38,0.5429917446469195,bert
eclipse,knn,39,0.5673699015471168,bert
eclipse,knn,40,0.5648148148148149,bert
eclipse,knn,41,0.5519516416371052,bert
eclipse,knn,42,0.5241085638091961,bert
eclipse,knn,43,0.5289943544763728,bert
eclipse,knn,44,0.5465349319644175,bert
eclipse,knn,45,0.547931904408026,bert
eclipse,knn,46,0.5319965053143458,bert
eclipse,knn,47,0.5420054385834678,bert
eclipse,knn,48,0.536607948618778,bert
eclipse,knn,49,0.5331575246132207,bert
eclipse,nb,0,0.5484066687770391,bert
eclipse,nb,1,0.561866919051679,bert
eclipse,nb,2,0.552379192623095,bert
eclipse,nb,3,0.5636589539817616,bert
eclipse,nb,4,0.5661074179592698,bert
eclipse,nb,5,0.5544747955791176,bert
eclipse,nb,6,0.5597433292964019,bert
eclipse,nb,7,0.5629131745907417,bert
eclipse,nb,8,0.5674960053444389,bert
eclipse,nb,9,0.554843983794786,bert
eclipse,nb,10,0.5554215102080688,bert
eclipse,nb,11,0.5481623582482791,bert
