project,classifier,fold,balanced_acc,feature_extraction
eclipse,knn,0,0.5129935842834481,tf-idf
eclipse,knn,1,0.5162183544303798,tf-idf
eclipse,knn,2,0.5219457818142028,tf-idf
eclipse,knn,3,0.5395743957615398,tf-idf
eclipse,knn,4,0.5060725382525941,tf-idf
eclipse,knn,5,0.5205357771054668,tf-idf
eclipse,knn,6,0.5371316932435233,tf-idf
eclipse,knn,7,0.5320764856467277,tf-idf
eclipse,knn,8,0.5091515703196114,tf-idf
eclipse,knn,9,0.5017757265224704,tf-idf
eclipse,knn,10,0.5355269944979367,tf-idf
eclipse,knn,11,0.5265308754895752,tf-idf
eclipse,knn,12,0.5265895072586131,tf-idf
eclipse,knn,13,0.5334959594222833,tf-idf
eclipse,knn,14,0.5357416342716493,tf-idf
eclipse,knn,15,0.5111206075266499,tf-idf
eclipse,knn,16,0.5175352228239211,tf-idf
eclipse,knn,17,0.5218525179856115,tf-idf
eclipse,knn,18,0.5192423066064371,tf-idf
eclipse,knn,19,0.5322191134175316,tf-idf
eclipse,knn,20,0.511772780065463,tf-idf
eclipse,knn,21,0.5228662475238998,tf-idf
eclipse,knn,22,0.5192957151903187,tf-idf
eclipse,knn,23,0.5369135270619566,tf-idf
eclipse,knn,24,0.5162552155771906,tf-idf
eclipse,knn,25,0.5307904627213202,tf-idf
eclipse,knn,26,0.49930489564635905,tf-idf
eclipse,knn,27,0.5203142437591777,tf-idf
eclipse,knn,28,0.5232810052002548,tf-idf
eclipse,knn,29,0.5276164948775857,tf-idf
eclipse,knn,30,0.5175414769507357,tf-idf
eclipse,knn,31,0.5249739071289242,tf-idf
eclipse,knn,32,0.5132224075759766,tf-idf
eclipse,knn,33,0.5191646432208037,tf-idf
eclipse,knn,34,0.5393363132682645,tf-idf
eclipse,knn,35,0.5345837290281734,tf-idf
eclipse,knn,36,0.5567353918311511,tf-idf
eclipse,knn,37,0.5203495191179921,tf-idf
eclipse,knn,38,0.51510169392181,tf-idf
eclipse,knn,39,0.5100665821179455,tf-idf
eclipse,knn,40,0.5157975244391307,tf-idf
eclipse,knn,41,0.5391475973657984,tf-idf
eclipse,knn,42,0.5319180731364276,tf-idf
eclipse,knn,43,0.5287812880517131,tf-idf
eclipse,knn,44,0.5254116501589512,tf-idf
eclipse,knn,45,0.5278218135700697,tf-idf
eclipse,knn,46,0.5408742571160463,tf-idf
eclipse,knn,47,0.5167403769006478,tf-idf
eclipse,knn,48,0.5082820467733428,tf-idf
eclipse,knn,49,0.4961408327440232,tf-idf
eclipse,nb,0,0.53869552306454,tf-idf
eclipse,nb,1,0.5243758790436006,tf-idf
eclipse,nb,2,0.5270709908867803,tf-idf
eclipse,nb,3,0.5305254706144361,tf-idf
eclipse,nb,4,0.5243057862544702,tf-idf
eclipse,nb,5,0.5359500691854875,tf-idf
eclipse,nb,6,0.5434491534368782,tf-idf
eclipse,nb,7,0.5397426377191097,tf-idf
eclipse,nb,8,0.5333490254603133,tf-idf
eclipse,nb,9,0.5173211561778855,tf-idf
eclipse,nb,10,0.5368126328623233,tf-idf
eclipse,nb,11,0.5195273106780178,tf-idf
eclipse,nb,12,0.5281315227843055,tf-idf
eclipse,nb,13,0.5446612792297112,tf-idf
eclipse,nb,14,0.5405793987224317,tf-idf
eclipse,nb,15,0.5157997702564425,tf-idf
eclipse,nb,16,0.5433985043486415,tf-idf
eclipse,nb,17,0.5483109164842039,tf-idf
eclipse,nb,18,0.5292854790137399,tf-idf
eclipse,nb,19,0.5446436945104414,tf-idf
eclipse,nb,20,0.532282757892514,tf-idf
eclipse,nb,21,0.5361080010335026,tf-idf
eclipse,nb,22,0.5211396843265554,tf-idf
eclipse,nb,23,0.5489161510143338,tf-idf
eclipse,nb,24,0.519349400696973,tf-idf
eclipse,nb,25,0.5385562032160772,tf-idf
eclipse,nb,26,0.5274522225741738,tf-idf
eclipse,nb,27,0.5295066079295154,tf-idf
eclipse,nb,28,0.542703819901621,tf-idf
eclipse,nb,29,0.5235656458305658,tf-idf
eclipse,nb,30,0.5258456607976862,tf-idf
eclipse,nb,31,0.554476442144189,tf-idf
eclipse,nb,32,0.5116587294455925,tf-idf
eclipse,nb,33,0.5301353097830344,tf-idf
eclipse,nb,34,0.5332370845608634,tf-idf
eclipse,nb,35,0.536483064260842,tf-idf
eclipse,nb,36,0.5203849912057846,tf-idf
eclipse,nb,37,0.5303688716866057,tf-idf
eclipse,nb,38,0.5223492175136275,tf-idf
eclipse,nb,39,0.5460526315789473,tf-idf
eclipse,nb,40,0.536632322948168,tf-idf
eclipse,nb,41,0.5184863111406406,tf-idf
eclipse,nb,42,0.5408403656821379,tf-idf
eclipse,nb,43,0.5352904557004647,tf-idf
eclipse,nb,44,0.5270686129217679,tf-idf
eclipse,nb,45,0.5284823504544494,tf-idf
eclipse,nb,46,0.5398400844541758,tf-idf
eclipse,nb,47,0.5403367840159684,tf-idf
eclipse,nb,48,0.5333010960670534,tf-idf
eclipse,nb,49,0.5319546081445913,tf-idf
eclipse,nn,0,0.5441774051122554,tf-idf
eclipse,nn,1,0.51207805907173,tf-idf
eclipse,nn,2,0.5094825160614634,tf-idf
eclipse,nn,3,0.5147367372295285,tf-idf
eclipse,nn,4,0.5075977566294726,tf-idf
eclipse,nn,5,0.5500158305776401,tf-idf
eclipse,nn,6,0.5304399157150732,tf-idf
eclipse,nn,7,0.5206163406483888,tf-idf
eclipse,nn,8,0.5291072677337313,tf-idf
eclipse,nn,9,0.5052929557632886,tf-idf
eclipse,nn,10,0.5389882534075279,tf-idf
eclipse,nn,11,0.5202953868524121,tf-idf
eclipse,nn,12,0.5256631253078168,tf-idf
eclipse,nn,13,0.5160900181317994,tf-idf
eclipse,nn,14,0.4939012717079174,tf-idf
eclipse,nn,15,0.5213404713271415,tf-idf
eclipse,nn,16,0.506997679161685,tf-idf
eclipse,nn,17,0.5288141226149515,tf-idf
eclipse,nn,18,0.5248917748917749,tf-idf
eclipse,nn,19,0.5419102475928473,tf-idf
eclipse,nn,20,0.531200506810263,tf-idf
eclipse,nn,21,0.5171398986854159,tf-idf
eclipse,nn,22,0.5211074368535847,tf-idf
eclipse,nn,23,0.523624383175374,tf-idf
eclipse,nn,24,0.5191989889203169,tf-idf
eclipse,nn,25,0.5339188323357973,tf-idf
eclipse,nn,26,0.532282757892514,tf-idf
eclipse,nn,27,0.5131277533039648,tf-idf
eclipse,nn,28,0.5081735033151136,tf-idf
eclipse,nn,29,0.5178678878148273,tf-idf
eclipse,nn,30,0.5039845230883474,tf-idf
eclipse,nn,31,0.5427336728989863,tf-idf
eclipse,nn,32,0.5165138474881528,tf-idf
eclipse,nn,33,0.5476805435889402,tf-idf
eclipse,nn,34,0.516845163206139,tf-idf
eclipse,nn,35,0.5336604410678485,tf-idf
eclipse,nn,36,0.5253547000195427,tf-idf
eclipse,nn,37,0.5266860192352802,tf-idf
eclipse,nn,38,0.518650723873161,tf-idf
eclipse,nn,39,0.5268354118227295,tf-idf
eclipse,nn,40,0.5279174578615468,tf-idf
eclipse,nn,41,0.5251275086471381,tf-idf
eclipse,nn,42,0.5371220112517581,tf-idf
eclipse,nn,43,0.5355410341843866,tf-idf
eclipse,nn,44,0.5303522341136861,tf-idf
eclipse,nn,45,0.5187152117240894,tf-idf
eclipse,nn,46,0.5158625273694089,tf-idf
eclipse,nn,47,0.49857928416273656,tf-idf
eclipse,nn,48,0.5152189203446457,tf-idf
eclipse,nn,49,0.5072397235386737,tf-idf
eclipse,rf,0,0.5345255026686567,tf-idf
eclipse,rf,1,0.5388009845288326,tf-idf
eclipse,rf,2,0.5312592812592813,tf-idf
eclipse,rf,3,0.5358059638511851,tf-idf
eclipse,rf,4,0.5334268071053094,tf-idf
eclipse,rf,5,0.5493914022373882,tf-idf
eclipse,rf,6,0.5675256744553341,tf-idf
eclipse,rf,7,0.5463457291931292,tf-idf
eclipse,rf,8,0.5367674348646505,tf-idf
eclipse,rf,9,0.5243409473148981,tf-idf
eclipse,rf,10,0.5271976991371764,tf-idf
eclipse,rf,11,0.528685593001712,tf-idf
eclipse,rf,12,0.5432878350805601,tf-idf
eclipse,rf,13,0.5472999640490184,tf-idf
eclipse,rf,14,0.530563966322205,tf-idf
eclipse,rf,15,0.5424692335739237,tf-idf
eclipse,rf,16,0.5412798602808448,tf-idf
eclipse,rf,17,0.5558717156709415,tf-idf
eclipse,rf,18,0.5315793807641633,tf-idf
eclipse,rf,19,0.5500509956858822,tf-idf
eclipse,rf,20,0.546158448597473,tf-idf
eclipse,rf,21,0.5521527391736676,tf-idf
eclipse,rf,22,0.5323207626820516,tf-idf
eclipse,rf,23,0.5422554241403619,tf-idf
eclipse,rf,24,0.5368098638871092,tf-idf
eclipse,rf,25,0.5379819037052085,tf-idf
eclipse,rf,26,0.5443195016365748,tf-idf
eclipse,rf,27,0.5461145374449339,tf-idf
eclipse,rf,28,0.5351183243536799,tf-idf
eclipse,rf,29,0.5379785413426899,tf-idf
eclipse,rf,30,0.5302053817442792,tf-idf
eclipse,rf,31,0.5559051978562801,tf-idf
eclipse,rf,32,0.5513620896443683,tf-idf
eclipse,rf,33,0.5318222761807785,tf-idf
eclipse,rf,34,0.5289342174154275,tf-idf
eclipse,rf,35,0.5248496359607471,tf-idf
eclipse,rf,36,0.547623607582568,tf-idf
eclipse,rf,37,0.5517475955899601,tf-idf
eclipse,rf,38,0.5493640466561163,tf-idf
eclipse,rf,39,0.5465017966603255,tf-idf
eclipse,rf,40,0.5443831024216423,tf-idf
eclipse,rf,41,0.5276640025013191,tf-idf
eclipse,rf,42,0.5547995780590718,tf-idf
eclipse,rf,43,0.5198544295619967,tf-idf
eclipse,rf,44,0.5455718525527979,tf-idf
eclipse,rf,45,0.5330973014866484,tf-idf
eclipse,rf,46,0.5437236080700657,tf-idf
eclipse,rf,47,0.5402996027475,tf-idf
eclipse,rf,48,0.5355196061192192,tf-idf
eclipse,rf,49,0.5281677209131507,tf-idf
eclipse,svm,0,0.5406110559753686,tf-idf
eclipse,svm,1,0.5215189873417722,tf-idf
eclipse,svm,2,0.5332982273771747,tf-idf
eclipse,svm,3,0.5510496518742528,tf-idf
eclipse,svm,4,0.5361430832665663,tf-idf
eclipse,svm,5,0.5454484157696007,tf-idf
eclipse,svm,6,0.5452640549806684,tf-idf
eclipse,svm,7,0.5476686924745471,tf-idf
eclipse,svm,8,0.5581569108517895,tf-idf
eclipse,svm,9,0.5359956193530724,tf-idf
eclipse,svm,10,0.5522578779542329,tf-idf
eclipse,svm,11,0.51946867890898,tf-idf
eclipse,svm,12,0.5463161659513591,tf-idf
eclipse,svm,13,0.5422570573340002,tf-idf
eclipse,svm,14,0.5344025316950245,tf-idf
eclipse,svm,15,0.5283464736716235,tf-idf
eclipse,svm,16,0.5411919497386126,tf-idf
eclipse,svm,17,0.55502815139193,tf-idf
eclipse,svm,18,0.5170101637492941,tf-idf
eclipse,svm,19,0.5510630939727398,tf-idf
eclipse,svm,20,0.5515521064301552,tf-idf
eclipse,svm,21,0.5463891998966497,tf-idf
eclipse,svm,22,0.5432233401346185,tf-idf
eclipse,svm,23,0.5289750920341505,tf-idf
eclipse,svm,24,0.5166634761138285,tf-idf
eclipse,svm,25,0.5346826116172587,tf-idf
eclipse,svm,26,0.5309541407102383,tf-idf
eclipse,svm,27,0.5332276064610866,tf-idf
eclipse,svm,28,0.5497940996057809,tf-idf
eclipse,svm,29,0.525863113146358,tf-idf
eclipse,svm,30,0.5401676665429035,tf-idf
eclipse,svm,31,0.5489832575630236,tf-idf
eclipse,svm,32,0.5254173389538495,tf-idf
eclipse,svm,33,0.5550550246729851,tf-idf
eclipse,svm,34,0.5500041026202068,tf-idf
eclipse,svm,35,0.550042207449615,tf-idf
eclipse,svm,36,0.5350723079929646,tf-idf
eclipse,svm,37,0.5432559230588787,tf-idf
eclipse,svm,38,0.5354756462106559,tf-idf
eclipse,svm,39,0.5530102867610794,tf-idf
eclipse,svm,40,0.5399612021473615,tf-idf
eclipse,svm,41,0.5403191135950599,tf-idf
eclipse,svm,42,0.5588080168776371,tf-idf
eclipse,svm,43,0.538569510079911,tf-idf
eclipse,svm,44,0.5418199805270216,tf-idf
eclipse,svm,45,0.5609103078982597,tf-idf
eclipse,svm,46,0.5367639583984986,tf-idf
eclipse,svm,47,0.5306960724839045,tf-idf
eclipse,svm,48,0.5293769415626283,tf-idf
eclipse,svm,49,0.53418454457724,tf-idf
