project,classifier,fold,balanced_acc,feature_extraction
freedesktop,knn,0,0.5646872010245783,bert
freedesktop,knn,1,0.52623732856291,bert
freedesktop,knn,2,0.5533187849001935,bert
freedesktop,knn,3,0.5415052040164057,bert
freedesktop,knn,4,0.5430381956139653,bert
freedesktop,knn,5,0.5611887254901962,bert
freedesktop,knn,6,0.5553098494689386,bert
freedesktop,knn,7,0.511150234741784,bert
freedesktop,knn,8,0.5327659300539815,bert
freedesktop,knn,9,0.5458113820142122,bert
freedesktop,knn,10,0.5336514798091121,bert
freedesktop,knn,11,0.569518634493768,bert
freedesktop,knn,12,0.5348238710170399,bert
freedesktop,knn,13,0.5450943586576705,bert
freedesktop,knn,14,0.5379231930668762,bert
freedesktop,knn,15,0.5415699230639808,bert
freedesktop,knn,16,0.5282868915597834,bert
freedesktop,knn,17,0.5342186561400498,bert
freedesktop,knn,18,0.5656610252636742,bert
freedesktop,knn,19,0.5531128905675186,bert
freedesktop,knn,20,0.5436284892552486,bert
freedesktop,knn,21,0.5378180039138943,bert
freedesktop,knn,22,0.5314141414141414,bert
freedesktop,knn,23,0.5521893346379647,bert
freedesktop,knn,24,0.5354763235303148,bert
freedesktop,knn,25,0.5458566257576731,bert
freedesktop,knn,26,0.5367132867132867,bert
freedesktop,knn,27,0.5519646981446642,bert
freedesktop,knn,28,0.5426933816685446,bert
freedesktop,knn,29,0.5477129772677114,bert
freedesktop,knn,30,0.5488349276428747,bert
freedesktop,knn,31,0.5266776568315905,bert
freedesktop,knn,32,0.5465326682316118,bert
freedesktop,knn,33,0.5317964877929389,bert
freedesktop,knn,34,0.5188212122885489,bert
freedesktop,knn,35,0.5528001956468575,bert
freedesktop,knn,36,0.5572131087379353,bert
freedesktop,knn,37,0.5503312817408268,bert
freedesktop,knn,38,0.562812825062718,bert
freedesktop,knn,39,0.5241280583029673,bert
freedesktop,knn,40,0.5508710801393728,bert
freedesktop,knn,41,0.5337932278970758,bert
freedesktop,knn,42,0.5522016904336131,bert
freedesktop,knn,43,0.5291552050858854,bert
freedesktop,knn,44,0.5230090664052929,bert
freedesktop,knn,45,0.5186459950847935,bert
freedesktop,knn,46,0.5266996820738568,bert
freedesktop,knn,47,0.5413972824674829,bert
freedesktop,knn,48,0.5724919568913844,bert
freedesktop,knn,49,0.5217170850668806,bert
freedesktop,nb,0,0.5570257886837898,bert
freedesktop,nb,1,0.5408865036772014,bert
freedesktop,nb,2,0.5488671477430063,bert
freedesktop,nb,3,0.5714814395688756,bert
freedesktop,nb,4,0.5387391221806468,bert
freedesktop,nb,5,0.5744485294117647,bert
freedesktop,nb,6,0.5535615496294033,bert
freedesktop,nb,7,0.5405785406885759,bert
freedesktop,nb,8,0.5595328962090349,bert
freedesktop,nb,9,0.5275774932614555,bert
freedesktop,nb,10,0.5233718431197513,bert
freedesktop,nb,11,0.5546478786762449,bert
freedesktop,nb,12,0.5586307022235807,bert
freedesktop,nb,13,0.552469711375316,bert
freedesktop,nb,14,0.5550872164391633,bert
freedesktop,nb,15,0.5589118830205417,bert
freedesktop,nb,16,0.5497450695098243,bert
