project,classifier,fold,balanced_acc,feature_extraction
gcc,knn,0,0.5267219827779321,tf-idf
gcc,knn,1,0.5497106195881376,tf-idf
gcc,knn,2,0.5435585966622699,tf-idf
gcc,knn,3,0.5388924731182796,tf-idf
gcc,knn,4,0.5547925559282412,tf-idf
gcc,knn,5,0.5414179753403389,tf-idf
gcc,knn,6,0.533474430474115,tf-idf
gcc,knn,7,0.5468517293847552,tf-idf
gcc,knn,8,0.5493524375026893,tf-idf
gcc,knn,9,0.5420284217112186,tf-idf
gcc,knn,10,0.5409130029405437,tf-idf
gcc,knn,11,0.5362290779226367,tf-idf
gcc,knn,12,0.5295047002840781,tf-idf
gcc,knn,13,0.5768813258859604,tf-idf
gcc,knn,14,0.5481268600890151,tf-idf
gcc,knn,15,0.5190988155328669,tf-idf
gcc,knn,16,0.5519600017936416,tf-idf
gcc,knn,17,0.5442734484836314,tf-idf
gcc,knn,18,0.5499354792458241,tf-idf
gcc,knn,19,0.5385848285357773,tf-idf
gcc,knn,20,0.557860624612871,tf-idf
gcc,knn,21,0.5595779988817364,tf-idf
gcc,knn,22,0.5453659901728101,tf-idf
gcc,knn,23,0.5401579254340706,tf-idf
gcc,knn,24,0.5304804017356821,tf-idf
gcc,knn,25,0.5320686540198736,tf-idf
gcc,knn,26,0.5565513161786454,tf-idf
gcc,knn,27,0.5456671828623048,tf-idf
gcc,knn,28,0.5459941610077907,tf-idf
gcc,knn,29,0.5496224863035917,tf-idf
gcc,knn,30,0.5421618085859445,tf-idf
gcc,knn,31,0.5328038079944944,tf-idf
gcc,knn,32,0.5555394244418634,tf-idf
gcc,knn,33,0.5428022537311292,tf-idf
gcc,knn,34,0.5349908942296662,tf-idf
gcc,knn,35,0.538888540425265,tf-idf
gcc,knn,36,0.5667402748476902,tf-idf
gcc,knn,37,0.5660373637760325,tf-idf
gcc,knn,38,0.5509110655891951,tf-idf
gcc,knn,39,0.5336928384218372,tf-idf
gcc,knn,40,0.5412767499605299,tf-idf
gcc,knn,41,0.5455153949129853,tf-idf
gcc,knn,42,0.5282784237726099,tf-idf
gcc,knn,43,0.5375021509693702,tf-idf
gcc,knn,44,0.5535143082550384,tf-idf
gcc,knn,45,0.5617592933382407,tf-idf
gcc,knn,46,0.5384019245362223,tf-idf
gcc,knn,47,0.5374832663989291,tf-idf
gcc,knn,48,0.5466449207828519,tf-idf
gcc,knn,49,0.5483977346046311,tf-idf
gcc,nb,0,0.5415336780136379,tf-idf
gcc,nb,1,0.568058683655615,tf-idf
gcc,nb,2,0.5329113379595114,tf-idf
gcc,nb,3,0.5407365591397849,tf-idf
gcc,nb,4,0.5665438058991096,tf-idf
gcc,nb,5,0.5567482380193383,tf-idf
gcc,nb,6,0.5307988415936689,tf-idf
gcc,nb,7,0.5501502760886279,tf-idf
gcc,nb,8,0.5688115829783572,tf-idf
gcc,nb,9,0.5642625754509127,tf-idf
gcc,nb,10,0.5484006311410743,tf-idf
gcc,nb,11,0.5529021987005722,tf-idf
gcc,nb,12,0.5605704863382592,tf-idf
gcc,nb,13,0.5669456142019224,tf-idf
gcc,nb,14,0.5650795701008013,tf-idf
gcc,nb,15,0.5423149449351841,tf-idf
gcc,nb,16,0.5622241155105152,tf-idf
gcc,nb,17,0.5568010644707773,tf-idf
gcc,nb,18,0.5536400458814252,tf-idf
gcc,nb,19,0.5455337550019362,tf-idf
gcc,nb,20,0.5428404714669156,tf-idf
gcc,nb,21,0.5461552522544479,tf-idf
gcc,nb,22,0.565520878742378,tf-idf
gcc,nb,23,0.5408371842612948,tf-idf
gcc,nb,24,0.5745441679358603,tf-idf
gcc,nb,25,0.5479578010065815,tf-idf
gcc,nb,26,0.5677287515796833,tf-idf
gcc,nb,27,0.5563298490127759,tf-idf
gcc,nb,28,0.5510938701335011,tf-idf
gcc,nb,29,0.5474961155426681,tf-idf
gcc,nb,30,0.5522540120608238,tf-idf
gcc,nb,31,0.5380602311177382,tf-idf
gcc,nb,32,0.5769292811975739,tf-idf
gcc,nb,33,0.5575242648850913,tf-idf
gcc,nb,34,0.5464609383962372,tf-idf
gcc,nb,35,0.5670657072965296,tf-idf
gcc,nb,36,0.5498002362392433,tf-idf
gcc,nb,37,0.5637857131332543,tf-idf
gcc,nb,38,0.5355312891483996,tf-idf
gcc,nb,39,0.5661640053602854,tf-idf
gcc,nb,40,0.5698441290026266,tf-idf
gcc,nb,41,0.5602409638554217,tf-idf
gcc,nb,42,0.5432170542635659,tf-idf
gcc,nb,43,0.5430641992658025,tf-idf
