project,classifier,fold,balanced_acc,feature_extraction
mozilla,knn,0,0.5955920893663686,bert
mozilla,knn,1,0.5806650796012498,bert
mozilla,knn,2,0.5705367778439547,bert
mozilla,knn,3,0.588657355679702,bert
mozilla,knn,4,0.5932241724979477,bert
mozilla,knn,5,0.5954280839104688,bert
mozilla,knn,6,0.5846075774305439,bert
mozilla,knn,7,0.591495049412729,bert
mozilla,knn,8,0.5886397691842338,bert
mozilla,knn,9,0.609654184038118,bert
mozilla,knn,10,0.6073095258474719,bert
mozilla,knn,11,0.5741468718634994,bert
mozilla,knn,12,0.5828250670241286,bert
mozilla,knn,13,0.5850743406882866,bert
mozilla,knn,14,0.6042393782865652,bert
mozilla,knn,15,0.583033840234723,bert
mozilla,knn,16,0.5796675358539765,bert
mozilla,knn,17,0.5990582279423398,bert
mozilla,knn,18,0.5921388933876159,bert
mozilla,knn,19,0.5861330578743125,bert
mozilla,knn,20,0.5875157118100749,bert
mozilla,knn,21,0.5764622960819465,bert
mozilla,knn,22,0.5851870482152173,bert
mozilla,knn,23,0.6062387350483369,bert
mozilla,knn,24,0.5832705175093293,bert
mozilla,knn,25,0.5768477423819107,bert
mozilla,knn,26,0.5999172693301604,bert
mozilla,knn,27,0.5857664641229559,bert
mozilla,knn,28,0.5958588614104914,bert
mozilla,knn,29,0.6041275552774301,bert
mozilla,knn,30,0.5927893410074511,bert
mozilla,knn,31,0.6209100033456005,bert
mozilla,knn,32,0.5779325683761878,bert
mozilla,knn,33,0.5886602447763972,bert
mozilla,knn,34,0.5953519196973758,bert
mozilla,knn,35,0.6220764011525235,bert
mozilla,knn,36,0.5904491081421768,bert
mozilla,knn,37,0.5972271880819366,bert
mozilla,knn,38,0.5698260960271808,bert
mozilla,knn,39,0.5854082589983768,bert
mozilla,knn,40,0.5736157320495902,bert
mozilla,knn,41,0.5763031103504725,bert
mozilla,knn,42,0.5981583331006821,bert
mozilla,knn,43,0.5839517892875424,bert
mozilla,knn,44,0.5964756970329507,bert
mozilla,knn,45,0.5924778019768806,bert
mozilla,knn,46,0.6040788446526151,bert
mozilla,knn,47,0.5712161256700417,bert
mozilla,knn,48,0.5773313504066055,bert
mozilla,knn,49,0.5904310927987209,bert
mozilla,nb,0,0.5662441218564711,bert
mozilla,nb,1,0.590156784704657,bert
mozilla,nb,2,0.577263251935676,bert
mozilla,nb,3,0.5987225325884544,bert
mozilla,nb,4,0.6175247445498697,bert
mozilla,nb,5,0.5850061895680685,bert
mozilla,nb,6,0.5908338073409843,bert
mozilla,nb,7,0.6128100520673243,bert
mozilla,nb,8,0.5820261529154451,bert
mozilla,nb,9,0.5857820875521144,bert
mozilla,nb,10,0.5938433856448005,bert
mozilla,nb,11,0.5699425671908107,bert
mozilla,nb,12,0.5747337652666071,bert
mozilla,nb,13,0.6066458918555666,bert
mozilla,nb,14,0.6203592535715947,bert
mozilla,nb,15,0.582623745950319,bert
mozilla,nb,16,0.5798761408083442,bert
mozilla,nb,17,0.5887573634104806,bert
mozilla,nb,18,0.614439238331388,bert
mozilla,nb,19,0.5860921112631099,bert
mozilla,nb,20,0.5948203089555458,bert
mozilla,nb,21,0.578539600830178,bert
mozilla,nb,22,0.5732766972203591,bert
mozilla,nb,23,0.6065701666840451,bert
mozilla,nb,24,0.5934783215611826,bert
mozilla,nb,25,0.5737227540076115,bert
mozilla,nb,26,0.601259551209355,bert
mozilla,nb,27,0.5830987698448158,bert
mozilla,nb,28,0.6006849723476887,bert
mozilla,nb,29,0.6004846087371118,bert
mozilla,nb,30,0.6112273011198859,bert
mozilla,nb,31,0.5903033344485336,bert
mozilla,nb,32,0.5730552686190755,bert
mozilla,nb,33,0.5974768486202243,bert
mozilla,nb,34,0.5908728740356834,bert
mozilla,nb,35,0.5988651361650711,bert
mozilla,nb,36,0.5867493018707262,bert
mozilla,nb,37,0.6004040968342644,bert
mozilla,nb,38,0.5795793222662653,bert
mozilla,nb,39,0.5908996143020953,bert
mozilla,nb,40,0.5873664058288879,bert
mozilla,nb,41,0.5785298385296525,bert
mozilla,nb,42,0.5954893585341113,bert
mozilla,nb,43,0.5857527106891898,bert
mozilla,nb,44,0.5993122856716864,bert
mozilla,nb,45,0.6093929748143184,bert
mozilla,nb,46,0.6135803501728561,bert
mozilla,nb,47,0.5751861226920786,bert
mozilla,nb,48,0.5772085032563802,bert
mozilla,nb,49,0.5804136314252544,bert
mozilla,nn,0,0.558246129254103,bert
mozilla,nn,1,0.5892166344294003,bert
mozilla,nn,2,0.5639871203097082,bert
mozilla,nn,3,0.5552998137802607,bert
mozilla,nn,4,0.580273423320284,bert
mozilla,nn,5,0.5671819063869652,bert
mozilla,nn,6,0.5698101738771595,bert
mozilla,nn,7,0.562170620616425,bert
mozilla,nn,8,0.5643436176648517,bert
mozilla,nn,9,0.5581354228707565,bert
mozilla,nn,10,0.5798357715166108,bert
mozilla,nn,11,0.5772833723653397,bert
mozilla,nn,12,0.5495010425975573,bert
mozilla,nn,13,0.5475810189709767,bert
mozilla,nn,14,0.5974517194843874,bert
mozilla,nn,15,0.5656011050176899,bert
mozilla,nn,16,0.5634885453529521,bert
mozilla,nn,17,0.5798058758387076,bert
mozilla,nn,18,0.5590555651735236,bert
mozilla,nn,19,0.5573233944740688,bert
mozilla,nn,20,0.5656939599711424,bert
mozilla,nn,21,0.5638450408765966,bert
mozilla,nn,22,0.561189358372457,bert
mozilla,nn,23,0.5584623061683524,bert
mozilla,nn,24,0.5676800952939315,bert
mozilla,nn,25,0.5553755380374329,bert
mozilla,nn,26,0.5692111770064512,bert
mozilla,nn,27,0.5824807136687219,bert
mozilla,nn,28,0.5794053635049119,bert
mozilla,nn,29,0.5731401603194469,bert
mozilla,nn,30,0.5604197340828982,bert
mozilla,nn,31,0.5555648488903757,bert
mozilla,nn,32,0.5564793359204147,bert
mozilla,nn,33,0.5591437479640746,bert
mozilla,nn,34,0.5831527566794745,bert
mozilla,nn,35,0.5869987917092667,bert
mozilla,nn,36,0.5562863241030294,bert
mozilla,nn,37,0.5891340782122905,bert
mozilla,nn,38,0.5880491312252257,bert
mozilla,nn,39,0.5432867716042948,bert
mozilla,nn,40,0.564306425531124,bert
mozilla,nn,41,0.5811341989731379,bert
mozilla,nn,42,0.5622416408423835,bert
mozilla,nn,43,0.5399674251942854,bert
mozilla,nn,44,0.5738705829730133,bert
mozilla,nn,45,0.570905232590607,bert
mozilla,nn,46,0.5487342477974797,bert
mozilla,nn,47,0.573520324597975,bert
mozilla,nn,48,0.5651527306501779,bert
mozilla,nn,49,0.5742229502453351,bert
mozilla,rf,0,0.5946060482147173,bert
mozilla,rf,1,0.6019426052670733,bert
mozilla,rf,2,0.6069591274568196,bert
mozilla,rf,3,0.6088845437616388,bert
mozilla,rf,4,0.6053400199929633,bert
mozilla,rf,5,0.601692930509552,bert
mozilla,rf,6,0.6005816352706305,bert
mozilla,rf,7,0.6054628775812445,bert
mozilla,rf,8,0.5971343478058542,bert
mozilla,rf,9,0.6140764592019059,bert
mozilla,rf,10,0.5929399987347002,bert
mozilla,rf,11,0.5970781755325081,bert
mozilla,rf,12,0.5979669347631814,bert
mozilla,rf,13,0.6140324913577903,bert
mozilla,rf,14,0.6051617106426543,bert
mozilla,rf,15,0.6053895709295346,bert
mozilla,rf,16,0.6040799031476998,bert
mozilla,rf,17,0.5994667634495658,bert
mozilla,rf,18,0.6113965475838112,bert
mozilla,rf,19,0.6104143983174666,bert
mozilla,rf,20,0.6117909232222412,bert
mozilla,rf,21,0.6150830549955739,bert
mozilla,rf,22,0.597509128847157,bert
mozilla,rf,23,0.6028611115248834,bert
mozilla,rf,24,0.5864820346743349,bert
mozilla,rf,25,0.5788687542085036,bert
mozilla,rf,26,0.604696127461005,bert
mozilla,rf,27,0.6014207845590207,bert
mozilla,rf,28,0.6075756898170923,bert
mozilla,rf,29,0.6302651379700817,bert
mozilla,rf,30,0.6018354303306117,bert
mozilla,rf,31,0.6286076725772276,bert
mozilla,rf,32,0.6036116772290312,bert
mozilla,rf,33,0.5939587696030527,bert
mozilla,rf,34,0.60316139457302,bert
mozilla,rf,35,0.6198122502091272,bert
mozilla,rf,36,0.5923129552713873,bert
mozilla,rf,37,0.6208826815642459,bert
mozilla,rf,38,0.5963997258069323,bert
