project,classifier,fold,balanced_acc,feature_extraction
eclipse,knn,0,0.5092865475532633,tf-idf
eclipse,knn,1,0.5206805996279681,tf-idf
eclipse,knn,2,0.5018356374807988,tf-idf
eclipse,knn,3,0.5088014963311112,tf-idf
eclipse,knn,4,0.5227232095656437,tf-idf
eclipse,knn,5,0.5271922347394046,tf-idf
eclipse,knn,6,0.5259052390138101,tf-idf
eclipse,knn,7,0.5355581468738695,tf-idf
eclipse,knn,8,0.5303940754383946,tf-idf
eclipse,knn,9,0.49729690295728035,tf-idf
eclipse,knn,10,0.5257727607587943,tf-idf
eclipse,knn,11,0.531166794324689,tf-idf
eclipse,knn,12,0.5313766114180478,tf-idf
eclipse,knn,13,0.5314824205544286,tf-idf
eclipse,knn,14,0.5202191349733277,tf-idf
eclipse,knn,15,0.5280765427120239,tf-idf
eclipse,knn,16,0.5025446757553427,tf-idf
eclipse,knn,17,0.5188548773741471,tf-idf
eclipse,knn,18,0.5319080360979802,tf-idf
eclipse,knn,19,0.5301542534822148,tf-idf
eclipse,knn,20,0.507381893541083,tf-idf
eclipse,knn,21,0.5234066716159936,tf-idf
eclipse,knn,22,0.5288777736800049,tf-idf
eclipse,knn,23,0.5263902133603044,tf-idf
eclipse,knn,24,0.5239646565935911,tf-idf
eclipse,knn,25,0.5295208332134314,tf-idf
eclipse,knn,26,0.5311850311850312,tf-idf
eclipse,knn,27,0.513436466462549,tf-idf
eclipse,knn,28,0.5332066052227342,tf-idf
eclipse,knn,29,0.5154263614965384,tf-idf
eclipse,knn,30,0.5346360565110565,tf-idf
eclipse,knn,31,0.550640789231053,tf-idf
eclipse,knn,32,0.4923671664412405,tf-idf
eclipse,knn,33,0.5247054556201889,tf-idf
eclipse,knn,34,0.527705045576356,tf-idf
eclipse,knn,35,0.5158092299189388,tf-idf
eclipse,knn,36,0.5280545625840668,tf-idf
eclipse,knn,37,0.5054540074513443,tf-idf
eclipse,knn,38,0.5371186034242962,tf-idf
eclipse,knn,39,0.5363221301411909,tf-idf
eclipse,knn,40,0.5252500466702463,tf-idf
eclipse,knn,41,0.502954851104707,tf-idf
eclipse,knn,42,0.49917733440971823,tf-idf
eclipse,knn,43,0.5331280043752339,tf-idf
eclipse,knn,44,0.5015279608197466,tf-idf
eclipse,knn,45,0.5295237108615871,tf-idf
eclipse,knn,46,0.5288629009803074,tf-idf
eclipse,knn,47,0.5134837496642493,tf-idf
eclipse,knn,48,0.5076326211088599,tf-idf
eclipse,knn,49,0.5303071299041477,tf-idf
eclipse,nb,0,0.5238687296616934,tf-idf
eclipse,nb,1,0.5428748586643324,tf-idf
eclipse,nb,2,0.5552342549923195,tf-idf
