project,classifier,fold,balanced_acc,feature_extraction
gcc,knn,0,0.75,tf-idf
gcc,knn,1,0.7,tf-idf
gcc,knn,2,0.5,tf-idf
gcc,knn,3,0.6666666666666666,tf-idf
gcc,knn,4,0.5,tf-idf
gcc,knn,5,0.8333333333333333,tf-idf
gcc,knn,6,0.375,tf-idf
gcc,knn,7,0.6666666666666666,tf-idf
gcc,knn,8,0.4583333333333333,tf-idf
gcc,knn,9,0.3333333333333333,tf-idf
gcc,knn,10,0.4583333333333333,tf-idf
gcc,knn,11,0.5,tf-idf
gcc,knn,12,0.5,tf-idf
gcc,knn,13,0.5,tf-idf
gcc,knn,14,0.5,tf-idf
gcc,knn,15,0.6666666666666667,tf-idf
gcc,knn,16,0.5,tf-idf
gcc,knn,17,0.6904761904761905,tf-idf
gcc,knn,18,0.7619047619047619,tf-idf
gcc,knn,19,0.5625,tf-idf
gcc,knn,20,0.5714285714285714,tf-idf
gcc,knn,21,0.5,tf-idf
gcc,knn,22,0.6666666666666666,tf-idf
gcc,knn,23,0.5,tf-idf
gcc,knn,24,0.5,tf-idf
gcc,knn,25,0.625,tf-idf
gcc,knn,26,0.5416666666666666,tf-idf
gcc,knn,27,0.7083333333333333,tf-idf
gcc,knn,28,0.3333333333333333,tf-idf
gcc,knn,29,0.5,tf-idf
gcc,knn,30,0.5,tf-idf
gcc,knn,31,0.6875,tf-idf
gcc,knn,32,0.35714285714285715,tf-idf
gcc,knn,33,0.5,tf-idf
gcc,knn,34,0.7,tf-idf
gcc,knn,35,0.625,tf-idf
gcc,knn,36,0.4,tf-idf
gcc,knn,37,0.4166666666666667,tf-idf
gcc,knn,38,0.35714285714285715,tf-idf
gcc,knn,39,0.5,tf-idf
gcc,knn,40,0.5,tf-idf
gcc,knn,41,0.4444444444444444,tf-idf
gcc,knn,42,0.5952380952380952,tf-idf
gcc,knn,43,0.5,tf-idf
gcc,knn,44,0.25,tf-idf
gcc,knn,45,0.3,tf-idf
gcc,knn,46,0.5,tf-idf
gcc,knn,47,0.4166666666666667,tf-idf
gcc,knn,48,0.5238095238095238,tf-idf
gcc,knn,49,0.4583333333333333,tf-idf
