feature,max_term,classifier,balancing,resampling,train_metric,threshold,train_size,train_size_class_0,train_size_class_1,hyper1,value1,hyper2,value2,hyper3,value3,seed
long_description,100,knn,smote,cv10,Accuracy,365,17081,8729,8352,k,5,,0,,0,144
long_description,100,knn,unbalanced,cv10,Accuracy,365,9425,8729,696,k,33,,0,,0,144
long_description,100,nb,smote,cv10,Accuracy,365,17081,8729,8352,fL,0,usekernel,0,adjust,0,144
long_description,100,nb,unbalanced,cv10,Accuracy,365,9425,8729,696,fL,0,usekernel,1,adjust,4,144
long_description,100,nn,smote,cv10,Accuracy,365,17081,8729,8352,size,20,decay,0.5,,0,144
long_description,100,nn,unbalanced,cv10,Accuracy,365,9425,8729,696,size,10,decay,0.5,,0,144
long_description,100,rf,smote,cv10,Accuracy,365,17081,8729,8352,mtry,25,,0,,0,144
long_description,100,rf,unbalanced,cv10,Accuracy,365,9425,8729,696,mtry,25,,0,,0,144
long_description,100,svm,smote,cv10,Accuracy,365,17081,8729,8352,sigma,0.03125,C,32,,0,144
long_description,100,svm,unbalanced,cv10,Accuracy,365,9425,8729,696,sigma,32,C,0.03125,,0,144
short_description,100,knn,smote,cv10,Accuracy,365,14863,7651,7212,k,5,,0,,0,144
short_description,100,knn,unbalanced,cv10,Accuracy,365,8252,7651,601,k,33,,0,,0,144
short_description,100,nb,smote,cv10,Accuracy,365,14863,7651,7212,fL,0,usekernel,0,adjust,0,144
short_description,100,nb,unbalanced,cv10,Accuracy,365,8252,7651,601,fL,0,usekernel,1,adjust,1,144
short_description,100,nn,smote,cv10,Accuracy,365,14863,7651,7212,size,40,decay,0.5,,0,144
short_description,100,nn,unbalanced,cv10,Accuracy,365,8252,7651,601,size,30,decay,0.5,,0,144
short_description,100,rf,smote,cv10,Accuracy,365,14863,7651,7212,mtry,75,,0,,0,144
short_description,100,rf,unbalanced,cv10,Accuracy,365,8252,7651,601,mtry,25,,0,,0,144
short_description,100,svm,smote,cv10,Accuracy,365,14863,7651,7212,sigma,0.03125,C,32,,0,144
short_description,100,svm,unbalanced,cv10,Accuracy,365,8252,7651,601,sigma,32,C,0.03125,,0,144
