tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
384,271,0,626,Fold01,0.7884465261514442,0.6978818283166109,1,0.8489409141583055,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
383,272,1,625,Fold02,0.7868852459016393,0.6967670011148273,0.9973958333333334,0.8470814172240804,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
390,265,0,627,Fold03,0.7932917316692668,0.702914798206278,1,0.851457399103139,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
398,257,0,626,Fold04,0.7993754879000781,0.7089467723669309,1,0.8544733861834655,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
401,253,0,627,Fold05,0.8024980483996877,0.7125,1,0.85625,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
372,283,0,626,Fold06,0.7790788446526151,0.6886688668866887,1,0.8443344334433444,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
373,281,0,626,Fold07,0.78046875,0.6901874310915105,1,0.8450937155457552,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
387,268,3,623,Fold08,0.7884465261514442,0.6992143658810326,0.9923076923076923,0.8457610290943625,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
387,268,0,627,Fold09,0.7909516380655226,0.7005586592178771,1,0.8502793296089386,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
368,286,0,627,Fold10,0.7767369242779079,0.6867469879518072,1,0.8433734939759037,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
378,277,0,626,Fold01,0.7837626854020296,0.6932447397563677,1,0.8466223698781838,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
366,289,0,626,Fold02,0.7743950039032006,0.6841530054644809,1,0.8420765027322404,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
