tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
512,361,1,834,Fold01,0.788056206088993,0.697907949790795,0.9980506822612085,0.8479793160260017,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
522,351,0,835,Fold02,0.794496487119438,0.7040472175379426,1,0.8520236087689713,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
498,375,1,834,Fold03,0.7798594847775175,0.6898263027295285,0.9979959919839679,0.8439111473567482,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
480,393,0,835,Fold04,0.7699063231850117,0.6799674267100977,1,0.8399837133550488,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
524,349,0,835,Fold05,0.7956674473067916,0.7052364864864865,1,0.8526182432432432,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
482,391,1,835,Fold06,0.7706260971328263,0.6810766721044046,0.9979296066252588,0.8395031393648317,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
534,338,0,835,Fold07,0.80199179847686,0.711849957374254,1,0.855924978687127,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
507,366,1,834,Fold08,0.7851288056206089,0.695,0.9980314960629921,0.846515748031496,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
508,365,0,836,Fold09,0.7864248098303102,0.6960865945045795,1,0.8480432972522898,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
519,354,0,835,Fold10,0.7927400468384075,0.7022708158116064,1,0.8511354079058032,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,144,1
502,371,0,836,Fold01,0.7829139847864248,0.6926263463131731,1,0.8463131731565865,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
511,362,0,835,Fold02,0.788056206088993,0.697577276524645,1,0.8487886382623224,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
491,382,0,835,Fold03,0.7763466042154566,0.686113393590797,1,0.8430566967953985,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
521,352,0,835,Fold04,0.7939110070257611,0.7034540859309183,1,0.8517270429654591,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
497,376,0,835,Fold05,0.7798594847775175,0.6895127993393889,1,0.8447563996696945,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
534,338,1,834,Fold06,0.8014059753954306,0.71160409556314,0.9981308411214953,0.8548674683423176,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
514,359,1,834,Fold07,0.7892271662763466,0.6990779547359598,0.9980582524271845,0.8485681035815722,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
529,344,0,835,Fold08,0.7985948477751756,0.7082273112807463,1,0.8541136556403732,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
500,373,2,833,Fold09,0.7804449648711944,0.6907131011608624,0.9960159362549801,0.8433645187079213,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
490,383,2,834,Fold10,0.7747220596840257,0.6852917009038619,0.9959349593495935,0.8406133301267278,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,283,1
517,356,2,834,Fold01,0.7905207723815096,0.7008403361344537,0.9961464354527938,0.8484933857936238,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
513,360,1,834,Fold02,0.7886416861826698,0.6984924623115578,0.9980544747081712,0.8482734685098645,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
494,379,1,834,Fold03,0.7775175644028103,0.6875515251442704,0.997979797979798,0.8427656615620343,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
518,355,1,835,Fold04,0.791691047396138,0.7016806722689075,0.9980732177263969,0.8498769449976522,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
513,360,0,835,Fold05,0.7892271662763466,0.698744769874477,1,0.8493723849372385,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
513,360,0,835,Fold06,0.7892271662763466,0.698744769874477,1,0.8493723849372385,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
508,365,0,835,Fold07,0.7862997658079626,0.6958333333333333,1,0.8479166666666667,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
496,377,1,834,Fold08,0.7786885245901639,0.6886870355078447,0.9979879275653923,0.8433374815366186,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
498,375,0,835,Fold09,0.7804449648711944,0.6900826446280992,1,0.8450413223140496,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
506,366,1,834,Fold10,0.7850029291154071,0.695,0.9980276134122288,0.8465138067061144,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,1087,1
