tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed
162,0,12,0,Fold1.Rep01,0.9310344827586207,0,0.9310344827586207,0.46551724137931033,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
161,0,12,0,Fold2.Rep01,0.930635838150289,0,0.930635838150289,0.4653179190751445,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
162,0,12,0,Fold3.Rep01,0.9310344827586207,0,0.9310344827586207,0.46551724137931033,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
161,0,12,0,Fold4.Rep01,0.930635838150289,0,0.930635838150289,0.4653179190751445,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
161,0,12,0,Fold5.Rep01,0.930635838150289,0,0.930635838150289,0.4653179190751445,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
161,0,12,0,Fold1.Rep02,0.930635838150289,0,0.930635838150289,0.4653179190751445,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
161,0,12,0,Fold2.Rep02,0.930635838150289,0,0.930635838150289,0.4653179190751445,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
161,0,12,0,Fold3.Rep02,0.930635838150289,0,0.930635838150289,0.4653179190751445,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
162,0,12,0,Fold4.Rep02,0.9310344827586207,0,0.9310344827586207,0.46551724137931033,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
162,0,12,0,Fold5.Rep02,0.9310344827586207,0,0.9310344827586207,0.46551724137931033,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
162,0,12,0,Fold1.Rep03,0.9310344827586207,0,0.9310344827586207,0.46551724137931033,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,short_description,k,33,NA,0,NA,0,144
