bug_id,bug_fix_time,long_lived,y_hat,project_name
ACCELEO-255379,14,Y,Y,eclipse
AJDT-336180,27,Y,N,eclipse
ASPECTJ-242797,57,Y,N,eclipse
ASPECTJ-29699,195,Y,Y,eclipse
BIRT-129744,0,N,N,eclipse
BIRT-133451,3,N,N,eclipse
BIRT-136956,42,Y,N,eclipse
BIRT-158384,19,Y,N,eclipse
BIRT-164857,144,Y,N,eclipse
BIRT-168637,22,Y,N,eclipse
BIRT-177704,6,N,N,eclipse
BIRT-183899,3,N,N,eclipse
BIRT-189860,1,N,N,eclipse
BIRT-193287,48,Y,N,eclipse
BIRT-199627,2,N,N,eclipse
BIRT-199791,0,N,N,eclipse
BIRT-208365,5,N,Y,eclipse
BIRT-214043,3,N,Y,eclipse
BIRT-219738,11,Y,Y,eclipse
BIRT-270093,0,N,N,eclipse
BIRT-280228,42,Y,N,eclipse
BIRT-287773,111,Y,N,eclipse
CDT-181021,6,N,N,eclipse
CDT-278797,2,N,Y,eclipse
CDT-36680,1,N,N,eclipse
CDT-388648,2,N,N,eclipse
CDT-39530,54,Y,N,eclipse
CDT-431986,12,Y,N,eclipse
CDT-51065,1192,Y,N,eclipse
CDT-57864,25,Y,Y,eclipse
CDT-94702,34,Y,N,eclipse
CFT-491197,8,N,N,eclipse
COMMUNITY-196849,308,Y,Y,eclipse
COMMUNITY-252007,38,Y,N,eclipse
COMMUNITY-280178,366,Y,N,eclipse
COMMUNITY-291068,46,Y,Y,eclipse
COMMUNITY-291199,591,Y,Y,eclipse
COMMUNITY-315410,0,N,Y,eclipse
COMMUNITY-350704,50,Y,Y,eclipse
COMMUNITY-376649,764,Y,Y,eclipse
COMMUNITY-420218,1,N,N,eclipse
COMMUNITY-432484,12,Y,N,eclipse
COMMUNITY-434147,59,Y,Y,eclipse
COMMUNITY-460325,0,N,N,eclipse
COMMUNITY-487960,2,N,Y,eclipse
COMMUNITY-515916,0,N,N,eclipse
COMMUNITY-526005,26,Y,Y,eclipse
DALI_JPA_TOOLS-185224,9,Y,Y,eclipse
DALI_JPA_TOOLS-223418,56,Y,Y,eclipse
DATA_TOOLS-312360,2,N,Y,eclipse
DLTK-190420,7,N,Y,eclipse
DRUPAL-401343,124,Y,Y,eclipse
ECF-107173,65,Y,N,eclipse
ECLIPSELINK-261076,483,Y,Y,eclipse
ECLIPSELINK-337894,1,N,Y,eclipse
ECLIPSELINK-374302,21,Y,Y,eclipse
ECP-441210,224,Y,N,eclipse
EFXCLIPSE-467232,2,N,N,eclipse
EGIT-327087,106,Y,Y,eclipse
EGIT-337028,142,Y,Y,eclipse
EGIT-360194,527,Y,Y,eclipse
EGIT-475701,0,N,Y,eclipse
EMF-154389,425,Y,N,eclipse
