tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
18,18,19,19,Fold01,0.5,0.5135135135135135,0.4864864864864865,0.5,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
8,28,10,28,Fold02,0.4864864864864865,0.5,0.4444444444444444,0.4722222222222222,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
25,11,23,14,Fold03,0.5342465753424658,0.56,0.5208333333333334,0.5404166666666668,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
22,14,22,15,Fold04,0.5068493150684932,0.5172413793103449,0.5,0.5086206896551724,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
16,19,21,16,Fold05,0.4444444444444444,0.45714285714285713,0.43243243243243246,0.44478764478764476,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
22,14,22,15,Fold06,0.5068493150684932,0.5172413793103449,0.5,0.5086206896551724,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
25,10,25,13,Fold07,0.5205479452054794,0.5652173913043478,0.5,0.5326086956521738,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
24,12,21,17,Fold08,0.5540540540540541,0.5862068965517241,0.5333333333333333,0.5597701149425287,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
13,23,15,22,Fold09,0.4794520547945205,0.4888888888888889,0.4642857142857143,0.47658730158730156,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
10,25,13,25,Fold10,0.4794520547945205,0.5,0.43478260869565216,0.46739130434782605,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
46,6,0,62,Fold01,0.9473684210526315,0.9117647058823529,1,0.9558823529411764,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
46,5,0,62,Fold02,0.9557522123893806,0.9253731343283582,1,0.9626865671641791,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
51,1,0,62,Fold03,0.9912280701754386,0.9841269841269841,1,0.9920634920634921,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
47,5,1,61,Fold04,0.9473684210526315,0.9242424242424242,0.9791666666666666,0.9517045454545454,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
49,2,0,62,Fold05,0.9823008849557522,0.96875,1,0.984375,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
47,5,1,61,Fold06,0.9473684210526315,0.9242424242424242,0.9791666666666666,0.9517045454545454,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
50,1,2,60,Fold07,0.9734513274336283,0.9836065573770492,0.9615384615384616,0.9725725094577553,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
50,2,1,62,Fold08,0.9739130434782609,0.96875,0.9803921568627451,0.9745710784313726,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
48,4,0,62,Fold09,0.9649122807017544,0.9393939393939394,1,0.9696969696969697,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
46,5,0,62,Fold10,0.9557522123893806,0.9253731343283582,1,0.9626865671641791,winehq,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
