tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
643,15,4,626,Fold01,0.985248447204969,0.9765990639625585,0.9938176197836167,0.9852083418730876,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
646,12,2,628,Fold02,0.9891304347826086,0.98125,0.9969135802469136,0.9890817901234568,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
652,6,2,628,Fold03,0.9937888198757764,0.9905362776025236,0.9969418960244648,0.9937390868134942,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
653,5,3,627,Fold04,0.9937888198757764,0.9920886075949367,0.9954268292682927,0.9937577184316146,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
646,11,3,627,Fold05,0.9891219891219891,0.9827586206896551,0.9953775038520801,0.9890680622708676,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
645,13,0,630,Fold06,0.9899068322981367,0.9797822706065319,1,0.989891135303266,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
647,10,5,625,Fold07,0.9883449883449883,0.984251968503937,0.9923312883435583,0.9882916284237477,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
649,9,5,625,Fold08,0.9891304347826086,0.9858044164037855,0.9923547400611621,0.9890795782324737,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
655,3,0,630,Fold09,0.9976708074534162,0.995260663507109,1,0.9976303317535544,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
649,9,4,626,Fold10,0.9899068322981367,0.9858267716535433,0.9938744257274119,0.9898505986904775,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
478,13,11,460,Fold01,0.975051975051975,0.9725158562367865,0.9775051124744376,0.975010484355612,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
481,10,19,452,Fold02,0.9698544698544699,0.9783549783549783,0.962,0.9701774891774891,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
471,20,11,459,Fold03,0.967741935483871,0.9582463465553236,0.9771784232365145,0.967712384895919,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
471,20,12,458,Fold04,0.9667013527575442,0.9581589958158996,0.9751552795031055,0.9666571376595026,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
476,15,12,459,Fold05,0.9719334719334719,0.9683544303797469,0.9754098360655737,0.9718821332226604,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
479,12,11,459,Fold06,0.9760665972944849,0.9745222929936306,0.9775510204081632,0.9760366567008969,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
468,23,9,462,Fold07,0.9667359667359667,0.9525773195876288,0.9811320754716981,0.9668546975296635,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
478,13,9,461,Fold08,0.9771071800208116,0.9725738396624473,0.9815195071868583,0.9770466734246528,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
477,14,9,461,Fold09,0.9760665972944849,0.9705263157894737,0.9814814814814815,0.9760038986354775,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
476,15,12,458,Fold10,0.9719042663891779,0.9682875264270613,0.9754098360655737,0.9718486812463175,freedesktop,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
603,21,11,599,Fold01,0.9740680713128039,0.9661290322580646,0.9820846905537459,0.9741068614059052,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
607,17,14,596,Fold02,0.9748784440842788,0.9722675367047309,0.9774557165861514,0.9748616266454411,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
611,13,18,592,Fold03,0.9748784440842788,0.9785123966942149,0.9713831478537361,0.9749477722739754,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
594,30,20,590,Fold04,0.9594813614262561,0.9516129032258065,0.9674267100977199,0.9595198066617632,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
604,19,18,592,Fold05,0.9699918896999189,0.9689034369885434,0.9710610932475884,0.9699822651180658,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
608,16,21,589,Fold06,0.9700162074554295,0.9735537190082645,0.9666136724960255,0.970083695752145,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
608,15,15,595,Fold07,0.975669099756691,0.9754098360655737,0.9759229534510433,0.9756663947583085,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
601,23,17,593,Fold08,0.9675850891410048,0.9626623376623377,0.9724919093851133,0.9675771235237255,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
608,16,25,585,Fold09,0.9667747163695299,0.9733777038269551,0.9605055292259084,0.9669416165264317,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
604,20,17,593,Fold10,0.9700162074554295,0.967373572593801,0.9726247987117552,0.9699991856527781,gcc,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
485,10,12,411,Fold01,0.9760348583877996,0.9762470308788599,0.9758551307847082,0.976051080831784,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
476,18,18,405,Fold02,0.960741548527808,0.9574468085106383,0.9635627530364372,0.9605047807735378,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
476,18,13,410,Fold03,0.9661941112322792,0.9579439252336449,0.9734151329243353,0.9656795290789901,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
472,22,13,410,Fold04,0.9618320610687023,0.9490740740740741,0.9731958762886598,0.9611349751813669,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
482,12,8,415,Fold05,0.9781897491821155,0.9718969555035128,0.9836734693877551,0.977785212445634,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
479,15,11,412,Fold06,0.9716466739367503,0.9648711943793911,0.9775510204081632,0.9712111073937771,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
477,17,13,410,Fold07,0.9672846237731734,0.9601873536299765,0.9734693877551021,0.9668283706925394,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
478,16,12,411,Fold08,0.9694656488549618,0.9625292740046838,0.9755102040816327,0.9690197390431583,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
484,10,16,407,Fold09,0.9716466739367503,0.9760191846522782,0.968,0.9720095923261391,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
477,17,15,408,Fold10,0.965103598691385,0.96,0.9695121951219512,0.9647560975609756,gnome,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
224,46,150,34,Fold01,0.5682819383259912,0.425,0.5989304812834224,0.5119652406417112,winehq,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
232,37,142,43,Fold02,0.6057268722466961,0.5375,0.6203208556149733,0.5789104278074866,winehq,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
236,33,146,39,Fold03,0.6057268722466961,0.5416666666666666,0.6178010471204188,0.5797338568935427,winehq,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
237,32,136,49,Fold04,0.6299559471365639,0.6049382716049383,0.6353887399463807,0.6201635057756595,winehq,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
229,40,144,41,Fold05,0.5947136563876652,0.5061728395061729,0.613941018766756,0.5600569291364644,winehq,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
241,28,150,34,Fold06,0.6070640176600441,0.5483870967741935,0.6163682864450127,0.5823776916096031,winehq,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
