tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed
981,765,1,1669,Fold1.Rep01,0.7757611241217799,0.6857025472473295,0.9989816700610998,0.8423421086542147,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
988,758,1,1669,Fold2.Rep01,0.7778103044496487,0.6876802637000412,0.9989888776541962,0.8433345706771187,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1027,719,0,1671,Fold3.Rep01,0.7895815042434884,0.699163179916318,1,0.849581589958159,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
980,766,0,1670,Fold4.Rep01,0.7757611241217799,0.6855500821018062,1,0.8427750410509032,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
955,790,0,1671,Fold5.Rep01,0.7687353629976581,0.678992279561154,1,0.839496139780577,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1016,730,2,1668,Fold1.Rep02,0.7857142857142857,0.69557964970809,0.9980353634577603,0.8468075065829253,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
984,762,3,1667,Fold2.Rep02,0.7760538641686182,0.6862906545903664,0.9969604863221885,0.8416255704562774,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
983,763,4,1666,Fold3.Rep02,0.7754683840749415,0.6858789625360231,0.9959473150962512,0.8409131388161372,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
958,788,0,1671,Fold4.Rep02,0.7693883523558677,0.6795445302968687,1,0.8397722651484343,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
987,758,3,1668,Fold5.Rep02,0.7772248243559718,0.6875515251442704,0.996969696969697,0.8422606110569837,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1000,745,2,1668,Fold1.Rep03,0.7812591508052709,0.6912556983008703,0.998003992015968,0.8446298451584191,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1019,727,2,1668,Fold2.Rep03,0.7865925058548009,0.6964509394572025,0.9980411361410382,0.8472460377991203,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
947,799,0,1671,Fold3.Rep03,0.7661691542288557,0.6765182186234818,1,0.8382591093117409,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
944,802,1,1670,Fold4.Rep03,0.7649985367281241,0.6755663430420712,0.9989417989417989,0.837254070991935,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
955,791,1,1669,Fold5.Rep03,0.7681498829039812,0.6784552845528455,0.9989539748953975,0.8387046297241215,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
