bug_id,bug_fix_time,long_lived,y_hat,project_name
ACCELEO-255379,14,N,N,eclipse
ACCELEO-332657,1,N,N,eclipse
ACCELEO-340094,7,N,N,eclipse
ACCELEO-510922,149,N,N,eclipse
ACTF-218022,62,N,N,eclipse
ACTF-240727,3,N,N,eclipse
ACTF-260379,77,N,N,eclipse
AJDT-149675,20,N,N,eclipse
AJDT-163326,602,Y,N,eclipse
AJDT-196108,611,Y,N,eclipse
AJDT-250375,14,N,N,eclipse
AJDT-253528,41,N,N,eclipse
AJDT-279974,29,N,N,eclipse
AJDT-384434,60,N,N,eclipse
AJDT-42957,11,N,N,eclipse
AJDT-49296,120,N,N,eclipse
AJDT-74174,333,N,N,eclipse
AJDT-78052,8,N,N,eclipse
AJDT-88602,10,N,N,eclipse
AMALGAM-269577,1530,Y,N,eclipse
AMP-307310,2,N,N,eclipse
ASPECTJ-108370,1,N,N,eclipse
ASPECTJ-120351,0,N,N,eclipse
ASPECTJ-120521,0,N,N,eclipse
ASPECTJ-152257,3,N,N,eclipse
ASPECTJ-164633,6,N,N,eclipse
ASPECTJ-169428,308,N,N,eclipse
ASPECTJ-196658,240,N,N,eclipse
ASPECTJ-213073,59,N,N,eclipse
ASPECTJ-275625,24,N,N,eclipse
ASPECTJ-325731,799,Y,N,eclipse
ASPECTJ-342323,3,N,N,eclipse
ASPECTJ-36056,18,N,N,eclipse
ASPECTJ-50570,2,N,N,eclipse
ASPECTJ-77163,9,N,N,eclipse
ASPECTJ-99089,6,N,N,eclipse
ATF-143302,1,N,N,eclipse
ATF-284247,0,N,N,eclipse
BABEL-220504,0,N,N,eclipse
BABEL-259461,949,Y,N,eclipse
BABEL-394921,5,N,N,eclipse
BABEL-411126,0,N,N,eclipse
BABEL-421896,201,N,N,eclipse
BABEL-425633,3,N,N,eclipse
BABEL-433035,4,N,N,eclipse
BIRT-104178,0,N,N,eclipse
BIRT-105311,15,N,N,eclipse
BIRT-108231,0,N,N,eclipse
BIRT-113730,6,N,N,eclipse
BIRT-115424,1,N,N,eclipse
BIRT-115456,2,N,N,eclipse
BIRT-115946,4,N,N,eclipse
BIRT-115954,1,N,N,eclipse
BIRT-117650,0,N,N,eclipse
BIRT-118391,7,N,N,eclipse
BIRT-120993,2,N,N,eclipse
BIRT-121017,5,N,N,eclipse
BIRT-122414,4,N,N,eclipse
BIRT-123561,0,N,N,eclipse
BIRT-123731,3,N,N,eclipse
BIRT-124698,18,N,N,eclipse
BIRT-125971,114,N,N,eclipse
BIRT-130861,7,N,N,eclipse
BIRT-131308,38,N,N,eclipse
BIRT-132079,1,N,N,eclipse
BIRT-132633,4,N,N,eclipse
