bug_id,bug_fix_time,long_lived,y_hat,project_name
ADDONS.MOZILLA.ORG_GRAVEYARD-247339,66,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-248543,7,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-254074,3,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-255753,6,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-256085,1008,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-258227,6,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-262828,13,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-263455,3,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-263619,9,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-266838,30,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-269957,3,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-273027,75,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-276467,513,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-282117,291,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-284646,24,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-290202,0,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-294190,3,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-320082,46,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-326811,2,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-330468,0,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-352560,183,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-359084,174,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-362060,1,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-362566,95,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-370595,5,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-380306,0,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-413701,177,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-423012,3,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-425067,6,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-431534,169,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-433409,547,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-437279,524,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-440129,7,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-440546,689,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-454362,3,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-477045,1,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-479398,980,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-479905,22,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-481146,8,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-486359,105,N,Y,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-488519,74,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-494077,119,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-504692,32,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-516674,372,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-518097,62,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-518235,20,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-519845,2,N,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-528240,1100,Y,N,mozilla
ADDONS.MOZILLA.ORG_GRAVEYARD-645351,5,N,N,mozilla
AUS_GRAVEYARD-317618,6,N,N,mozilla
BUGZILLA-103554,3,N,N,mozilla
BUGZILLA-105960,2626,Y,N,mozilla
BUGZILLA-110276,6,N,N,mozilla
BUGZILLA-127507,1,N,N,mozilla
BUGZILLA-133201,0,N,N,mozilla
BUGZILLA-133210,6,N,N,mozilla
BUGZILLA-140633,1,N,N,mozilla
BUGZILLA-142890,27,N,Y,mozilla
BUGZILLA-143743,10,N,N,mozilla
BUGZILLA-149496,616,Y,N,mozilla
BUGZILLA-152632,5,N,N,mozilla
BUGZILLA-156564,132,N,Y,mozilla
BUGZILLA-162313,138,N,N,mozilla
BUGZILLA-163290,150,N,N,mozilla
BUGZILLA-164307,1036,Y,N,mozilla
BUGZILLA-166023,23,N,N,mozilla
BUGZILLA-166755,541,Y,N,mozilla
BUGZILLA-168804,3,N,N,mozilla
BUGZILLA-172874,17,N,N,mozilla
BUGZILLA-179177,0,N,N,mozilla
BUGZILLA-179184,0,N,N,mozilla
BUGZILLA-180444,2,N,N,mozilla
BUGZILLA-181396,3024,Y,N,mozilla
BUGZILLA-185330,385,Y,N,mozilla
BUGZILLA-186689,60,N,N,mozilla
BUGZILLA-190040,223,N,N,mozilla
BUGZILLA-192516,402,Y,N,mozilla
BUGZILLA-201018,17,N,N,mozilla
BUGZILLA-207039,301,N,N,mozilla
BUGZILLA-207206,50,N,N,mozilla
BUGZILLA-208604,167,N,N,mozilla
BUGZILLA-215320,655,Y,N,mozilla
BUGZILLA-220724,32,N,Y,mozilla
BUGZILLA-223541,219,N,N,mozilla
BUGZILLA-230293,89,N,Y,mozilla
BUGZILLA-233295,57,N,N,mozilla
BUGZILLA-233400,1998,Y,Y,mozilla
BUGZILLA-237864,1,N,N,mozilla
BUGZILLA-240439,0,N,N,mozilla
BUGZILLA-245075,114,N,N,mozilla
BUGZILLA-248001,11,N,N,mozilla
BUGZILLA-250547,10,N,N,mozilla
BUGZILLA-250967,2,N,N,mozilla
BUGZILLA-253583,3,N,N,mozilla
BUGZILLA-258712,20,N,N,mozilla
BUGZILLA-272322,32,N,N,mozilla
BUGZILLA-274365,88,N,Y,mozilla
BUGZILLA-274397,10,N,N,mozilla
BUGZILLA-274509,3678,Y,N,mozilla
BUGZILLA-275637,469,Y,N,mozilla
BUGZILLA-276818,191,N,N,mozilla
BUGZILLA-277723,31,N,N,mozilla
BUGZILLA-278148,1,N,N,mozilla
BUGZILLA-280775,1,N,N,mozilla
BUGZILLA-280778,33,N,N,mozilla
BUGZILLA-282737,151,N,N,mozilla
BUGZILLA-290252,693,Y,N,mozilla
BUGZILLA-295456,513,Y,N,mozilla
BUGZILLA-298273,36,N,Y,mozilla
BUGZILLA-301067,111,N,N,mozilla
BUGZILLA-302083,4,N,N,mozilla
BUGZILLA-303683,2103,Y,N,mozilla
BUGZILLA-303690,243,N,N,mozilla
BUGZILLA-304699,374,Y,N,mozilla
BUGZILLA-305451,1,N,N,mozilla
BUGZILLA-31117,3207,Y,N,mozilla
BUGZILLA-311973,1328,Y,N,mozilla
BUGZILLA-313661,2,N,N,mozilla
BUGZILLA-313941,2,N,N,mozilla
BUGZILLA-315317,107,N,N,mozilla
BUGZILLA-316665,3836,Y,N,mozilla
BUGZILLA-318715,3018,Y,N,mozilla
BUGZILLA-319241,6,N,N,mozilla
BUGZILLA-319718,4,N,N,mozilla
BUGZILLA-323563,12,N,N,mozilla
BUGZILLA-330519,1,N,N,mozilla
BUGZILLA-330577,0,N,N,mozilla
BUGZILLA-338793,28,N,N,mozilla
BUGZILLA-344298,2,N,N,mozilla
BUGZILLA-349855,58,N,N,mozilla
BUGZILLA-350234,15,N,N,mozilla
BUGZILLA-351486,33,N,N,mozilla
BUGZILLA-356336,0,N,N,mozilla
BUGZILLA-357396,0,N,N,mozilla
BUGZILLA-364926,2,N,N,mozilla
BUGZILLA-365259,955,Y,N,mozilla
BUGZILLA-366793,1789,Y,N,mozilla
BUGZILLA-370739,161,N,N,mozilla
BUGZILLA-371016,0,N,N,mozilla
BUGZILLA-372589,50,N,N,mozilla
BUGZILLA-374850,1,N,N,mozilla
BUGZILLA-382037,0,N,N,mozilla
BUGZILLA-385379,15,N,N,mozilla
BUGZILLA-38854,364,N,N,mozilla
BUGZILLA-394933,0,N,N,mozilla
BUGZILLA-398308,1017,Y,N,mozilla
BUGZILLA-405355,427,Y,Y,mozilla
BUGZILLA-413184,66,N,N,mozilla
BUGZILLA-414269,2,N,N,mozilla
BUGZILLA-414726,94,N,N,mozilla
BUGZILLA-415471,8,N,N,mozilla
BUGZILLA-425565,0,N,N,mozilla
BUGZILLA-425620,3,N,N,mozilla
BUGZILLA-42809,75,N,N,mozilla
BUGZILLA-428452,766,Y,N,mozilla
BUGZILLA-449504,1,N,N,mozilla
BUGZILLA-452926,5,N,N,mozilla
BUGZILLA-455558,2,N,N,mozilla
BUGZILLA-455845,4,N,N,mozilla
BUGZILLA-468617,20,N,N,mozilla
BUGZILLA-469207,3,N,N,mozilla
BUGZILLA-473553,0,N,N,mozilla
BUGZILLA-477459,12,N,N,mozilla
BUGZILLA-485998,0,N,N,mozilla
BUGZILLA-504418,0,N,N,mozilla
BUGZILLA-504944,6,N,N,mozilla
BUGZILLA-514618,305,N,N,mozilla
BUGZILLA-518293,137,N,N,mozilla
BUGZILLA-524915,1680,Y,N,mozilla
BUGZILLA-525617,9,N,N,mozilla
BUGZILLA-526190,1856,Y,N,mozilla
BUGZILLA-528789,0,N,N,mozilla
BUGZILLA-530019,137,N,N,mozilla
BUGZILLA-54901,433,Y,N,mozilla
BUGZILLA-574940,100,N,N,mozilla
BUGZILLA-57817,1344,Y,N,mozilla
BUGZILLA-58179,4178,Y,N,mozilla
BUGZILLA-65311,152,N,N,mozilla
BUGZILLA-69054,49,N,N,mozilla
BUGZILLA-70907,1630,Y,N,mozilla
BUGZILLA-77473,83,N,N,mozilla
BUGZILLA-77699,85,N,N,mozilla
BUGZILLA-97114,2,N,N,mozilla
BUGZILLA-97729,178,N,N,mozilla
BUGZILLA-97868,1635,Y,N,mozilla
BUGZILLA-99203,298,N,N,mozilla
BUGZILLA.MOZILLA.ORG-133802,859,Y,N,mozilla
BUGZILLA.MOZILLA.ORG-211952,3,N,N,mozilla
BUGZILLA.MOZILLA.ORG-218867,2,N,N,mozilla
BUGZILLA.MOZILLA.ORG-271736,4,N,N,mozilla
BUGZILLA.MOZILLA.ORG-276156,3,N,N,mozilla
BUGZILLA.MOZILLA.ORG-318635,4,N,N,mozilla
BUGZILLA.MOZILLA.ORG-324498,14,N,N,mozilla
BUGZILLA.MOZILLA.ORG-326118,39,N,N,mozilla
BUGZILLA.MOZILLA.ORG-353472,0,N,N,mozilla
BUGZILLA.MOZILLA.ORG-361794,18,N,N,mozilla
BUGZILLA.MOZILLA.ORG-369843,2,N,N,mozilla
BUGZILLA.MOZILLA.ORG-373968,2,N,N,mozilla
BUGZILLA.MOZILLA.ORG-376654,0,N,N,mozilla
BUGZILLA.MOZILLA.ORG-380213,8,N,N,mozilla
BUGZILLA.MOZILLA.ORG-419078,0,N,N,mozilla
BUGZILLA.MOZILLA.ORG-423725,0,N,N,mozilla
BUGZILLA.MOZILLA.ORG-436408,0,N,N,mozilla
BUGZILLA.MOZILLA.ORG-477980,1,N,N,mozilla
BUGZILLA.MOZILLA.ORG-515214,74,N,N,mozilla
BUGZILLA.MOZILLA.ORG-528739,1,N,N,mozilla
