tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
1294,22,4,1256,Fold1.Rep01,0.9899068322981367,0.9968253968253968,0.9832826747720365,0.9900540357987166,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1294,21,8,1252,Fold2.Rep01,0.98873786407767,0.9936507936507937,0.9840304182509506,0.9888406059508721,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1300,16,7,1253,Fold3.Rep01,0.9910714285714286,0.9944444444444445,0.9878419452887538,0.9911431948665992,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1299,17,10,1250,Fold4.Rep01,0.9895186335403726,0.9920634920634921,0.9870820668693009,0.9895727794663964,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1287,28,15,1245,Fold5.Rep01,0.9833009708737864,0.9880952380952381,0.9787072243346008,0.9834012312149194,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1293,22,10,1250,Fold1.Rep02,0.9875728155339806,0.9920634920634921,0.9832699619771863,0.9876667270203392,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1302,14,0,1260,Fold2.Rep02,0.9945652173913043,1,0.9893617021276596,0.9946808510638299,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1297,18,11,1249,Fold3.Rep02,0.98873786407767,0.9912698412698413,0.9863117870722433,0.9887908141710423,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1295,21,4,1256,Fold4.Rep02,0.9902950310559007,0.9968253968253968,0.9840425531914894,0.9904339750084431,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1289,27,11,1249,Fold5.Rep02,0.985248447204969,0.9912698412698413,0.979483282674772,0.9853765619723067,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1297,18,9,1251,Fold1.Rep03,0.9895145631067961,0.9928571428571429,0.9863117870722433,0.9895844649646931,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1297,19,10,1250,Fold2.Rep03,0.9887422360248447,0.9920634920634921,0.9855623100303952,0.9888129010469436,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1293,23,5,1255,Fold3.Rep03,0.9891304347826086,0.996031746031746,0.9825227963525835,0.9892772711921648,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1295,20,7,1253,Fold4.Rep03,0.9895145631067961,0.9944444444444445,0.9847908745247148,0.9896176594845796,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1290,26,11,1249,Fold5.Rep03,0.9856366459627329,0.9912698412698413,0.9802431610942249,0.9857565011820331,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1288,27,7,1253,Fold1.Rep04,0.9867961165048543,0.9944444444444445,0.979467680608365,0.9869560625264047,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1290,26,4,1256,Fold2.Rep04,0.9883540372670807,0.9968253968253968,0.9802431610942249,0.9885342789598108,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1291,24,9,1251,Fold3.Rep04,0.9871844660194175,0.9928571428571429,0.9817490494296578,0.9873030961434004,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1298,18,5,1255,Fold4.Rep04,0.9910714285714286,0.996031746031746,0.986322188449848,0.9911769672407971,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1296,20,13,1247,Fold5.Rep04,0.9871894409937888,0.9896825396825397,0.9848024316109423,0.987242485646741,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1300,15,4,1256,Fold1.Rep05,0.992621359223301,0.9968253968253968,0.9885931558935361,0.9927092763594665,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1295,21,9,1251,Fold2.Rep05,0.9883540372670807,0.9928571428571429,0.9840425531914894,0.9884498480243161,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1291,25,9,1251,Fold3.Rep05,0.9868012422360248,0.9928571428571429,0.9810030395136778,0.9869300911854104,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1295,21,11,1249,Fold4.Rep05,0.9875776397515528,0.9912698412698413,0.9840425531914894,0.9876561972306653,eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
