tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
1145,45,67,992,Fold1.Rep01,0.9502000889284127,0.9367327667610954,0.9621848739495799,0.9494588203553376,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1126,64,61,997,Fold2.Rep01,0.9443950177935944,0.94234404536862,0.946218487394958,0.944281266381789,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1131,59,59,1000,Fold3.Rep01,0.9475322365495776,0.9442870632672332,0.9504201680672268,0.94735361566723,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1151,39,62,996,Fold4.Rep01,0.9550711743772242,0.941398865784499,0.9672268907563025,0.9543128782704008,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1127,63,71,987,Fold5.Rep01,0.9403914590747331,0.9328922495274102,0.9470588235294117,0.939975536528411,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1140,50,85,973,Fold1.Rep02,0.9399466192170819,0.9196597353497165,0.957983193277311,0.9388214643135138,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1136,54,77,982,Fold2.Rep02,0.9417518897287683,0.927289896128423,0.9546218487394958,0.9409558724339595,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1144,46,71,988,Fold3.Rep02,0.9479768786127167,0.9329556185080264,0.9613445378151261,0.9471500781615763,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1108,82,69,989,Fold4.Rep02,0.9328291814946619,0.9347826086956522,0.9310924369747899,0.932937522835221,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1134,56,70,988,Fold5.Rep02,0.943950177935943,0.9338374291115312,0.9529411764705882,0.9433893027910597,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1135,55,57,1002,Fold1.Rep03,0.9502000889284127,0.9461756373937678,0.9537815126050421,0.949978574999405,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1128,62,58,1000,Fold2.Rep03,0.9466192170818505,0.945179584120983,0.9478991596638655,0.9465393718924242,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1129,61,64,995,Fold3.Rep03,0.9444197421076034,0.939565627950897,0.9487394957983193,0.9441525618746082,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1128,62,76,982,Fold4.Rep03,0.9386120996441281,0.9281663516068053,0.9478991596638655,0.9380327556353354,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1127,63,58,1000,Fold5.Rep03,0.9461743772241993,0.945179584120983,0.9470588235294117,0.9461192038251973,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1129,61,65,994,Fold1.Rep04,0.9439751000444642,0.9386213408876298,0.9487394957983193,0.9436804183429746,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1130,60,68,990,Fold2.Rep04,0.9430604982206405,0.9357277882797732,0.9495798319327731,0.9426538101062731,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1129,61,59,1000,Fold3.Rep04,0.9466429524232992,0.9442870632672332,0.9487394957983193,0.9465132795327762,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1148,42,79,979,Fold4.Rep04,0.9461743772241993,0.9253308128544423,0.9647058823529412,0.9450183476036917,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1129,61,74,984,Fold5.Rep04,0.9399466192170819,0.9300567107750473,0.9487394957983193,0.9393981032866833,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1128,62,70,989,Fold1.Rep05,0.9413072476656291,0.9338999055712937,0.9478991596638655,0.9408995326175795,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1138,52,63,996,Fold2.Rep05,0.9488661627389952,0.9405099150141643,0.9563025210084034,0.9484062180112838,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1136,54,77,981,Fold3.Rep05,0.9417259786476868,0.9272211720226843,0.9546218487394958,0.9409215103810901,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1130,60,61,997,Fold4.Rep05,0.9461743772241993,0.94234404536862,0.9495798319327731,0.9459619386506966,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1135,55,61,997,Fold5.Rep05,0.9483985765124555,0.94234404536862,0.9537815126050421,0.948062778986831,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1135,55,66,993,Fold1.Rep06,0.9461983103601601,0.9376770538243626,0.9537815126050421,0.9457292832147024,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1126,64,80,979,Fold2.Rep06,0.9359715429079591,0.9244570349386213,0.946218487394958,0.9353377611667897,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1131,59,65,993,Fold3.Rep06,0.9448398576512456,0.9385633270321361,0.9504201680672268,0.9444917475496815,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1137,53,71,987,Fold4.Rep06,0.9448398576512456,0.9328922495274102,0.9554621848739496,0.9441772172006799,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1124,66,71,987,Fold5.Rep06,0.9390569395017794,0.9328922495274102,0.9445378151260504,0.9387150323267304,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1134,56,69,990,Fold1.Rep07,0.9444197421076034,0.9348441926345609,0.9529411764705882,0.9438926845525746,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1135,55,80,978,Fold2.Rep07,0.9399466192170819,0.9243856332703214,0.9537815126050421,0.9390835729376817,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1133,57,73,985,Fold3.Rep07,0.9421708185053381,0.9310018903591682,0.9521008403361344,0.9415513653476513,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1135,55,76,983,Fold4.Rep07,0.9417518897287683,0.9282341831916903,0.9537815126050421,0.9410078478983661,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1136,54,56,1002,Fold5.Rep07,0.951067615658363,0.947069943289225,0.9546218487394958,0.9508458960143604,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1129,61,68,991,Fold1.Rep08,0.9426411738550466,0.9357884796978282,0.9487394957983193,0.9422639877480737,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1147,43,69,989,Fold2.Rep08,0.9501779359430605,0.9347826086956522,0.9638655462184874,0.9493240774570698,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1128,62,71,987,Fold3.Rep08,0.9408362989323843,0.9328922495274102,0.9478991596638655,0.9403957045956379,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1124,66,59,999,Fold4.Rep08,0.9443950177935944,0.944234404536862,0.9445378151260504,0.9443861098314562,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1142,48,55,1004,Fold5.Rep08,0.9542018674966651,0.9480642115203022,0.9596638655462185,0.9538640385332604,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1137,53,70,989,Fold1.Rep09,0.9453090262338817,0.9338999055712937,0.9554621848739496,0.9446810452226216,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1114,76,75,983,Fold2.Rep09,0.9328291814946619,0.9291115311909263,0.9361344537815126,0.9326229924862195,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1139,51,79,980,Fold3.Rep09,0.9421965317919075,0.9254013220018886,0.9571428571428572,0.941272089572373,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1132,58,69,989,Fold4.Rep09,0.9435053380782918,0.9347826086956522,0.9512605042016806,0.9430215564486664,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1140,50,75,983,Fold5.Rep09,0.9443950177935944,0.9291115311909263,0.957983193277311,0.9435473622341186,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1140,50,67,992,Fold1.Rep10,0.9479768786127167,0.9367327667610954,0.957983193277311,0.9473579800192031,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1134,56,71,987,Fold2.Rep10,0.9435053380782918,0.9328922495274102,0.9529411764705882,0.9429167129989993,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1140,50,70,988,Fold3.Rep10,0.9466192170818505,0.9338374291115312,0.957983193277311,0.9459103111944211,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1117,73,73,986,Fold4.Rep10,0.9350822587816807,0.931067044381492,0.938655462184874,0.934861253283183,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
1128,62,60,998,Fold5.Rep10,0.9457295373665481,0.943289224952741,0.9478991596638655,0.9455941923083033,mozilla,svm,smote,repeatedcv5x10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,1
