bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCELEO-255379,14,N,N,eclipse,nb
ACCELEO-332657,1,N,N,eclipse,nb
ACCELEO-340094,7,N,Y,eclipse,nb
ACCELEO-510922,149,N,N,eclipse,nb
ACTF-218022,62,N,Y,eclipse,nb
ACTF-240727,3,N,N,eclipse,nb
ACTF-260379,77,N,N,eclipse,nb
AJDT-149675,20,N,N,eclipse,nb
AJDT-163326,602,Y,Y,eclipse,nb
AJDT-196108,611,Y,Y,eclipse,nb
AJDT-250375,14,N,N,eclipse,nb
AJDT-253528,41,N,N,eclipse,nb
AJDT-279974,29,N,N,eclipse,nb
AJDT-384434,60,N,Y,eclipse,nb
AJDT-42957,11,N,Y,eclipse,nb
AJDT-49296,120,N,N,eclipse,nb
AJDT-74174,333,N,Y,eclipse,nb
AJDT-78052,8,N,N,eclipse,nb
AJDT-88602,10,N,Y,eclipse,nb
AMALGAM-269577,1530,Y,N,eclipse,nb
AMP-307310,2,N,Y,eclipse,nb
ASPECTJ-108370,1,N,Y,eclipse,nb
ASPECTJ-120351,0,N,N,eclipse,nb
ASPECTJ-120521,0,N,Y,eclipse,nb
ASPECTJ-152257,3,N,Y,eclipse,nb
ASPECTJ-164633,6,N,Y,eclipse,nb
ASPECTJ-169428,308,N,Y,eclipse,nb
ASPECTJ-196658,240,N,Y,eclipse,nb
ASPECTJ-213073,59,N,Y,eclipse,nb
ASPECTJ-275625,24,N,Y,eclipse,nb
ASPECTJ-325731,799,Y,Y,eclipse,nb
ASPECTJ-342323,3,N,Y,eclipse,nb
ASPECTJ-36056,18,N,Y,eclipse,nb
ASPECTJ-50570,2,N,Y,eclipse,nb
ASPECTJ-77163,9,N,N,eclipse,nb
ASPECTJ-99089,6,N,Y,eclipse,nb
ATF-143302,1,N,Y,eclipse,nb
ATF-284247,0,N,N,eclipse,nb
BABEL-220504,0,N,N,eclipse,nb
BABEL-259461,949,Y,N,eclipse,nb
BABEL-394921,5,N,N,eclipse,nb
BABEL-411126,0,N,N,eclipse,nb
BABEL-421896,201,N,N,eclipse,nb
BABEL-425633,3,N,N,eclipse,nb
BABEL-433035,4,N,Y,eclipse,nb
BIRT-104178,0,N,N,eclipse,nb
BIRT-105311,15,N,N,eclipse,nb
BIRT-108231,0,N,N,eclipse,nb
BIRT-113730,6,N,N,eclipse,nb
BIRT-115424,1,N,N,eclipse,nb
BIRT-115456,2,N,Y,eclipse,nb
BIRT-115946,4,N,Y,eclipse,nb
BIRT-115954,1,N,Y,eclipse,nb
BIRT-117650,0,N,N,eclipse,nb
BIRT-118391,7,N,N,eclipse,nb
BIRT-120993,2,N,N,eclipse,nb
BIRT-121017,5,N,N,eclipse,nb
BIRT-122414,4,N,N,eclipse,nb
BIRT-123561,0,N,Y,eclipse,nb
BIRT-123731,3,N,N,eclipse,nb
BIRT-124698,18,N,N,eclipse,nb
BIRT-125971,114,N,N,eclipse,nb
BIRT-130861,7,N,Y,eclipse,nb
