bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCELEO-255379,14,N,N,eclipse,knn
ACCELEO-332657,1,N,Y,eclipse,knn
ACCELEO-340094,7,N,N,eclipse,knn
ACCELEO-510922,149,N,N,eclipse,knn
ACTF-218022,62,N,Y,eclipse,knn
ACTF-240727,3,N,N,eclipse,knn
ACTF-260379,77,N,Y,eclipse,knn
AJDT-149675,20,N,N,eclipse,knn
AJDT-163326,602,Y,N,eclipse,knn
AJDT-196108,611,Y,Y,eclipse,knn
AJDT-250375,14,N,N,eclipse,knn
AJDT-253528,41,N,Y,eclipse,knn
AJDT-279974,29,N,Y,eclipse,knn
AJDT-384434,60,N,N,eclipse,knn
AJDT-42957,11,N,Y,eclipse,knn
AJDT-49296,120,N,N,eclipse,knn
AJDT-74174,333,N,N,eclipse,knn
AJDT-78052,8,N,N,eclipse,knn
AJDT-88602,10,N,Y,eclipse,knn
AMALGAM-269577,1530,Y,N,eclipse,knn
AMP-307310,2,N,Y,eclipse,knn
ASPECTJ-108370,1,N,N,eclipse,knn
ASPECTJ-120351,0,N,Y,eclipse,knn
ASPECTJ-120521,0,N,Y,eclipse,knn
ASPECTJ-152257,3,N,Y,eclipse,knn
ASPECTJ-164633,6,N,Y,eclipse,knn
ASPECTJ-169428,308,N,N,eclipse,knn
ASPECTJ-196658,240,N,Y,eclipse,knn
ASPECTJ-213073,59,N,N,eclipse,knn
ASPECTJ-275625,24,N,N,eclipse,knn
ASPECTJ-325731,799,Y,N,eclipse,knn
ASPECTJ-342323,3,N,N,eclipse,knn
ASPECTJ-36056,18,N,N,eclipse,knn
ASPECTJ-50570,2,N,Y,eclipse,knn
ASPECTJ-77163,9,N,N,eclipse,knn
ASPECTJ-99089,6,N,N,eclipse,knn
ATF-143302,1,N,Y,eclipse,knn
ATF-284247,0,N,N,eclipse,knn
BABEL-220504,0,N,Y,eclipse,knn
BABEL-259461,949,Y,N,eclipse,knn
BABEL-394921,5,N,N,eclipse,knn
BABEL-411126,0,N,N,eclipse,knn
BABEL-421896,201,N,Y,eclipse,knn
BABEL-425633,3,N,Y,eclipse,knn
BABEL-433035,4,N,Y,eclipse,knn
BIRT-104178,0,N,N,eclipse,knn
BIRT-105311,15,N,N,eclipse,knn
BIRT-108231,0,N,N,eclipse,knn
BIRT-113730,6,N,Y,eclipse,knn
BIRT-115424,1,N,N,eclipse,knn
BIRT-115456,2,N,Y,eclipse,knn
BIRT-115946,4,N,Y,eclipse,knn
BIRT-115954,1,N,N,eclipse,knn
BIRT-117650,0,N,N,eclipse,knn
BIRT-118391,7,N,Y,eclipse,knn
BIRT-120993,2,N,Y,eclipse,knn
BIRT-121017,5,N,N,eclipse,knn
BIRT-122414,4,N,N,eclipse,knn
BIRT-123561,0,N,Y,eclipse,knn
BIRT-123731,3,N,N,eclipse,knn
BIRT-124698,18,N,N,eclipse,knn
BIRT-125971,114,N,N,eclipse,knn
BIRT-130861,7,N,N,eclipse,knn
BIRT-131308,38,N,Y,eclipse,knn
BIRT-132079,1,N,N,eclipse,knn
BIRT-132633,4,N,Y,eclipse,knn
BIRT-133451,3,N,Y,eclipse,knn
BIRT-133452,8,N,N,eclipse,knn
BIRT-134219,6,N,N,eclipse,knn
BIRT-134699,17,N,N,eclipse,knn
BIRT-134944,1,N,N,eclipse,knn
BIRT-135467,0,N,N,eclipse,knn
BIRT-135786,18,N,Y,eclipse,knn
BIRT-135848,1,N,N,eclipse,knn
BIRT-136279,1,N,N,eclipse,knn
BIRT-136956,42,N,N,eclipse,knn
BIRT-139347,0,N,N,eclipse,knn
BIRT-141919,0,N,N,eclipse,knn
BIRT-142144,1,N,N,eclipse,knn
BIRT-142992,2,N,N,eclipse,knn
BIRT-143901,10,N,Y,eclipse,knn
BIRT-144384,1,N,N,eclipse,knn
BIRT-145566,1,N,Y,eclipse,knn
BIRT-147385,33,N,N,eclipse,knn
BIRT-147995,1,N,N,eclipse,knn
BIRT-148167,0,N,N,eclipse,knn
BIRT-150200,50,N,Y,eclipse,knn
BIRT-151198,96,N,Y,eclipse,knn
BIRT-151381,3,N,N,eclipse,knn
BIRT-151385,5,N,N,eclipse,knn
BIRT-151552,7,N,N,eclipse,knn
BIRT-151557,0,N,N,eclipse,knn
BIRT-152538,0,N,N,eclipse,knn
BIRT-153382,0,N,N,eclipse,knn
BIRT-161692,66,N,N,eclipse,knn
BIRT-162365,0,N,N,eclipse,knn
BIRT-164273,10,N,N,eclipse,knn
BIRT-166631,2,N,N,eclipse,knn
BIRT-168317,1,N,N,eclipse,knn
BIRT-169027,0,N,N,eclipse,knn
BIRT-169646,1359,Y,Y,eclipse,knn
BIRT-171014,14,N,N,eclipse,knn
BIRT-172815,1,N,N,eclipse,knn
BIRT-172825,28,N,N,eclipse,knn
BIRT-176436,67,N,N,eclipse,knn
BIRT-177257,0,N,N,eclipse,knn
BIRT-177704,6,N,N,eclipse,knn
BIRT-177722,0,N,N,eclipse,knn
BIRT-180025,137,N,N,eclipse,knn
BIRT-180402,1,N,N,eclipse,knn
BIRT-180893,34,N,N,eclipse,knn
BIRT-181663,1,N,Y,eclipse,knn
BIRT-182668,0,N,N,eclipse,knn
BIRT-183899,3,N,N,eclipse,knn
BIRT-185441,6,N,Y,eclipse,knn
BIRT-189840,0,N,Y,eclipse,knn
BIRT-189860,1,N,N,eclipse,knn
BIRT-192335,7,N,N,eclipse,knn
BIRT-193094,21,N,N,eclipse,knn
BIRT-197212,34,N,N,eclipse,knn
BIRT-198231,0,N,N,eclipse,knn
BIRT-199511,1,N,N,eclipse,knn
BIRT-199515,1,N,N,eclipse,knn
BIRT-199978,1,N,Y,eclipse,knn
BIRT-200126,1,N,N,eclipse,knn
BIRT-200750,1,N,N,eclipse,knn
BIRT-201036,0,N,N,eclipse,knn
BIRT-201962,353,N,N,eclipse,knn
BIRT-205327,79,N,Y,eclipse,knn
BIRT-205619,9,N,N,eclipse,knn
BIRT-205931,56,N,N,eclipse,knn
BIRT-206413,4,N,N,eclipse,knn
BIRT-208365,5,N,N,eclipse,knn
BIRT-208727,15,N,N,eclipse,knn
BIRT-209124,6,N,N,eclipse,knn
BIRT-212238,21,N,N,eclipse,knn
BIRT-214311,4,N,Y,eclipse,knn
BIRT-216733,3,N,Y,eclipse,knn
BIRT-219131,12,N,N,eclipse,knn
BIRT-219293,9,N,N,eclipse,knn
BIRT-219738,11,N,N,eclipse,knn
BIRT-223160,2,N,N,eclipse,knn
BIRT-223598,1,N,Y,eclipse,knn
BIRT-226647,10,N,Y,eclipse,knn
BIRT-234323,29,N,N,eclipse,knn
BIRT-234586,1,N,N,eclipse,knn
BIRT-236564,20,N,N,eclipse,knn
BIRT-236813,6,N,N,eclipse,knn
BIRT-238859,3,N,N,eclipse,knn
BIRT-239597,18,N,N,eclipse,knn
BIRT-240786,9,N,Y,eclipse,knn
BIRT-242527,8,N,N,eclipse,knn
BIRT-245489,0,N,N,eclipse,knn
