tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
646,670,0,1260,Fold1.Rep01,0.7399068322981367,1,0.4908814589665654,0.7454407294832827,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
618,697,0,1260,Fold2.Rep01,0.7293203883495145,1,0.4699619771863118,0.7349809885931559,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
619,697,0,1260,Fold3.Rep01,0.7294254658385093,1,0.4703647416413374,0.7351823708206687,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
616,700,0,1260,Fold4.Rep01,0.7282608695652174,1,0.46808510638297873,0.7340425531914894,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
628,687,1,1259,Fold5.Rep01,0.7328155339805825,0.9992063492063492,0.47756653992395437,0.7383864445651518,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
605,710,0,1260,Fold1.Rep02,0.7242718446601941,1,0.4600760456273764,0.7300380228136882,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
645,671,0,1260,Fold2.Rep02,0.7395186335403726,1,0.49012158054711247,0.7450607902735562,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
606,709,6,1254,Fold3.Rep02,0.7223300970873786,0.9952380952380953,0.46083650190114067,0.728037298569618,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
629,687,0,1260,Fold4.Rep02,0.7333074534161491,1,0.47796352583586627,0.7389817629179332,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
610,706,1,1259,Fold5.Rep02,0.7255434782608695,0.9992063492063492,0.4635258358662614,0.7313660925363052,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
620,695,0,1260,Fold1.Rep03,0.7300970873786408,1,0.4714828897338403,0.7357414448669202,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
630,686,0,1260,Fold2.Rep03,0.7336956521739131,1,0.4787234042553192,0.7393617021276596,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
638,678,0,1260,Fold3.Rep03,0.7368012422360248,1,0.4848024316109423,0.7424012158054711,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
632,683,0,1260,Fold4.Rep03,0.734757281553398,1,0.4806083650190114,0.7403041825095057,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
657,659,2,1258,Fold5.Rep03,0.7434006211180124,0.9984126984126984,0.4992401215805471,0.7488264099966228,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
658,657,0,1260,Fold1.Rep04,0.7448543689320388,1,0.5003802281368821,0.750190114068441,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
617,699,0,1260,Fold2.Rep04,0.7286490683229814,1,0.4688449848024316,0.7344224924012158,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
632,683,0,1260,Fold3.Rep04,0.734757281553398,1,0.4806083650190114,0.7403041825095057,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
642,674,0,1260,Fold4.Rep04,0.7383540372670807,1,0.4878419452887538,0.743920972644377,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
608,708,0,1260,Fold5.Rep04,0.7251552795031055,1,0.46200607902735563,0.7310030395136778,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
649,666,0,1260,Fold1.Rep05,0.7413592233009709,1,0.4935361216730038,0.7467680608365019,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
651,665,0,1260,Fold2.Rep05,0.7418478260869565,1,0.4946808510638298,0.7473404255319149,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
594,722,0,1260,Fold3.Rep05,0.71972049689441,1,0.4513677811550152,0.7256838905775076,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
606,710,1,1259,Fold4.Rep05,0.7239906832298136,0.9992063492063492,0.46048632218844987,0.7298463356973995,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
647,668,0,1260,Fold5.Rep05,0.7405825242718447,1,0.4920152091254753,0.7460076045627376,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
607,708,1,1259,Fold1.Rep06,0.7246601941747572,0.9992063492063492,0.4615969581749049,0.730401653690627,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
620,696,0,1260,Fold2.Rep06,0.7298136645962733,1,0.47112462006079026,0.7355623100303952,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
634,681,1,1259,Fold3.Rep06,0.7351456310679612,0.9992063492063492,0.48212927756653995,0.7406678133864446,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
675,641,0,1260,Fold4.Rep06,0.7511645962732919,1,0.5129179331306991,0.7564589665653496,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
582,734,0,1260,Fold5.Rep06,0.7150621118012422,1,0.44224924012158057,0.7211246200607903,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
609,706,0,1260,Fold1.Rep07,0.7258252427184466,1,0.46311787072243343,0.7315589353612167,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
658,658,0,1260,Fold2.Rep07,0.7445652173913043,1,0.5,0.75,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
626,690,0,1260,Fold3.Rep07,0.7321428571428571,1,0.4756838905775076,0.7378419452887538,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
621,694,0,1260,Fold4.Rep07,0.7304854368932039,1,0.47224334600760454,0.7361216730038023,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
628,688,0,1260,Fold5.Rep07,0.7329192546583851,1,0.47720364741641336,0.7386018237082067,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
636,680,3,1257,Fold1.Rep08,0.734860248447205,0.9976190476190476,0.48328267477203646,0.740450861195542,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
628,688,0,1260,Fold2.Rep08,0.7329192546583851,1,0.47720364741641336,0.7386018237082067,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
637,679,1,1259,Fold3.Rep08,0.7360248447204969,0.9992063492063492,0.48404255319148937,0.7416244511989193,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
634,681,0,1260,Fold4.Rep08,0.7355339805825243,1,0.48212927756653995,0.74106463878327,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
619,696,0,1260,Fold5.Rep08,0.7297087378640776,1,0.47072243346007603,0.7353612167300381,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
614,702,0,1260,Fold1.Rep09,0.7274844720496895,1,0.46656534954407297,0.7332826747720365,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
658,657,3,1257,Fold2.Rep09,0.7436893203883496,0.9976190476190476,0.5003802281368821,0.7489996378779649,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
641,674,0,1260,Fold3.Rep09,0.738252427184466,1,0.4874524714828897,0.7437262357414449,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
635,681,1,1259,Fold4.Rep09,0.735248447204969,0.9992063492063492,0.4825227963525836,0.7408645727794664,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
622,694,0,1260,Fold5.Rep09,0.7305900621118012,1,0.4726443768996961,0.7363221884498481,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
615,700,0,1260,Fold1.Rep10,0.7281553398058253,1,0.467680608365019,0.7338403041825095,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
663,653,0,1260,Fold2.Rep10,0.7465062111801242,1,0.5037993920972644,0.7518996960486322,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
638,677,2,1258,Fold3.Rep10,0.7363106796116505,0.9984126984126984,0.48517110266159696,0.7417919005371477,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
635,681,1,1259,Fold4.Rep10,0.735248447204969,0.9992063492063492,0.4825227963525836,0.7408645727794664,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
608,708,0,1260,Fold5.Rep10,0.7251552795031055,1,0.46200607902735563,0.7310030395136778,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
434,548,12,929,Fold1.Rep01,0.7087883515340614,0.9872476089266737,0.4419551934826884,0.7146014012046811,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
423,559,7,934,Fold2.Rep01,0.7056682267290691,0.9925611052072264,0.43075356415478616,0.7116573346810062,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
417,565,10,930,Fold3.Rep01,0.7008324661810614,0.9893617021276596,0.42464358452138495,0.7070026433245222,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
407,575,19,922,Fold4.Rep01,0.6911076443057722,0.9798087141339001,0.41446028513238287,0.6971344996331414,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
408,574,11,930,Fold5.Rep01,0.6957878315132605,0.9883103081827843,0.4154786150712831,0.7018944616270337,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
427,555,5,936,Fold1.Rep02,0.7087883515340614,0.9946865037194474,0.434826883910387,0.7147566938149172,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
403,579,11,930,Fold2.Rep02,0.6931877275091004,0.9883103081827843,0.4103869653767821,0.6993486367797832,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
411,571,10,931,Fold3.Rep02,0.6978679147165887,0.9893730074388948,0.4185336048879837,0.7039533061634392,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
410,572,18,922,Fold4.Rep02,0.6930280957336108,0.9808510638297873,0.4175152749490835,0.6991831693894354,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
429,553,8,933,Fold5.Rep02,0.7082683307332294,0.9914984059511158,0.43686354378818737,0.7141809748696516,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
429,553,14,927,Fold1.Rep03,0.7051482059282371,0.9851222104144527,0.43686354378818737,0.7109928771013201,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
416,566,9,932,Fold2.Rep03,0.7009880395215808,0.9904357066950054,0.42362525458248473,0.7070304806387451,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
420,562,15,925,Fold3.Rep03,0.6997918834547346,0.9840425531914894,0.42769857433808556,0.7058705637647875,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
426,556,9,932,Fold4.Rep03,0.7061882475299012,0.9904357066950054,0.43380855397148677,0.7121221303332461,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
427,555,8,933,Fold5.Rep03,0.7072282891315652,0.9914984059511158,0.434826883910387,0.7131626449307514,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
404,578,9,932,Fold1.Rep04,0.6947477899115965,0.9904357066950054,0.41140529531568226,0.7009205010053439,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
417,565,11,930,Fold2.Rep04,0.7004680187207488,0.9883103081827843,0.42464358452138495,0.7064769463520846,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
426,556,7,934,Fold3.Rep04,0.7072282891315652,0.9925611052072264,0.43380855397148677,0.7131848295893566,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
453,529,9,931,Fold4.Rep04,0.7200832466181062,0.9904255319148936,0.46130346232179226,0.7258644971183429,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
421,561,8,933,Fold5.Rep04,0.7041081643265731,0.9914984059511158,0.4287169042769857,0.7101076551140508,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
440,542,18,922,Fold1.Rep05,0.708636836628512,0.9808510638297873,0.4480651731160896,0.7144581184729384,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
386,596,7,934,Fold2.Rep05,0.6864274570982839,0.9925611052072264,0.39307535641547864,0.6928182308113525,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
423,559,7,934,Fold3.Rep05,0.7056682267290691,0.9925611052072264,0.43075356415478616,0.7116573346810062,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
414,568,6,935,Fold4.Rep05,0.7015080603224129,0.9936238044633369,0.4215885947046843,0.7076061995840106,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
443,539,7,934,Fold5.Rep05,0.7160686427457098,0.9925611052072264,0.4511201629327902,0.7218406340700083,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
378,604,6,934,Fold1.Rep06,0.6826222684703434,0.9936170212765958,0.384928716904277,0.6892728690904364,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
412,570,8,933,Fold2.Rep06,0.6994279771190848,0.9914984059511158,0.4195519348268839,0.7055251703889999,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
429,553,14,927,Fold3.Rep06,0.7051482059282371,0.9851222104144527,0.43686354378818737,0.7109928771013201,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
433,549,14,927,Fold4.Rep06,0.7072282891315652,0.9851222104144527,0.4409368635437882,0.7130295369791204,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
431,551,7,934,Fold5.Rep06,0.7098283931357254,0.9925611052072264,0.43890020366598775,0.7157306544366071,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
411,571,8,933,Fold1.Rep07,0.6989079563182528,0.9914984059511158,0.4185336048879837,0.7050160054195498,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
414,568,9,932,Fold2.Rep07,0.6999479979199168,0.9904357066950054,0.4215885947046843,0.7060121506998448,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
405,577,15,926,Fold3.Rep07,0.6921476859074362,0.9840595111583422,0.4124236252545825,0.6982415682064623,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
414,568,10,930,Fold4.Rep07,0.6992715920915713,0.9893617021276596,0.4215885947046843,0.705475148416172,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
419,563,8,933,Fold5.Rep07,0.703068122724909,0.9914984059511158,0.42668024439918534,0.7090893251751506,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
404,578,12,929,Fold1.Rep08,0.6931877275091004,0.9872476089266737,0.41140529531568226,0.6993264521211779,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
403,579,2,939,Fold2.Rep08,0.6978679147165887,0.997874601487779,0.4103869653767821,0.7041307834322805,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
422,560,12,929,Fold3.Rep08,0.702548101924077,0.9872476089266737,0.42973523421588594,0.7084914215712799,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
415,567,12,928,Fold4.Rep08,0.6987513007284079,0.9872340425531915,0.4226069246435845,0.704920483598388,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
450,532,15,926,Fold5.Rep08,0.7155486219448778,0.9840595111583422,0.45824847250509165,0.7211539918317169,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
455,527,12,928,Fold1.Rep09,0.7195629552549427,0.9872340425531915,0.46334012219959264,0.7252870823763921,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
414,568,5,936,Fold2.Rep09,0.7020280811232449,0.9946865037194474,0.4215885947046843,0.7081375492120658,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
416,566,16,925,Fold3.Rep09,0.6973478939157566,0.9829968119022316,0.42362525458248473,0.7033110332423582,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
409,573,9,932,Fold4.Rep09,0.6973478939157566,0.9904357066950054,0.4164969450101833,0.7034663258525944,freedesktop,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144,1
