tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
886,430,211,1049,Fold1.Rep01,0.7511645962732919,0.8325396825396826,0.6732522796352584,0.7528959810874705,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
908,407,155,1105,Fold2.Rep01,0.781747572815534,0.876984126984127,0.6904942965779468,0.7837392117810369,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
939,377,131,1129,Fold3.Rep01,0.8027950310559007,0.8960317460317461,0.7135258358662614,0.8047787909490037,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
947,369,167,1093,Fold4.Rep01,0.7919254658385093,0.8674603174603175,0.7196048632218845,0.793532590341101,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
960,355,181,1079,Fold5.Rep01,0.7918446601941748,0.8563492063492063,0.7300380228136882,0.7931936145814473,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
883,432,177,1083,Fold1.Rep02,0.7634951456310679,0.8595238095238096,0.6714828897338403,0.7655033496288249,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
876,440,199,1061,Fold2.Rep02,0.7519409937888198,0.8420634920634921,0.6656534954407295,0.7538584937521108,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
967,348,199,1061,Fold3.Rep02,0.7875728155339806,0.8420634920634921,0.7353612167300381,0.7887123543967651,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
962,354,140,1120,Fold4.Rep02,0.8082298136645962,0.8888888888888888,0.7310030395136778,0.8099459642012834,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
884,432,151,1109,Fold5.Rep02,0.7736801242236024,0.8801587301587301,0.6717325227963525,0.7759456264775413,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
900,415,167,1093,Fold1.Rep03,0.7739805825242718,0.8674603174603175,0.6844106463878327,0.7759354819240751,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
926,390,146,1114,Fold2.Rep03,0.7919254658385093,0.8841269841269841,0.7036474164133738,0.7938872002701789,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
929,387,167,1093,Fold3.Rep03,0.7849378881987578,0.8674603174603175,0.7059270516717325,0.7866936845660251,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
942,373,178,1082,Fold4.Rep03,0.7860194174757281,0.8587301587301587,0.7163498098859316,0.7875399843080451,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
934,382,169,1091,Fold5.Rep03,0.7861024844720497,0.8658730158730159,0.709726443768997,0.7877997298210064,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
925,390,175,1085,Fold1.Rep04,0.7805825242718447,0.8611111111111112,0.7034220532319392,0.7822665821715251,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
897,419,195,1065,Fold2.Rep04,0.7616459627329193,0.8452380952380952,0.6816109422492401,0.7634245187436677,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
915,400,185,1075,Fold3.Rep04,0.7728155339805826,0.8531746031746031,0.6958174904942965,0.7744960468344498,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
915,401,192,1068,Fold4.Rep04,0.7697981366459627,0.8476190476190476,0.6952887537993921,0.7714539007092198,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
932,384,187,1073,Fold5.Rep04,0.7783385093167702,0.8515873015873016,0.7082066869300911,0.7798969942586964,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
907,408,147,1113,Fold1.Rep05,0.7844660194174757,0.8833333333333333,0.6897338403041825,0.786533586818758,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
945,371,157,1103,Fold2.Rep05,0.7950310559006211,0.8753968253968254,0.7180851063829787,0.7967409658899021,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
936,380,167,1093,Fold3.Rep05,0.7876552795031055,0.8674603174603175,0.7112462006079028,0.7893532590341101,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
934,382,208,1052,Fold4.Rep05,0.7709627329192547,0.834920634920635,0.709726443768997,0.772323539344816,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
923,392,182,1078,Fold5.Rep05,0.7770873786407767,0.8555555555555555,0.7019011406844107,0.7787283481199831,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
911,404,174,1086,Fold1.Rep06,0.7755339805825243,0.861904761904762,0.6927756653992395,0.7773402136520007,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
866,450,209,1051,Fold2.Rep06,0.7441770186335404,0.8341269841269842,0.6580547112462006,0.7460908476865924,eclipse,nn,smote,repeatedcv5x10,Accuracy,150,long_description,365,size,20,decay,0.5,144,1
