bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCELEO-255379,14,N,Y,eclipse,knn
ACCELEO-329447,1978,Y,N,eclipse,knn
ACCELEO-332657,1,N,N,eclipse,knn
ACCELEO-340094,7,N,Y,eclipse,knn
ACCELEO-510922,149,N,N,eclipse,knn
ACTF-218022,62,N,Y,eclipse,knn
ACTF-240727,3,N,N,eclipse,knn
ACTF-260379,77,N,N,eclipse,knn
AJDT-149675,20,N,N,eclipse,knn
AJDT-163326,602,Y,Y,eclipse,knn
AJDT-196108,611,Y,Y,eclipse,knn
AJDT-250375,14,N,N,eclipse,knn
AJDT-253528,41,N,N,eclipse,knn
AJDT-279974,29,N,N,eclipse,knn
AJDT-384434,60,N,N,eclipse,knn
AJDT-42957,11,N,Y,eclipse,knn
AJDT-49296,120,N,N,eclipse,knn
AJDT-74174,333,N,N,eclipse,knn
AJDT-88602,10,N,Y,eclipse,knn
AMALGAM-269577,1530,Y,N,eclipse,knn
AMALGAM-346778,11,N,N,eclipse,knn
AMP-340768,37,N,N,eclipse,knn
ASPECTJ-108892,59,N,Y,eclipse,knn
ASPECTJ-120521,0,N,Y,eclipse,knn
ASPECTJ-121575,57,N,N,eclipse,knn
ASPECTJ-152388,8,N,Y,eclipse,knn
ASPECTJ-168044,46,N,N,eclipse,knn
ASPECTJ-173729,271,N,Y,eclipse,knn
ASPECTJ-213073,59,N,N,eclipse,knn
ASPECTJ-213751,345,N,N,eclipse,knn
ASPECTJ-325731,799,Y,Y,eclipse,knn
ASPECTJ-34779,69,N,N,eclipse,knn
ASPECTJ-394562,8,N,Y,eclipse,knn
ASPECTJ-530147,262,N,N,eclipse,knn
ASPECTJ-83807,110,N,N,eclipse,knn
ATF-149937,4,N,Y,eclipse,knn
ATF-288661,5,N,N,eclipse,knn
BABEL-220820,5,N,Y,eclipse,knn
BABEL-259461,949,Y,N,eclipse,knn
BABEL-402136,0,N,Y,eclipse,knn
BABEL-413292,4,N,N,eclipse,knn
BABEL-425633,3,N,Y,eclipse,knn
BABEL-433035,4,N,N,eclipse,knn
BABEL-473760,6,N,N,eclipse,knn
BIRT-104764,0,N,N,eclipse,knn
BIRT-106434,27,N,N,eclipse,knn
BIRT-109327,7,N,N,eclipse,knn
BIRT-113939,5,N,Y,eclipse,knn
BIRT-115584,2,N,Y,eclipse,knn
BIRT-115954,1,N,N,eclipse,knn
BIRT-116158,1,N,N,eclipse,knn
BIRT-118366,28,N,N,eclipse,knn
BIRT-118743,2,N,N,eclipse,knn
BIRT-121017,5,N,N,eclipse,knn
BIRT-121109,8,N,N,eclipse,knn
BIRT-123386,0,N,Y,eclipse,knn
BIRT-124279,128,N,Y,eclipse,knn
BIRT-124668,1,N,N,eclipse,knn
BIRT-125678,15,N,Y,eclipse,knn
BIRT-127972,47,N,N,eclipse,knn
BIRT-131260,38,N,N,eclipse,knn
BIRT-132100,14,N,N,eclipse,knn
BIRT-132629,0,N,Y,eclipse,knn
BIRT-133049,4,N,Y,eclipse,knn
BIRT-133975,1,N,N,eclipse,knn
BIRT-134024,6,N,N,eclipse,knn
BIRT-134699,17,N,N,eclipse,knn
BIRT-134948,2,N,N,eclipse,knn
BIRT-134949,2,N,N,eclipse,knn
BIRT-135848,1,N,N,eclipse,knn
BIRT-136067,0,N,N,eclipse,knn
BIRT-136279,1,N,N,eclipse,knn
BIRT-136956,42,N,Y,eclipse,knn
BIRT-137113,4,N,N,eclipse,knn
BIRT-140969,14,N,N,eclipse,knn
BIRT-142624,5,N,N,eclipse,knn
BIRT-142992,2,N,N,eclipse,knn
BIRT-143901,10,N,Y,eclipse,knn
BIRT-144384,1,N,N,eclipse,knn
BIRT-144895,0,N,N,eclipse,knn
BIRT-146208,109,N,N,eclipse,knn
BIRT-147700,24,N,N,eclipse,knn
BIRT-148117,2,N,N,eclipse,knn
BIRT-150347,8,N,N,eclipse,knn
BIRT-150401,1,N,Y,eclipse,knn
BIRT-151385,5,N,N,eclipse,knn
BIRT-151531,32,N,Y,eclipse,knn
BIRT-151552,7,N,N,eclipse,knn
BIRT-151956,4,N,N,eclipse,knn
BIRT-152538,0,N,N,eclipse,knn
BIRT-153088,10,N,N,eclipse,knn
BIRT-153723,4,N,N,eclipse,knn
BIRT-161914,2,N,N,eclipse,knn
BIRT-163921,13,N,N,eclipse,knn
BIRT-164606,1,N,N,eclipse,knn
BIRT-168317,1,N,N,eclipse,knn
BIRT-168637,22,N,Y,eclipse,knn
BIRT-169420,4,N,N,eclipse,knn
BIRT-169646,1359,Y,Y,eclipse,knn
BIRT-171975,0,N,N,eclipse,knn
BIRT-173241,20,N,Y,eclipse,knn
BIRT-173612,73,N,N,eclipse,knn
BIRT-176451,381,Y,N,eclipse,knn
BIRT-177068,66,N,N,eclipse,knn
BIRT-177722,0,N,N,eclipse,knn
BIRT-178164,6,N,Y,eclipse,knn
BIRT-178519,30,N,N,eclipse,knn
BIRT-180424,0,N,Y,eclipse,knn
BIRT-180873,11,N,N,eclipse,knn
BIRT-181749,15,N,Y,eclipse,knn
BIRT-182279,31,N,Y,eclipse,knn
BIRT-182848,0,N,Y,eclipse,knn
BIRT-184401,1,N,N,eclipse,knn
BIRT-185920,0,N,N,eclipse,knn
BIRT-190129,84,N,N,eclipse,knn
BIRT-190545,4,N,N,eclipse,knn
BIRT-192355,1,N,N,eclipse,knn
BIRT-193287,48,N,N,eclipse,knn
BIRT-197548,0,N,Y,eclipse,knn
BIRT-199010,8,N,N,eclipse,knn
BIRT-199627,2,N,N,eclipse,knn
BIRT-199791,0,N,N,eclipse,knn
BIRT-200151,4,N,N,eclipse,knn
BIRT-200477,1,N,N,eclipse,knn
BIRT-200788,5,N,N,eclipse,knn
BIRT-201852,3,N,Y,eclipse,knn
BIRT-202386,0,N,N,eclipse,knn
BIRT-205619,9,N,N,eclipse,knn
BIRT-206413,4,N,N,eclipse,knn
BIRT-208365,5,N,N,eclipse,knn
BIRT-208512,7,N,N,eclipse,knn
BIRT-208727,15,N,N,eclipse,knn
BIRT-209127,24,N,N,eclipse,knn
BIRT-209769,0,N,N,eclipse,knn
BIRT-212499,1,N,N,eclipse,knn
BIRT-215928,33,N,N,eclipse,knn
BIRT-218755,61,N,N,eclipse,knn
BIRT-219738,11,N,N,eclipse,knn
BIRT-220501,0,N,N,eclipse,knn
BIRT-220800,18,N,N,eclipse,knn
BIRT-223782,3,N,Y,eclipse,knn
BIRT-223789,5,N,N,eclipse,knn
BIRT-227951,23,N,N,eclipse,knn
BIRT-234699,33,N,Y,eclipse,knn
BIRT-234746,14,N,N,eclipse,knn
BIRT-236813,6,N,N,eclipse,knn
BIRT-237788,5,N,N,eclipse,knn
BIRT-239263,96,N,N,eclipse,knn
BIRT-239921,0,N,N,eclipse,knn
BIRT-242527,8,N,N,eclipse,knn
BIRT-242678,21,N,Y,eclipse,knn
BIRT-247123,94,N,N,eclipse,knn
BIRT-256642,12,N,Y,eclipse,knn
BIRT-258898,15,N,Y,eclipse,knn
BIRT-260810,3,N,N,eclipse,knn
BIRT-261440,0,N,N,eclipse,knn
BIRT-261441,0,N,N,eclipse,knn
BIRT-261963,40,N,N,eclipse,knn
BIRT-263584,7,N,N,eclipse,knn
BIRT-267320,13,N,Y,eclipse,knn
BIRT-268007,0,N,N,eclipse,knn
BIRT-276408,0,N,N,eclipse,knn
BIRT-276798,2,N,N,eclipse,knn
BIRT-278706,0,N,Y,eclipse,knn
BIRT-280240,1,N,N,eclipse,knn
BIRT-281797,24,N,N,eclipse,knn
BIRT-283360,9,N,N,eclipse,knn
BIRT-284794,31,N,Y,eclipse,knn
BIRT-287410,1,N,N,eclipse,knn
BIRT-287635,1,N,N,eclipse,knn
BIRT-291210,44,N,Y,eclipse,knn
BIRT-292843,1,N,N,eclipse,knn
BIRT-293197,271,N,Y,eclipse,knn
BIRT-293754,14,N,N,eclipse,knn
BIRT-302091,1,N,N,eclipse,knn
BIRT-307483,7,N,Y,eclipse,knn
BIRT-308625,3,N,N,eclipse,knn
BIRT-316093,8,N,N,eclipse,knn
BIRT-324122,62,N,N,eclipse,knn
BIRT-326271,1172,Y,Y,eclipse,knn
BIRT-332084,0,N,N,eclipse,knn
BIRT-339960,73,N,N,eclipse,knn
BIRT-341071,0,N,Y,eclipse,knn
BIRT-341425,1,N,Y,eclipse,knn
BIRT-346735,368,Y,N,eclipse,knn
BIRT-456300,0,N,N,eclipse,knn
BIRT-88542,13,N,N,eclipse,knn
BIRT-96361,0,N,Y,eclipse,knn
BPEL-288735,73,N,Y,eclipse,knn
BPEL-325808,112,N,Y,eclipse,knn
BPEL-376349,0,N,N,eclipse,knn
BUILDSHIP-473389,0,N,Y,eclipse,knn
CAPRA-506902,921,Y,Y,eclipse,knn
CBI-487476,0,N,N,eclipse,knn
CBI-487877,35,N,N,eclipse,knn
CBI-506675,0,N,Y,eclipse,knn
CBI-513518,0,N,Y,eclipse,knn
CDT-10291,9,N,Y,eclipse,knn
CDT-103226,4,N,N,eclipse,knn
CDT-103560,6,N,N,eclipse,knn
CDT-105334,1064,Y,Y,eclipse,knn
CDT-117124,68,N,N,eclipse,knn
CDT-121474,1,N,Y,eclipse,knn
CDT-138317,16,N,N,eclipse,knn
CDT-155878,295,N,Y,eclipse,knn
CDT-173550,1,N,Y,eclipse,knn
CDT-175759,76,N,Y,eclipse,knn
CDT-180062,6,N,Y,eclipse,knn
CDT-182464,24,N,N,eclipse,knn
CDT-182946,527,Y,N,eclipse,knn
CDT-184593,12,N,N,eclipse,knn
CDT-191279,0,N,N,eclipse,knn
CDT-192205,372,Y,N,eclipse,knn
CDT-197643,134,N,Y,eclipse,knn
CDT-207656,235,N,Y,eclipse,knn
CDT-210300,24,N,Y,eclipse,knn
CDT-212938,6,N,N,eclipse,knn
CDT-214619,580,Y,Y,eclipse,knn
CDT-216437,15,N,Y,eclipse,knn
CDT-218124,5,N,N,eclipse,knn
CDT-221224,10,N,Y,eclipse,knn
CDT-234915,20,N,Y,eclipse,knn
CDT-236271,0,N,N,eclipse,knn
CDT-242490,0,N,Y,eclipse,knn
CDT-259765,7,N,N,eclipse,knn
CDT-260461,57,N,N,eclipse,knn
CDT-266540,13,N,N,eclipse,knn
CDT-270813,0,N,N,eclipse,knn
CDT-270916,231,N,N,eclipse,knn
CDT-272950,17,N,N,eclipse,knn
CDT-275188,0,N,Y,eclipse,knn
CDT-277001,0,N,Y,eclipse,knn
CDT-277152,5,N,Y,eclipse,knn
CDT-277757,4,N,Y,eclipse,knn
CDT-279502,942,Y,N,eclipse,knn
CDT-279740,363,N,N,eclipse,knn
CDT-281783,4,N,N,eclipse,knn
CDT-282417,255,N,N,eclipse,knn
CDT-288878,0,N,N,eclipse,knn
CDT-291241,0,N,Y,eclipse,knn
CDT-295620,0,N,N,eclipse,knn
CDT-300962,0,N,N,eclipse,knn
CDT-300978,0,N,N,eclipse,knn
CDT-309191,6,N,N,eclipse,knn
CDT-310191,27,N,Y,eclipse,knn
CDT-322309,1,N,Y,eclipse,knn
CDT-325669,1,N,N,eclipse,knn
CDT-327710,4,N,Y,eclipse,knn
CDT-328403,0,N,N,eclipse,knn
CDT-337893,48,N,N,eclipse,knn
CDT-339463,12,N,N,eclipse,knn
CDT-343895,8,N,N,eclipse,knn
CDT-346568,0,N,N,eclipse,knn
CDT-36550,189,N,N,eclipse,knn
CDT-368597,111,N,Y,eclipse,knn
CDT-37064,0,N,N,eclipse,knn
CDT-371054,55,N,N,eclipse,knn
CDT-374823,0,N,N,eclipse,knn
CDT-379165,16,N,Y,eclipse,knn
CDT-394797,0,N,Y,eclipse,knn
CDT-399829,18,N,Y,eclipse,knn
CDT-401152,189,N,Y,eclipse,knn
CDT-403406,2,N,N,eclipse,knn
CDT-409697,1,N,Y,eclipse,knn
CDT-415006,0,N,N,eclipse,knn
CDT-434150,0,N,Y,eclipse,knn
CDT-440387,1,N,Y,eclipse,knn
CDT-441277,134,N,N,eclipse,knn
CDT-44256,8,N,N,eclipse,knn
CDT-44338,183,N,N,eclipse,knn
CDT-447933,16,N,N,eclipse,knn
CDT-45235,1864,Y,N,eclipse,knn
CDT-459197,825,Y,N,eclipse,knn
CDT-479638,98,N,N,eclipse,knn
CDT-480407,0,N,N,eclipse,knn
CDT-48339,937,Y,N,eclipse,knn
CDT-489468,0,N,N,eclipse,knn
CDT-506382,30,N,N,eclipse,knn
CDT-520245,1,N,Y,eclipse,knn
CDT-52238,2,N,N,eclipse,knn
CDT-529958,8,N,Y,eclipse,knn
CDT-60299,190,N,Y,eclipse,knn
CDT-60634,54,N,N,eclipse,knn
CDT-65564,0,N,Y,eclipse,knn
CDT-68623,13,N,Y,eclipse,knn
CDT-69756,43,N,Y,eclipse,knn
CDT-72612,281,N,Y,eclipse,knn
CDT-73583,266,N,Y,eclipse,knn
CDT-77276,21,N,Y,eclipse,knn
CDT-78308,0,N,Y,eclipse,knn
CDT-78883,239,N,Y,eclipse,knn
CDT-82129,1017,Y,Y,eclipse,knn
CDT-83870,188,N,N,eclipse,knn
CDT-84703,3,N,Y,eclipse,knn
CDT-87259,15,N,N,eclipse,knn
CDT-88802,14,N,N,eclipse,knn
CDT-91086,13,N,Y,eclipse,knn
CDT-99233,12,N,Y,eclipse,knn
CHEMCLIPSE-511956,208,N,N,eclipse,knn
COMMUNITY-114070,4,N,N,eclipse,knn
COMMUNITY-116125,1,N,N,eclipse,knn
COMMUNITY-118835,0,N,Y,eclipse,knn
COMMUNITY-120252,2,N,N,eclipse,knn
COMMUNITY-125235,0,N,N,eclipse,knn
COMMUNITY-126140,241,N,Y,eclipse,knn
COMMUNITY-130115,0,N,N,eclipse,knn
COMMUNITY-138183,1,N,N,eclipse,knn
COMMUNITY-162748,0,N,N,eclipse,knn
COMMUNITY-170013,1,N,Y,eclipse,knn
COMMUNITY-178072,0,N,Y,eclipse,knn
COMMUNITY-185013,0,N,N,eclipse,knn
COMMUNITY-191961,0,N,N,eclipse,knn
COMMUNITY-196221,510,Y,N,eclipse,knn
COMMUNITY-203362,5,N,N,eclipse,knn
COMMUNITY-213224,66,N,Y,eclipse,knn
COMMUNITY-215327,0,N,N,eclipse,knn
COMMUNITY-218723,25,N,Y,eclipse,knn
