bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
CLASSPATH-17008,342,N,Y,gcc,knn
CLASSPATH-17060,337,N,Y,gcc,knn
CLASSPATH-22567,5,N,Y,gcc,knn
CLASSPATH-22652,1069,Y,Y,gcc,knn
CLASSPATH-22699,673,Y,Y,gcc,knn
CLASSPATH-22704,642,Y,Y,gcc,knn
CLASSPATH-22706,642,Y,Y,gcc,knn
CLASSPATH-22709,632,Y,N,gcc,knn
CLASSPATH-22715,578,Y,Y,gcc,knn
CLASSPATH-22734,461,Y,N,gcc,knn
CLASSPATH-22755,390,Y,Y,gcc,knn
CLASSPATH-22757,388,Y,Y,gcc,knn
CLASSPATH-22769,348,N,Y,gcc,knn
CLASSPATH-22780,316,N,N,gcc,knn
CLASSPATH-22827,205,N,N,gcc,knn
CLASSPATH-22833,195,N,Y,gcc,knn
CLASSPATH-22835,191,N,N,gcc,knn
CLASSPATH-22926,106,N,N,gcc,knn
CLASSPATH-22936,79,N,Y,gcc,knn
CLASSPATH-22942,73,N,Y,gcc,knn
CLASSPATH-22966,99,N,N,gcc,knn
CLASSPATH-22973,48,N,N,gcc,knn
CLASSPATH-22993,64,N,N,gcc,knn
CLASSPATH-23006,83,N,Y,gcc,knn
CLASSPATH-23024,46,N,Y,gcc,knn
CLASSPATH-23121,8,N,N,gcc,knn
CLASSPATH-23252,3,N,Y,gcc,knn
CLASSPATH-23893,4,N,Y,gcc,knn
CLASSPATH-23916,10,N,Y,gcc,knn
CLASSPATH-24099,246,N,N,gcc,knn
CLASSPATH-24216,216,N,Y,gcc,knn
CLASSPATH-24723,443,Y,Y,gcc,knn
CLASSPATH-24876,76,N,N,gcc,knn
CLASSPATH-25164,7,N,Y,gcc,knn
CLASSPATH-25389,1,N,Y,gcc,knn
CLASSPATH-25727,1,N,Y,gcc,knn
CLASSPATH-25837,4,N,Y,gcc,knn
CLASSPATH-25843,72,N,Y,gcc,knn
CLASSPATH-26082,25,N,Y,gcc,knn
CLASSPATH-26368,103,N,Y,gcc,knn
CLASSPATH-26627,6,N,N,gcc,knn
CLASSPATH-26645,3,N,N,gcc,knn
CLASSPATH-26688,1,N,Y,gcc,knn
CLASSPATH-26736,6,N,N,gcc,knn
CLASSPATH-26803,21,N,Y,gcc,knn
CLASSPATH-27375,3,N,Y,gcc,knn
CLASSPATH-27429,33,N,Y,gcc,knn
CLASSPATH-27455,1,N,N,gcc,knn
CLASSPATH-27484,0,N,N,gcc,knn
CLASSPATH-27605,80,N,Y,gcc,knn
CLASSPATH-27632,35,N,N,gcc,knn
CLASSPATH-27902,2,N,N,gcc,knn
CLASSPATH-28028,105,N,N,gcc,knn
CLASSPATH-28350,1,N,Y,gcc,knn
CLASSPATH-28534,4,N,N,gcc,knn
CLASSPATH-29190,5,N,N,gcc,knn
CLASSPATH-29419,89,N,N,gcc,knn
CLASSPATH-29526,56,N,N,gcc,knn
CLASSPATH-31311,18,N,N,gcc,knn
CLASSPATH-31646,2,N,Y,gcc,knn
CLASSPATH-33206,1,N,N,gcc,knn
CLASSPATH-38417,70,N,Y,gcc,knn
CLASSPATH-39408,16,N,Y,gcc,knn
GCC-10003,846,Y,Y,gcc,knn
GCC-10016,0,N,N,gcc,knn
GCC-10018,1,N,Y,gcc,knn
GCC-10039,14,N,Y,gcc,knn
GCC-10056,19,N,N,gcc,knn
GCC-10075,0,N,Y,gcc,knn
GCC-10119,7,N,Y,gcc,knn
GCC-10147,202,N,N,gcc,knn
GCC-1015,75,N,Y,gcc,knn
GCC-10158,7,N,Y,gcc,knn
GCC-10171,5,N,N,gcc,knn
GCC-10190,179,N,N,gcc,knn
GCC-10222,4,N,Y,gcc,knn
GCC-10230,46,N,N,gcc,knn
GCC-10271,16,N,Y,gcc,knn
GCC-10286,24,N,N,gcc,knn
GCC-10302,0,N,N,gcc,knn
GCC-10305,0,N,Y,gcc,knn
GCC-10307,4,N,N,gcc,knn
GCC-10351,253,N,N,gcc,knn
GCC-10366,0,N,N,gcc,knn
GCC-10385,1103,Y,N,gcc,knn
GCC-10387,2,N,N,gcc,knn
GCC-1040,25,N,N,gcc,knn
GCC-10426,0,N,N,gcc,knn
GCC-10432,55,N,Y,gcc,knn
GCC-10492,0,N,N,gcc,knn
GCC-10546,3,N,N,gcc,knn
GCC-10562,0,N,Y,gcc,knn
GCC-10572,5,N,N,gcc,knn
GCC-10586,2,N,N,gcc,knn
GCC-10633,0,N,N,gcc,knn
GCC-10648,1,N,Y,gcc,knn
GCC-1066,43,N,Y,gcc,knn
GCC-10667,0,N,N,gcc,knn
GCC-10673,26,N,N,gcc,knn
GCC-10687,0,N,Y,gcc,knn
GCC-10735,838,Y,N,gcc,knn
GCC-10830,1,N,Y,gcc,knn
GCC-1085,83,N,Y,gcc,knn
GCC-10867,0,N,Y,gcc,knn
GCC-10977,0,N,Y,gcc,knn
GCC-1101,85,N,Y,gcc,knn
GCC-11029,14,N,Y,gcc,knn
GCC-11096,3,N,Y,gcc,knn
GCC-11101,0,N,Y,gcc,knn
GCC-1115,-290,N,N,gcc,knn
GCC-11194,17,N,Y,gcc,knn
GCC-1121,72,N,Y,gcc,knn
GCC-11279,29,N,Y,gcc,knn
GCC-1130,-348,N,N,gcc,knn
GCC-1131,-350,N,N,gcc,knn
GCC-11325,144,N,Y,gcc,knn
GCC-11353,279,N,Y,gcc,knn
GCC-11380,582,Y,Y,gcc,knn
GCC-11381,3,N,Y,gcc,knn
GCC-11473,6,N,Y,gcc,knn
GCC-1148,72,N,N,gcc,knn
GCC-11556,2,N,N,gcc,knn
GCC-11596,6,N,Y,gcc,knn
GCC-11624,607,Y,Y,gcc,knn
GCC-1163,-265,N,N,gcc,knn
GCC-11682,1,N,Y,gcc,knn
