tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
57,62,6,98,Fold1,0.695067264573991,0.9423076923076923,0.4789915966386555,0.7106496444731739,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
37,81,10,94,Fold2,0.5900900900900901,0.9038461538461539,0.3135593220338983,0.608702737940026,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
55,64,8,96,Fold3,0.6771300448430493,0.9230769230769231,0.46218487394957986,0.6926308985132514,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
52,67,7,97,Fold4,0.6681614349775785,0.9326923076923077,0.4369747899159664,0.684833548804137,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
42,76,4,100,Fold5,0.6396396396396397,0.9615384615384616,0.3559322033898305,0.6587353324641461,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
108,11,10,94,Fold1,0.905829596412556,0.9038461538461539,0.907563025210084,0.9057045895281189,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
104,14,16,88,Fold2,0.8648648648648649,0.8461538461538461,0.8813559322033898,0.863754889178618,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
114,5,20,84,Fold3,0.8878923766816144,0.8076923076923077,0.957983193277311,0.8828377504848093,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
103,16,17,87,Fold4,0.852017937219731,0.8365384615384616,0.865546218487395,0.8510423400129283,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
106,12,11,93,Fold5,0.8963963963963963,0.8942307692307693,0.8983050847457628,0.8962679269882661,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
