tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
528,656,40,1011,Fold1,0.6885906040268457,0.961941008563273,0.44594594594594594,0.7039434772546095,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
553,630,50,1000,Fold2,0.6954769368562472,0.9523809523809523,0.46745562130177515,0.7099182868413637,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
526,657,52,998,Fold3,0.6824899238692342,0.9504761904761905,0.4446322907861369,0.6975542406311637,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
535,648,47,1003,Fold4,0.6887595163457232,0.9552380952380952,0.452240067624683,0.7037390814313891,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
525,658,47,1004,Fold5,0.6844225604297225,0.9552806850618458,0.4437869822485207,0.6995338336551833,mozilla,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
1019,165,158,893,Fold1,0.8554809843400447,0.8496669838249287,0.8606418918918919,0.8551544378584103,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1022,161,171,879,Fold2,0.851321092700403,0.8371428571428572,0.863905325443787,0.8505240912933221,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1017,166,148,902,Fold3,0.8593819973130318,0.8590476190476191,0.8596787827557059,0.8593632009016625,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1031,152,154,896,Fold4,0.8629646215853113,0.8533333333333334,0.871513102282333,0.8624232178078333,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1040,143,148,903,Fold5,0.869740376007162,0.8591817316841104,0.8791208791208791,0.8691513054024947,mozilla,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1055,129,45,1006,Fold1,0.9221476510067114,0.9571836346336822,0.8910472972972973,0.9241154659654898,mozilla,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1057,126,53,997,Fold2,0.9198387819077474,0.9495238095238095,0.893491124260355,0.9215074668920823,mozilla,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1040,143,60,990,Fold3,0.9090909090909091,0.9428571428571428,0.8791208791208791,0.910989010989011,mozilla,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1067,116,49,1001,Fold4,0.9261083743842364,0.9533333333333334,0.9019442096365173,0.9276387714849254,mozilla,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1035,148,51,1000,Fold5,0.9109221128021486,0.9514747859181731,0.874894336432798,0.9131845611754856,mozilla,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
