bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCOUNTSSERVICE-103104,76,N,N,freedesktop,knn
ACCOUNTSSERVICE-33678,47,N,N,freedesktop,knn
ACCOUNTSSERVICE-35872,14,N,Y,freedesktop,knn
ACCOUNTSSERVICE-58020,2,N,N,freedesktop,knn
ACCOUNTSSERVICE-66214,97,N,Y,freedesktop,knn
ACCOUNTSSERVICE-66325,3,N,N,freedesktop,knn
AVAHI-5328,28,N,N,freedesktop,knn
BEIGNET-89378,94,N,Y,freedesktop,knn
BEIGNET-95245,160,N,N,freedesktop,knn
BURN-100853,0,N,N,freedesktop,knn
BUSTLE-50877,769,Y,Y,freedesktop,knn
BUSTLE-93904,0,N,N,freedesktop,knn
CAIRO-10050,2186,Y,Y,freedesktop,knn
CAIRO-10175,0,N,N,freedesktop,knn
CAIRO-10227,8,N,N,freedesktop,knn
CAIRO-102452,23,N,N,freedesktop,knn
CAIRO-10794,349,N,N,freedesktop,knn
CAIRO-12415,211,N,N,freedesktop,knn
CAIRO-12787,366,Y,Y,freedesktop,knn
CAIRO-13254,0,N,Y,freedesktop,knn
CAIRO-14457,60,N,N,freedesktop,knn
CAIRO-16469,29,N,Y,freedesktop,knn
CAIRO-16496,96,N,N,freedesktop,knn
CAIRO-17096,59,N,Y,freedesktop,knn
CAIRO-19211,18,N,Y,freedesktop,knn
CAIRO-21443,23,N,N,freedesktop,knn
CAIRO-2333,211,N,N,freedesktop,knn
CAIRO-2336,5,N,Y,freedesktop,knn
CAIRO-24849,379,Y,Y,freedesktop,knn
CAIRO-27834,104,N,Y,freedesktop,knn
CAIRO-31062,0,N,Y,freedesktop,knn
CAIRO-31603,459,Y,Y,freedesktop,knn
CAIRO-3402,87,N,N,freedesktop,knn
CAIRO-3926,23,N,Y,freedesktop,knn
CAIRO-4142,1,N,Y,freedesktop,knn
CAIRO-4182,48,N,Y,freedesktop,knn
CAIRO-42421,101,N,Y,freedesktop,knn
CAIRO-4774,1091,Y,N,freedesktop,knn
CAIRO-48221,32,N,Y,freedesktop,knn
CAIRO-48577,18,N,Y,freedesktop,knn
CAIRO-48750,492,Y,Y,freedesktop,knn
CAIRO-52548,1065,Y,Y,freedesktop,knn
CAIRO-54549,0,N,Y,freedesktop,knn
CAIRO-54822,15,N,Y,freedesktop,knn
CAIRO-54950,115,N,Y,freedesktop,knn
CAIRO-5676,1,N,N,freedesktop,knn
CAIRO-6883,884,Y,Y,freedesktop,knn
CAIRO-7234,6,N,Y,freedesktop,knn
CAIRO-7965,181,N,N,freedesktop,knn
CAIRO-80602,308,N,Y,freedesktop,knn
CAIRO-9378,21,N,Y,freedesktop,knn
CAIRO-93891,188,N,N,freedesktop,knn
CAIRO-9846,302,N,Y,freedesktop,knn
CAIROMM-11574,9,N,Y,freedesktop,knn
CAIROMM-30476,23,N,Y,freedesktop,knn
CAIROMM-5982,0,N,N,freedesktop,knn
CAIROMM-76820,9,N,Y,freedesktop,knn
COLORD-44735,131,N,Y,freedesktop,knn
CONSOLEKIT-22178,41,N,N,freedesktop,knn
DBUS-11671,312,N,Y,freedesktop,knn
DBUS-11672,53,N,N,freedesktop,knn
DBUS-11876,161,N,N,freedesktop,knn
DBUS-12675,236,N,N,freedesktop,knn
DBUS-12741,63,N,Y,freedesktop,knn
DBUS-12862,88,N,N,freedesktop,knn
DBUS-14472,21,N,N,freedesktop,knn
DBUS-16166,6,N,N,freedesktop,knn
DBUS-17279,1,N,Y,freedesktop,knn
DBUS-18660,1771,Y,Y,freedesktop,knn
DBUS-19383,3,N,N,freedesktop,knn
DBUS-19441,20,N,Y,freedesktop,knn
DBUS-21665,764,Y,N,freedesktop,knn
DBUS-25119,0,N,N,freedesktop,knn
DBUS-27778,52,N,N,freedesktop,knn
DBUS-29892,36,N,Y,freedesktop,knn
DBUS-3162,4,N,N,freedesktop,knn
DBUS-34527,18,N,N,freedesktop,knn
DBUS-34895,78,N,N,freedesktop,knn
DBUS-35173,48,N,Y,freedesktop,knn
DBUS-35181,0,N,N,freedesktop,knn
DBUS-36130,1,N,Y,freedesktop,knn
DBUS-37062,2,N,N,freedesktop,knn
DBUS-3732,24,N,N,freedesktop,knn
DBUS-3793,52,N,Y,freedesktop,knn
DBUS-38120,1,N,N,freedesktop,knn
DBUS-55729,58,N,Y,freedesktop,knn
DBUS-56043,0,N,Y,freedesktop,knn
DBUS-60339,7,N,N,freedesktop,knn
DBUS-6043,106,N,N,freedesktop,knn
DBUS-644,14,N,N,freedesktop,knn
DBUS-65712,0,N,Y,freedesktop,knn
DBUS-69409,0,N,N,freedesktop,knn
DBUS-72298,33,N,N,freedesktop,knn
DBUS-75862,610,Y,N,freedesktop,knn
DBUS-7612,3,N,Y,freedesktop,knn
DBUS-77447,14,N,N,freedesktop,knn
DBUS-7809,12,N,Y,freedesktop,knn
DBUS-7819,9,N,N,freedesktop,knn
DBUS-7844,0,N,N,freedesktop,knn
DBUS-7922,115,N,Y,freedesktop,knn
DBUS-8318,143,N,Y,freedesktop,knn
DBUS-89444,68,N,Y,freedesktop,knn
DBUS-9030,427,Y,N,freedesktop,knn
DBUS-98195,28,N,Y,freedesktop,knn
DBUS-99999,20,N,Y,freedesktop,knn
DEJAVU-51968,421,Y,N,freedesktop,knn
DRI-100044,21,N,Y,freedesktop,knn
DRI-100213,429,Y,Y,freedesktop,knn
DRI-100322,42,N,Y,freedesktop,knn
DRI-100329,42,N,Y,freedesktop,knn
DRI-100584,1,N,N,freedesktop,knn
DRI-100585,70,N,Y,freedesktop,knn
