bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
CLASSPATH-22715,578,Y,Y,gcc,nb
CLASSPATH-22755,390,Y,Y,gcc,nb
CLASSPATH-24876,76,N,N,gcc,nb
CLASSPATH-25141,1,N,Y,gcc,nb
CLASSPATH-25517,1,N,Y,gcc,nb
CLASSPATH-26503,2,N,N,gcc,nb
CLASSPATH-28580,9,N,Y,gcc,nb
GCC-1040,25,N,N,gcc,nb
GCC-1074,110,N,N,gcc,nb
GCC-11231,279,N,N,gcc,nb
GCC-1174,-265,N,Y,gcc,nb
GCC-11917,0,N,N,gcc,nb
GCC-11957,1,N,N,gcc,nb
GCC-12082,11,N,N,gcc,nb
GCC-12290,9,N,N,gcc,nb
GCC-12969,26,N,Y,gcc,nb
GCC-13037,30,N,N,gcc,nb
GCC-13102,1,N,N,gcc,nb
GCC-13114,24,N,N,gcc,nb
GCC-13116,3,N,Y,gcc,nb
GCC-13367,23,N,N,gcc,nb
GCC-13925,4,N,N,gcc,nb
GCC-14607,152,N,Y,gcc,nb
GCC-1476,-288,N,Y,gcc,nb
GCC-15089,342,N,N,gcc,nb
GCC-15267,1312,Y,Y,gcc,nb
GCC-15427,9,N,N,gcc,nb
GCC-15504,91,N,N,gcc,nb
GCC-16211,0,N,N,gcc,nb
GCC-1679,56,N,N,gcc,nb
GCC-17267,3965,Y,N,gcc,nb
GCC-17473,71,N,N,gcc,nb
GCC-18326,7,N,N,gcc,nb
GCC-18612,205,N,N,gcc,nb
GCC-18679,0,N,N,gcc,nb
GCC-18782,1,N,N,gcc,nb
GCC-18902,77,N,Y,gcc,nb
GCC-19022,28,N,Y,gcc,nb
GCC-19168,20,N,N,gcc,nb
GCC-19216,166,N,N,gcc,nb
GCC-19302,46,N,Y,gcc,nb
GCC-19628,399,Y,Y,gcc,nb
GCC-20093,47,N,N,gcc,nb
GCC-20412,0,N,N,gcc,nb
GCC-20854,267,N,N,gcc,nb
GCC-21260,13,N,N,gcc,nb
GCC-21508,529,Y,N,gcc,nb
GCC-21527,853,Y,N,gcc,nb
GCC-22310,1,N,N,gcc,nb
GCC-22418,102,N,N,gcc,nb
GCC-23080,3,N,N,gcc,nb
GCC-23478,13,N,N,gcc,nb
GCC-236,235,N,N,gcc,nb
GCC-23746,0,N,Y,gcc,nb
GCC-24117,0,N,N,gcc,nb
GCC-24505,7,N,N,gcc,nb
GCC-2505,25,N,N,gcc,nb
GCC-25162,1,N,N,gcc,nb
GCC-25339,2,N,N,gcc,nb
GCC-2535,284,N,N,gcc,nb
GCC-2553,272,N,N,gcc,nb
GCC-25861,7,N,N,gcc,nb
GCC-26071,6,N,N,gcc,nb
GCC-2642,349,N,N,gcc,nb
GCC-2680,4,N,Y,gcc,nb
GCC-26996,2,N,Y,gcc,nb
GCC-27162,0,N,N,gcc,nb
GCC-2720,34,N,N,gcc,nb
GCC-27754,96,N,N,gcc,nb
GCC-28478,3668,Y,N,gcc,nb
GCC-28830,3,N,N,gcc,nb
GCC-29365,320,N,N,gcc,nb
GCC-30027,2,N,N,gcc,nb
GCC-30221,135,N,N,gcc,nb
