bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
PACKAGING-40590,14,N,Y,winehq,nb
WINE-10038,807,Y,N,winehq,nb
WINE-10457,390,Y,N,winehq,nb
WINE-10480,2418,Y,N,winehq,nb
WINE-10582,89,N,N,winehq,nb
WINE-10610,196,N,N,winehq,nb
WINE-10883,98,N,N,winehq,nb
WINE-11008,49,N,N,winehq,nb
WINE-11107,2853,Y,N,winehq,nb
WINE-11281,494,Y,N,winehq,nb
WINE-11596,711,Y,N,winehq,nb
WINE-11663,264,N,N,winehq,nb
WINE-11678,4,N,N,winehq,nb
WINE-11799,1337,Y,Y,winehq,nb
WINE-11898,3003,Y,N,winehq,nb
WINE-12010,11,N,N,winehq,nb
WINE-12026,1525,Y,N,winehq,nb
WINE-12285,152,N,N,winehq,nb
WINE-12680,13,N,N,winehq,nb
WINE-12951,205,N,N,winehq,nb
WINE-13255,164,N,N,winehq,nb
WINE-13632,2352,Y,N,winehq,nb
WINE-13787,192,N,N,winehq,nb
WINE-13832,1343,Y,N,winehq,nb
WINE-14056,196,N,Y,winehq,nb
WINE-1406,782,Y,N,winehq,nb
WINE-14140,1715,Y,N,winehq,nb
WINE-1464,5,N,N,winehq,nb
WINE-14718,2138,Y,N,winehq,nb
WINE-14749,168,N,N,winehq,nb
WINE-14894,2642,Y,N,winehq,nb
WINE-14988,1179,Y,N,winehq,nb
WINE-1499,3,N,N,winehq,nb
WINE-15230,862,Y,N,winehq,nb
WINE-15372,624,Y,N,winehq,nb
WINE-15374,18,N,N,winehq,nb
WINE-15738,1839,Y,N,winehq,nb
WINE-15748,32,N,N,winehq,nb
WINE-15845,2992,Y,N,winehq,nb
WINE-15874,1030,Y,N,winehq,nb
WINE-15903,266,N,N,winehq,nb
WINE-16485,1046,Y,N,winehq,nb
WINE-16598,14,N,N,winehq,nb
WINE-16611,1,N,N,winehq,nb
WINE-16668,1081,Y,N,winehq,nb
WINE-1689,728,Y,N,winehq,nb
WINE-17076,4,N,N,winehq,nb
WINE-17454,469,Y,N,winehq,nb
WINE-175,3147,Y,N,winehq,nb
WINE-17684,451,Y,N,winehq,nb
WINE-17987,11,N,N,winehq,nb
WINE-1811,708,Y,N,winehq,nb
WINE-18551,287,N,N,winehq,nb
WINE-19014,1,N,N,winehq,nb
WINE-1925,4,N,N,winehq,nb
WINE-19392,32,N,N,winehq,nb
WINE-19747,1,N,N,winehq,nb
WINE-19860,331,N,N,winehq,nb
WINE-19978,78,N,N,winehq,nb
WINE-20159,4,N,N,winehq,nb
WINE-20276,576,Y,N,winehq,nb
WINE-20354,1527,Y,N,winehq,nb
WINE-20389,224,N,N,winehq,nb
WINE-20466,1615,Y,N,winehq,nb
WINE-205,48,N,N,winehq,nb
WINE-20509,542,Y,N,winehq,nb
WINE-20684,28,N,N,winehq,nb
WINE-20686,1,N,N,winehq,nb
WINE-20735,154,N,Y,winehq,nb
WINE-21177,1495,Y,N,winehq,nb
WINE-2162,510,Y,N,winehq,nb
WINE-21805,540,Y,N,winehq,nb
WINE-21822,576,Y,N,winehq,nb
WINE-2184,21,N,N,winehq,nb
WINE-22040,163,N,N,winehq,nb
WINE-22085,1918,Y,Y,winehq,nb
WINE-2272,1250,Y,N,winehq,nb
WINE-2304,35,N,N,winehq,nb
WINE-2312,15,N,N,winehq,nb
WINE-23410,385,Y,N,winehq,nb
WINE-23591,830,Y,N,winehq,nb
WINE-23755,1023,Y,N,winehq,nb
WINE-23956,233,N,N,winehq,nb
WINE-24198,583,Y,N,winehq,nb
WINE-24425,1,N,N,winehq,nb
WINE-2453,287,N,N,winehq,nb
WINE-24707,732,Y,N,winehq,nb
WINE-24806,380,Y,Y,winehq,nb
WINE-24873,740,Y,N,winehq,nb
WINE-25263,1822,Y,N,winehq,nb
WINE-25439,621,Y,N,winehq,nb
WINE-25762,969,Y,N,winehq,nb
WINE-25851,1496,Y,N,winehq,nb
WINE-25926,2,N,Y,winehq,nb
WINE-26262,1587,Y,Y,winehq,nb
WINE-26367,2,N,N,winehq,nb
WINE-26522,362,N,N,winehq,nb
WINE-26553,531,Y,N,winehq,nb
WINE-26621,1659,Y,N,winehq,nb
WINE-26697,314,N,N,winehq,nb
WINE-26884,5,N,N,winehq,nb
WINE-26907,429,Y,N,winehq,nb
WINE-26945,18,N,N,winehq,nb
WINE-27003,672,Y,N,winehq,nb
WINE-27034,846,Y,N,winehq,nb
WINE-27132,1,N,N,winehq,nb
WINE-2741,40,N,N,winehq,nb
WINE-27487,1112,Y,N,winehq,nb
WINE-27516,3,N,N,winehq,nb
WINE-27736,1220,Y,Y,winehq,nb
WINE-27739,1535,Y,N,winehq,nb
WINE-27776,7,N,N,winehq,nb
WINE-27795,3,N,N,winehq,nb
WINE-27818,8,N,N,winehq,nb
WINE-28056,64,N,N,winehq,nb
WINE-28223,961,Y,N,winehq,nb
WINE-28400,5,N,N,winehq,nb
WINE-28558,168,N,N,winehq,nb
WINE-28617,10,N,N,winehq,nb
WINE-28823,1037,Y,N,winehq,nb
