bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
AJDT-253528,41,N,N,eclipse,nb
AJDT-288020,4,N,N,eclipse,nb
ASPECTJ-122253,153,N,Y,eclipse,nb
ASPECTJ-268896,0,N,Y,eclipse,nb
ASPECTJ-339300,13,N,Y,eclipse,nb
BIRT-133451,3,N,N,eclipse,nb
BIRT-134699,17,N,N,eclipse,nb
BIRT-143173,10,N,N,eclipse,nb
BIRT-183899,3,N,Y,eclipse,nb
BIRT-190551,4,N,N,eclipse,nb
BIRT-199791,0,N,N,eclipse,nb
BIRT-208365,5,N,Y,eclipse,nb
BIRT-263199,2,N,N,eclipse,nb
BIRT-280228,42,N,Y,eclipse,nb
BIRT-287773,111,N,N,eclipse,nb
BIRT-316093,8,N,N,eclipse,nb
BIRT-326271,1172,Y,Y,eclipse,nb
BIRT-417966,164,N,Y,eclipse,nb
CDT-105334,1064,Y,N,eclipse,nb
CDT-231156,8,N,N,eclipse,nb
CDT-252782,27,N,N,eclipse,nb
CDT-274742,66,N,Y,eclipse,nb
CDT-277152,5,N,N,eclipse,nb
CDT-36550,189,N,N,eclipse,nb
CDT-398332,0,N,N,eclipse,nb
CDT-403406,2,N,N,eclipse,nb
CDT-431986,12,N,N,eclipse,nb
CDT-461342,6,N,Y,eclipse,nb
CDT-69092,303,N,N,eclipse,nb
CDT-77379,4,N,N,eclipse,nb
COMMUNITY-206006,1,N,Y,eclipse,nb
COMMUNITY-240674,0,N,Y,eclipse,nb
COMMUNITY-275753,35,N,Y,eclipse,nb
COMMUNITY-291068,46,N,Y,eclipse,nb
COMMUNITY-291199,591,Y,Y,eclipse,nb
COMMUNITY-315410,0,N,Y,eclipse,nb
COMMUNITY-345189,1,N,Y,eclipse,nb
COMMUNITY-346797,33,N,Y,eclipse,nb
COMMUNITY-391800,0,N,N,eclipse,nb
COMMUNITY-432332,22,N,N,eclipse,nb
COMMUNITY-432484,12,N,N,eclipse,nb
COMMUNITY-464530,120,N,N,eclipse,nb
COMMUNITY-482437,1,N,N,eclipse,nb
DALI_JPA_TOOLS-223418,56,N,N,eclipse,nb
DALI_JPA_TOOLS-254918,21,N,Y,eclipse,nb
DATA_TOOLS-141436,11,N,N,eclipse,nb
DATA_TOOLS-314389,0,N,N,eclipse,nb
DLTK-190420,7,N,Y,eclipse,nb
DLTK-217795,0,N,N,eclipse,nb
DLTK-328821,0,N,N,eclipse,nb
ECLIPSELINK-263372,31,N,N,eclipse,nb
ECLIPSELINK-286971,2,N,Y,eclipse,nb
ECLIPSELINK-297080,164,N,Y,eclipse,nb
ECLIPSELINK-337894,1,N,N,eclipse,nb
ECLIPSELINK-338854,1,N,N,eclipse,nb
ECLIPSELINK-374302,21,N,N,eclipse,nb
ECLIPSELINK-445913,0,N,N,eclipse,nb
ECORETOOLS-233769,3,N,Y,eclipse,nb
ECP-422599,69,N,Y,eclipse,nb
ECP-468950,1474,Y,Y,eclipse,nb
ECP-487124,85,N,Y,eclipse,nb
EFXCLIPSE-467232,2,N,Y,eclipse,nb
EGIT-337028,142,N,N,eclipse,nb
EGIT-440220,1,N,Y,eclipse,nb
EGIT-475701,0,N,Y,eclipse,nb
EMF-217255,364,N,Y,eclipse,nb
EMFCOMPARE-391264,12,N,Y,eclipse,nb
EMFSTORE-412016,0,N,N,eclipse,nb
EMFT-253508,121,N,N,eclipse,nb
EPF-151493,6,N,Y,eclipse,nb
EPF-167874,5,N,Y,eclipse,nb
EPF-173780,12,N,N,eclipse,nb
EPF-179905,99,N,Y,eclipse,nb
EQUINOX-216511,5,N,Y,eclipse,nb
EQUINOX-223412,15,N,N,eclipse,nb
EQUINOX-225843,0,N,N,eclipse,nb
EQUINOX-229279,0,N,Y,eclipse,nb
EQUINOX-265526,0,N,N,eclipse,nb
EQUINOX-268202,2,N,Y,eclipse,nb
EQUINOX-307527,0,N,N,eclipse,nb
EQUINOX-338753,0,N,Y,eclipse,nb
EQUINOX-61079,9,N,N,eclipse,nb
EQUINOX-76024,428,Y,N,eclipse,nb
ERCP-132539,141,N,Y,eclipse,nb
ERCP-254554,66,N,N,eclipse,nb
ERCP-298305,8,N,N,eclipse,nb
ETRICE-411074,0,N,Y,eclipse,nb
GEF-125498,27,N,Y,eclipse,nb
GEMINI.NAMING-331470,429,Y,N,eclipse,nb
GEMINI.WEB-319567,59,N,N,eclipse,nb
GMF-RUNTIME-129794,6,N,N,eclipse,nb
GMF-RUNTIME-206047,0,N,N,eclipse,nb
GMP-231420,3,N,N,eclipse,nb
GRAPHITI-323155,204,N,N,eclipse,nb
HUDSON-469987,314,N,Y,eclipse,nb
JDT-10865,0,N,N,eclipse,nb
JDT-11129,0,N,Y,eclipse,nb
