bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCERCISER-416189,5,N,N,gnome,nb
ACCERCISER-508778,8,N,N,gnome,nb
ACCERCISER-520296,328,N,N,gnome,nb
ACME-146000,46,N,Y,gnome,nb
ACME-94044,30,N,N,gnome,nb
ACME-97888,0,N,Y,gnome,nb
ADWAITA-ICON-THEME-157864,0,N,N,gnome,nb
ADWAITA-ICON-THEME-313643,316,N,N,gnome,nb
ADWAITA-ICON-THEME-317600,126,N,N,gnome,nb
ADWAITA-ICON-THEME-347840,0,N,Y,gnome,nb
ADWAITA-ICON-THEME-354279,1,N,N,gnome,nb
ADWAITA-ICON-THEME-468035,1,N,Y,gnome,nb
AISLERIOT-407329,1758,Y,N,gnome,nb
ALACARTE-359062,0,N,N,gnome,nb
ALACARTE-470103,43,N,Y,gnome,nb
ANJUTA-450413,884,Y,N,gnome,nb
ANJUTA-458034,53,N,N,gnome,nb
ANJUTA-506740,0,N,Y,gnome,nb
ANJUTA-511762,163,N,N,gnome,nb
ANJUTA-518329,2,N,Y,gnome,nb
ANJUTA-528226,42,N,N,gnome,nb
AT-POKE-146013,46,N,Y,gnome,nb
AT-POKE-146023,46,N,Y,gnome,nb
AT-SPI-100530,0,N,N,gnome,nb
AT-SPI-125834,34,N,N,gnome,nb
AT-SPI-135809,14,N,N,gnome,nb
AT-SPI-345701,0,N,Y,gnome,nb
AT-SPI-351460,7,N,N,gnome,nb
AT-SPI-412910,2,N,N,gnome,nb
ATK-102599,1,N,Y,gnome,nb
ATK-104797,389,Y,N,gnome,nb
ATK-121990,12,N,N,gnome,nb
ATK-125725,6,N,N,gnome,nb
ATK-158531,0,N,N,gnome,nb
ATK-382328,108,N,N,gnome,nb
ATK-497218,55,N,Y,gnome,nb
BAKERY-441220,3,N,N,gnome,nb
BALSA-106006,152,N,N,gnome,nb
BALSA-150159,808,Y,Y,gnome,nb
BALSA-156460,12,N,N,gnome,nb
BALSA-636801,2,N,N,gnome,nb
BANSHEE-314859,0,N,Y,gnome,nb
BANSHEE-319302,7,N,Y,gnome,nb
BANSHEE-324353,113,N,N,gnome,nb
BANSHEE-334465,38,N,Y,gnome,nb
BANSHEE-336001,70,N,Y,gnome,nb
BANSHEE-360733,101,N,Y,gnome,nb
BANSHEE-361943,1,N,Y,gnome,nb
BANSHEE-383844,0,N,N,gnome,nb
BANSHEE-384292,422,Y,N,gnome,nb
BANSHEE-396849,37,N,Y,gnome,nb
BANSHEE-401352,208,N,Y,gnome,nb
BANSHEE-414505,1,N,Y,gnome,nb
BANSHEE-426379,193,N,Y,gnome,nb
BANSHEE-523691,2,N,Y,gnome,nb
BANSHEE-526326,58,N,N,gnome,nb
BEAGLE-167896,4,N,N,gnome,nb
BEAGLE-172968,81,N,N,gnome,nb
BEAGLE-318298,4,N,N,gnome,nb
BEAGLE-318690,1,N,Y,gnome,nb
BEAGLE-324910,87,N,Y,gnome,nb
BEAGLE-334057,4,N,Y,gnome,nb
BEAGLE-335924,2,N,N,gnome,nb
BEAGLE-349934,0,N,N,gnome,nb
BEAGLE-355191,2,N,Y,gnome,nb
BEAGLE-526685,21,N,Y,gnome,nb
BLUEFISH-324517,36,N,Y,gnome,nb
BLUEFISH-327432,781,Y,Y,gnome,nb
BLUEFISH-330781,3,N,N,gnome,nb
BLUEFISH-337739,135,N,N,gnome,nb
BONOBO-126634,333,N,N,gnome,nb
BONOBO-352191,121,N,Y,gnome,nb
BONOBO-352305,2,N,Y,gnome,nb
BONOBO-376211,2,N,Y,gnome,nb
BONOBO-419535,6,N,N,gnome,nb
BONOBO-65899,1,N,N,gnome,nb
BONOBO-ACTIVATION_[WAS:_OAF]-338177,20,N,Y,gnome,nb
BOOKWORM-124602,1,N,N,gnome,nb
BOOKWORM-124683,1,N,N,gnome,nb
BOUNTIES-169345,428,Y,Y,gnome,nb
BRASERO-453273,106,N,Y,gnome,nb
BRASERO-520398,41,N,Y,gnome,nb
BRASERO-520986,47,N,N,gnome,nb
BRASERO-530407,37,N,Y,gnome,nb
BRASERO-588604,1,N,N,gnome,nb
BUG-BUDDY-104777,235,N,Y,gnome,nb
BUG-BUDDY-117806,2,N,Y,gnome,nb
BUG-BUDDY-337850,221,N,N,gnome,nb
BUG-BUDDY-517514,158,N,N,gnome,nb
BUG-BUDDY-78205,0,N,Y,gnome,nb
BUG-BUDDY-86404,48,N,Y,gnome,nb
BUGZILLA.GNOME.ORG-118572,240,N,N,gnome,nb
BUGZILLA.GNOME.ORG-138883,225,N,N,gnome,nb
BUGZILLA.GNOME.ORG-140304,138,N,N,gnome,nb
BUGZILLA.GNOME.ORG-156044,0,N,N,gnome,nb
BUGZILLA.GNOME.ORG-324370,0,N,N,gnome,nb
BUGZILLA.GNOME.ORG-358443,0,N,N,gnome,nb
BUGZILLA.GNOME.ORG-517909,49,N,N,gnome,nb
BUGZILLA.GNOME.ORG-54798,91,N,Y,gnome,nb
BUGZILLA.GNOME.ORG-744316,13,N,Y,gnome,nb
CHEESE-527870,19,N,N,gnome,nb
COGL-663127,2,N,Y,gnome,nb
COGL-708825,62,N,Y,gnome,nb
CONDUIT-524451,0,N,N,gnome,nb
CONDUIT-525259,120,N,N,gnome,nb
CONGLOMERATE-125454,1527,Y,N,gnome,nb
CONGLOMERATE-125883,12,N,N,gnome,nb
CRIAWIPS-330725,4,N,N,gnome,nb
CRIAWIPS-433564,2,N,Y,gnome,nb
CRIAWIPS-438525,0,N,Y,gnome,nb
DAMNED-LIES-501347,1,N,Y,gnome,nb
DAMNED-LIES-685633,2,N,N,gnome,nb
DASHER-374456,0,N,Y,gnome,nb
DASHER-388198,15,N,N,gnome,nb
DESKBAR-APPLET-329490,0,N,N,gnome,nb
DESKBAR-APPLET-362746,0,N,N,gnome,nb
DESKBAR-APPLET-388963,15,N,Y,gnome,nb
DESKBAR-APPLET-418014,282,N,Y,gnome,nb
DESKBAR-APPLET-450960,229,N,Y,gnome,nb
DESKBAR-APPLET-472134,36,N,Y,gnome,nb
DESKBAR-APPLET-526574,1,N,Y,gnome,nb
DESKTOP-FILE-UTILS-151708,593,Y,N,gnome,nb
DEVHELP-109881,21,N,Y,gnome,nb
DEVHELP-409182,58,N,N,gnome,nb
DEVHELP-508513,3,N,N,gnome,nb
DEVHELP-518281,264,N,N,gnome,nb
DIA-112377,550,Y,Y,gnome,nb
DIA-142524,196,N,Y,gnome,nb
DIA-172529,4,N,N,gnome,nb
DIA-300744,8,N,N,gnome,nb
DIA-334037,2,N,N,gnome,nb
DIA-340705,519,Y,Y,gnome,nb
DIA-349765,74,N,Y,gnome,nb
DIA-414733,1,N,N,gnome,nb
DIA-447094,57,N,Y,gnome,nb
DIA-462563,8,N,N,gnome,nb
DIA-465623,15,N,Y,gnome,nb
DIA-497070,145,N,N,gnome,nb
DIA-52857,44,N,Y,gnome,nb
DIA-547173,84,N,N,gnome,nb
DIA-58882,3,N,Y,gnome,nb
DIA-99001,120,N,Y,gnome,nb
DOXYGEN-135889,174,N,N,gnome,nb
DOXYGEN-137842,126,N,Y,gnome,nb
DOXYGEN-151959,643,Y,N,gnome,nb
DOXYGEN-316944,754,Y,Y,gnome,nb
DOXYGEN-342946,17,N,Y,gnome,nb
DOXYGEN-348537,38,N,Y,gnome,nb
DOXYGEN-357037,389,Y,N,gnome,nb
DOXYGEN-437218,79,N,Y,gnome,nb
DOXYGEN-465020,79,N,N,gnome,nb
DOXYGEN-476562,44,N,Y,gnome,nb
DOXYGEN-480722,31,N,N,gnome,nb
DOXYGEN-509348,584,Y,N,gnome,nb
DOXYGEN-513885,8,N,Y,gnome,nb
DOXYGEN-525143,49,N,Y,gnome,nb
EEL-150344,160,N,N,gnome,nb
EEL-169866,29,N,Y,gnome,nb
EEL-48219,1330,Y,N,gnome,nb
EKIGA-133841,0,N,N,gnome,nb
EKIGA-162449,169,N,Y,gnome,nb
