bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
PACKAGING-40590,14,N,Y,winehq,nb
PACKAGING-43820,20,N,N,winehq,nb
WINE-10081,2587,Y,N,winehq,nb
WINE-10085,2575,Y,N,winehq,nb
WINE-10133,1488,Y,N,winehq,nb
WINE-10193,28,N,Y,winehq,nb
WINE-102,514,Y,Y,winehq,nb
WINE-10233,1,N,N,winehq,nb
WINE-10268,229,N,Y,winehq,nb
WINE-10300,114,N,N,winehq,nb
WINE-10329,823,Y,N,winehq,nb
WINE-10338,1,N,Y,winehq,nb
WINE-10340,1374,Y,N,winehq,nb
WINE-10359,206,N,Y,winehq,nb
WINE-10389,64,N,Y,winehq,nb
WINE-10393,23,N,Y,winehq,nb
WINE-1041,11,N,N,winehq,nb
WINE-10435,700,Y,N,winehq,nb
WINE-10449,554,Y,Y,winehq,nb
WINE-10457,390,Y,Y,winehq,nb
WINE-10464,3,N,N,winehq,nb
WINE-10470,395,Y,N,winehq,nb
WINE-10547,407,Y,N,winehq,nb
WINE-10581,1436,Y,N,winehq,nb
WINE-10584,189,N,N,winehq,nb
WINE-1059,266,N,N,winehq,nb
WINE-10598,6,N,N,winehq,nb
WINE-10604,89,N,N,winehq,nb
WINE-10610,196,N,N,winehq,nb
WINE-10636,1514,Y,N,winehq,nb
WINE-1066,208,N,N,winehq,nb
WINE-10661,269,N,N,winehq,nb
WINE-1067,980,Y,N,winehq,nb
WINE-10686,2322,Y,N,winehq,nb
WINE-10688,564,Y,Y,winehq,nb
WINE-1070,1080,Y,Y,winehq,nb
WINE-10716,4,N,N,winehq,nb
WINE-10730,6,N,N,winehq,nb
WINE-10739,8,N,N,winehq,nb
WINE-10760,110,N,Y,winehq,nb
WINE-10781,1296,Y,N,winehq,nb
WINE-10827,8,N,N,winehq,nb
WINE-10874,305,N,N,winehq,nb
WINE-10911,2199,Y,N,winehq,nb
WINE-10934,886,Y,N,winehq,nb
WINE-10950,708,Y,N,winehq,nb
WINE-10967,165,N,N,winehq,nb
WINE-10992,82,N,Y,winehq,nb
WINE-11011,163,N,N,winehq,nb
WINE-1104,1071,Y,N,winehq,nb
WINE-11059,2755,Y,N,winehq,nb
WINE-11117,2583,Y,Y,winehq,nb
WINE-11154,2,N,N,winehq,nb
WINE-11164,406,Y,Y,winehq,nb
WINE-11173,47,N,N,winehq,nb
WINE-11178,1704,Y,N,winehq,nb
WINE-11194,248,N,N,winehq,nb
WINE-11211,68,N,N,winehq,nb
WINE-11244,54,N,Y,winehq,nb
