tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
0,0,0,0,Fold1,NaN,0,0,0,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
502,745,307,910,Fold1,0.573051948051948,0.7477403451109285,0.4025661587810746,0.5751532519460015,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
502,745,307,910,Fold1,0.573051948051948,0.7477403451109285,0.4025661587810746,0.5751532519460015,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
502,745,307,910,Fold1,0.573051948051948,0.7477403451109285,0.4025661587810746,0.5751532519460015,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
502,745,307,910,Fold1,0.573051948051948,0.7477403451109285,0.4025661587810746,0.5751532519460015,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
502,745,307,910,Fold1,0.573051948051948,0.7477403451109285,0.4025661587810746,0.5751532519460015,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
502,745,307,910,Fold1,0.573051948051948,0.7477403451109285,0.4025661587810746,0.5751532519460015,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
698,549,390,827,Fold1,0.6189123376623377,0.6795398520953163,0.5597433841218925,0.6196416181086044,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
698,549,390,827,Fold1,0.6189123376623377,0.6795398520953163,0.5597433841218925,0.6196416181086044,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
698,549,390,827,Fold1,0.6189123376623377,0.6795398520953163,0.5597433841218925,0.6196416181086044,gcc,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
