tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,classifier,balancing,resampling,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
78,2,1,77,Fold01,0.9810126582278481,0.9746835443037974,0.9873417721518988,0.9810126582278481,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
74,7,0,78,Fold02,0.9559748427672956,0.9176470588235294,1,0.9588235294117646,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
78,3,1,77,Fold03,0.9748427672955975,0.9625,0.9873417721518988,0.9749208860759494,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
76,5,0,78,Fold04,0.9685534591194969,0.9397590361445783,1,0.9698795180722892,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
75,5,1,77,Fold05,0.9620253164556962,0.9390243902439024,0.9868421052631579,0.9629332477535302,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
75,6,1,77,Fold06,0.9559748427672956,0.927710843373494,0.9868421052631579,0.957276474318326,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
80,0,4,74,Fold07,0.9746835443037974,1,0.9523809523809523,0.9761904761904762,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
78,3,2,76,Fold08,0.9685534591194969,0.9620253164556962,0.975,0.968512658227848,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
74,7,0,78,Fold09,0.9559748427672956,0.9176470588235294,1,0.9588235294117646,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
78,3,0,78,Fold10,0.9811320754716981,0.9629629629629629,1,0.9814814814814814,svm,smote,10-cv,short_description,sigma,0.03125,C,32,NA,0,3581,5
