tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,hyper1,value1,hyper2,value2,hyper3,value3,classifier,balancing,resampling,train_metric,max_term,feature,threshold,train_size,train_size_class_0,train_size_class_1,seed
528,345,0,835,Fold05,0.7980093676814989,0.7076271186440678,1,0.853813559322034,k,5,,0,,0,knn,smote,cv10,Accuracy,100,long_description,365,17081,8729,8352,144
870,3,68,1,Fold10,0.9246284501061571,0.25,0.9275053304904051,0.5887526652452025,k,5,,0,,0,knn,unbalanced,cv10,Accuracy,100,long_description,365,9425,8729,696,144
2,871,0,836,Fold06,0.4903452311293154,0.4897480960749854,1,0.7448740480374927,fL,0,usekernel,1,adjust,1,nb,smote,cv10,Accuracy,100,long_description,365,17081,8729,8352,144
872,0,67,2,Fold07,0.9287991498405951,1,0.9286474973375932,0.9643237486687966,fL,0,usekernel,1,adjust,1,nb,unbalanced,cv10,Accuracy,100,long_description,365,9425,8729,696,144
636,236,121,714,Fold07,0.7908611599297012,0.751578947368421,0.8401585204755614,0.7958687339219912,size,30,decay,0.5,,0,nn,smote,cv10,Accuracy,100,long_description,365,17081,8729,8352,144
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,size,10,decay,0.5,,0,nn,unbalanced,cv10,Accuracy,100,long_description,365,9425,8729,696,144
841,32,27,808,Fold01,0.9654566744730679,0.9619047619047619,0.9688940092165899,0.965399385560676,mtry,25,,0,,0,rf,smote,cv10,Accuracy,100,long_description,365,17081,8729,8352,144
872,1,68,1,Fold01,0.9267515923566879,0.5,0.9276595744680851,0.7138297872340426,mtry,25,,0,,0,rf,unbalanced,cv10,Accuracy,100,long_description,365,9425,8729,696,144
851,22,0,835,Fold03,0.9871194379391101,0.9743290548424738,1,0.9871645274212368,sigma,0.03125,C,32,,0,svm,smote,cv10,Accuracy,100,long_description,365,17081,8729,8352,144
873,0,69,1,Fold08,0.926829268292683,1,0.9267515923566879,0.963375796178344,sigma,1,C,1,,0,svm,unbalanced,cv10,Accuracy,100,long_description,365,9425,8729,696,144
612,153,98,623,Fold05,0.8310901749663526,0.8028350515463918,0.8619718309859155,0.8324034412661536,k,5,,0,,0,knn,smote,cv10,Accuracy,100,short_description,365,14863,7651,7212,144
765,0,59,1,Fold04,0.9284848484848485,1,0.9283980582524272,0.9641990291262136,k,11,,0,,0,knn,unbalanced,cv10,Accuracy,100,short_description,365,8252,7651,601,144
13,752,0,721,Fold04,0.4939434724091521,0.4894772572980312,1,0.7447386286490156,fL,0,usekernel,1,adjust,1,nb,smote,cv10,Accuracy,100,short_description,365,14863,7651,7212,144
403,362,24,36,Fold02,0.5321212121212121,0.09045226130653267,0.9437939110070258,0.5171230861567793,fL,0,usekernel,0,adjust,0,nb,unbalanced,cv10,Accuracy,100,short_description,365,8252,7651,601,144
604,161,56,665,Fold04,0.8539703903095559,0.8050847457627118,0.9151515151515152,0.8601181304571135,size,30,decay,0.5,,0,nn,smote,cv10,Accuracy,100,short_description,365,14863,7651,7212,144
765,0,59,1,Fold09,0.9284848484848485,1,0.9283980582524272,0.9641990291262136,size,20,decay,0.5,,0,nn,unbalanced,cv10,Accuracy,100,short_description,365,8252,7651,601,144
702,63,50,672,Fold06,0.9240080699394755,0.9142857142857143,0.9335106382978723,0.9238981762917933,mtry,75,,0,,0,rf,smote,cv10,Accuracy,100,short_description,365,14863,7651,7212,144
764,1,59,1,Fold08,0.9272727272727272,0.5,0.928311057108141,0.7141555285540705,mtry,25,,0,,0,rf,unbalanced,cv10,Accuracy,100,short_description,365,8252,7651,601,144
652,113,34,687,Fold05,0.9010767160161507,0.85875,0.9504373177842566,0.9045936588921283,sigma,0.03125,C,32,,0,svm,smote,cv10,Accuracy,100,short_description,365,14863,7651,7212,144
766,0,59,1,Fold01,0.9285714285714286,1,0.9284848484848485,0.9642424242424242,sigma,9.765625e-4,C,32,,0,svm,unbalanced,cv10,Accuracy,100,short_description,365,8252,7651,601,144
359,293,1,624,Fold10,0.7697729052466719,0.6804798255179935,0.9972222222222222,0.8388510238701079,k,5,,0,,0,knn,smote,cv10,Accuracy,100,long_description,365,12782,6524,6258,144
652,0,102,2,Fold04,0.8650793650793651,1,0.8647214854111406,0.9323607427055702,k,11,,0,,0,knn,unbalanced,cv10,Accuracy,100,long_description,365,7567,6524,1043,144
