tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,classifier,balancing,resampling,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
766,0,60,0,Fold01,0.927360774818402,0,0.927360774818402,0.463680387409201,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
765,0,60,0,Fold02,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
763,2,60,0,Fold03,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
765,0,59,1,Fold04,0.9284848484848485,1,0.9283980582524272,0.9641990291262136,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
763,2,60,0,Fold05,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
763,2,61,0,Fold06,0.923728813559322,0,0.9259708737864077,0.46298543689320387,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
764,1,60,0,Fold07,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
765,0,60,0,Fold08,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
763,2,60,0,Fold09,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
763,2,60,0,Fold10,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,144,1
763,2,60,0,Fold01,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
765,0,60,0,Fold02,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
765,1,60,0,Fold03,0.9261501210653753,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
761,4,60,0,Fold04,0.9224242424242424,0,0.9269183922046285,0.46345919610231423,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
765,0,61,0,Fold05,0.9261501210653753,0,0.9261501210653753,0.46307506053268765,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
764,1,60,0,Fold06,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
765,0,60,0,Fold07,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
764,1,60,0,Fold08,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
762,3,60,0,Fold09,0.9236363636363636,0,0.927007299270073,0.4635036496350365,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
765,0,59,1,Fold10,0.9284848484848485,1,0.9283980582524272,0.9641990291262136,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,283,1
764,1,60,0,Fold01,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
765,1,59,1,Fold02,0.927360774818402,0.5,0.9283980582524272,0.7141990291262136,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
762,3,60,0,Fold03,0.9236363636363636,0,0.927007299270073,0.4635036496350365,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
763,2,60,0,Fold04,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
765,0,59,1,Fold05,0.9284848484848485,1,0.9283980582524272,0.9641990291262136,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
760,5,59,1,Fold06,0.9224242424242424,0.16666666666666666,0.927960927960928,0.5473137973137974,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
763,2,60,0,Fold07,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
762,3,60,1,Fold08,0.923728813559322,0.25,0.927007299270073,0.5885036496350364,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
765,0,60,0,Fold09,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
765,0,60,0,Fold10,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,1087,1
765,0,60,0,Fold01,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
763,2,60,0,Fold02,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,0,Fold03,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
762,3,59,1,Fold04,0.9248484848484848,0.25,0.928136419001218,0.589068209500609,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
764,1,60,0,Fold05,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,0,Fold06,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
764,1,60,0,Fold07,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,0,Fold08,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,1,Fold09,0.927360774818402,1,0.9272727272727272,0.9636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
763,3,60,0,Fold10,0.923728813559322,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
