tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
61,0,4,0,Fold01,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
61,0,5,0,Fold02,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
60,0,5,0,Fold03,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
61,0,5,0,Fold05,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
60,0,5,0,Fold06,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
61,0,4,0,Fold07,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
60,0,4,0,Fold08,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
61,0,4,0,Fold09,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
60,0,4,0,Fold10,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,175,1
61,0,5,0,Fold01,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
61,0,4,0,Fold02,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
61,0,4,0,Fold03,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
60,0,5,0,Fold05,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
60,0,4,0,Fold06,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
60,0,5,0,Fold07,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
61,0,5,0,Fold08,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
61,0,4,0,Fold09,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
60,0,4,0,Fold10,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,283,1
61,0,4,0,Fold01,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
61,0,4,0,Fold02,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
61,0,5,0,Fold03,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
60,0,4,0,Fold05,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
61,0,4,0,Fold06,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
60,0,5,0,Fold07,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
61,0,5,0,Fold08,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
60,0,4,0,Fold09,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
60,0,5,0,Fold10,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,1087,1
60,0,4,0,Fold01,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
60,0,4,0,Fold02,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
60,0,5,0,Fold03,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
60,0,5,0,Fold05,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
61,0,4,0,Fold06,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
61,0,5,0,Fold07,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
61,0,5,0,Fold08,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
61,0,4,0,Fold09,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
61,0,4,0,Fold10,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,2293,1
60,0,5,0,Fold01,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
60,0,4,0,Fold02,0.9375,0,0.9375,0.46875,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,4,0,Fold03,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
60,0,5,0,Fold05,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,4,0,Fold06,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
60,0,5,0,Fold07,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,4,0,Fold08,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,5,0,Fold09,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,4,0,Fold10,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,knn,unbalanced,cv10,Accuracy,100,short_description,k,33,NA,0,NA,0,3581,1
61,0,4,0,Fold01,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
61,0,5,0,Fold02,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
60,0,5,0,Fold03,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
61,0,5,0,Fold05,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
60,0,5,0,Fold06,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
61,0,4,0,Fold07,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
60,0,4,0,Fold08,0.9375,0,0.9375,0.46875,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
61,0,4,0,Fold09,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
60,0,4,0,Fold10,0.9375,0,0.9375,0.46875,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,175,2
61,0,5,0,Fold01,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
61,0,4,0,Fold02,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
61,0,4,0,Fold03,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
60,0,5,0,Fold05,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
60,0,4,0,Fold06,0.9375,0,0.9375,0.46875,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
60,0,5,0,Fold07,0.9230769230769231,0,0.9230769230769231,0.46153846153846156,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
61,0,5,0,Fold08,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
61,0,4,0,Fold09,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
60,0,4,0,Fold10,0.9375,0,0.9375,0.46875,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,283,2
61,0,4,0,Fold01,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,1087,2
61,0,4,0,Fold02,0.9384615384615385,0,0.9384615384615385,0.46923076923076923,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,1087,2
61,0,5,0,Fold03,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,1087,2
61,0,5,0,Fold04,0.9242424242424242,0,0.9242424242424242,0.4621212121212121,eclipse,svm,unbalanced,cv10,Accuracy,100,short_description,sigma,32,C,0.03125,NA,0,1087,2
