tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
65,25,15,69,Fold01,0.7701149425287356,0.7340425531914894,0.8125,0.7732712765957447,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
60,30,14,70,Fold02,0.7471264367816092,0.7,0.8108108108108109,0.7554054054054054,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
64,26,14,70,Fold03,0.7701149425287356,0.7291666666666666,0.8205128205128205,0.7748397435897436,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
57,33,8,76,Fold04,0.764367816091954,0.6972477064220184,0.8769230769230769,0.7870853916725477,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
66,24,13,71,Fold05,0.7873563218390804,0.7473684210526316,0.8354430379746836,0.7914057295136576,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
63,27,9,75,Fold06,0.7931034482758621,0.7352941176470589,0.875,0.8051470588235294,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
56,34,10,74,Fold07,0.7471264367816092,0.6851851851851852,0.8484848484848485,0.7668350168350169,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
68,22,13,71,Fold08,0.7988505747126436,0.7634408602150538,0.8395061728395061,0.8014735165272799,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
59,31,13,71,Fold09,0.7471264367816092,0.696078431372549,0.8194444444444444,0.7577614379084967,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
65,25,12,72,Fold10,0.7873563218390804,0.7422680412371134,0.8441558441558441,0.7932119426964788,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,144,1
55,35,8,76,Fold01,0.7528735632183908,0.6846846846846847,0.873015873015873,0.7788502788502789,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
71,19,12,72,Fold02,0.8218390804597702,0.7912087912087912,0.8554216867469879,0.8233152389778895,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
64,26,18,66,Fold03,0.7471264367816092,0.717391304347826,0.7804878048780488,0.7489395546129374,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
62,28,5,79,Fold04,0.8103448275862069,0.7383177570093458,0.9253731343283582,0.831845445668852,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
57,33,16,68,Fold05,0.7183908045977011,0.6732673267326733,0.7808219178082192,0.7270446222704463,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
61,29,12,72,Fold06,0.764367816091954,0.7128712871287128,0.8356164383561644,0.7742438627424386,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
61,29,7,77,Fold07,0.7931034482758621,0.7264150943396226,0.8970588235294118,0.8117369589345171,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
57,33,8,76,Fold08,0.764367816091954,0.6972477064220184,0.8769230769230769,0.7870853916725477,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
62,28,11,73,Fold09,0.7758620689655172,0.7227722772277227,0.8493150684931506,0.7860436728604367,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
60,30,12,72,Fold10,0.7586206896551724,0.7058823529411765,0.8333333333333334,0.7696078431372549,eclipse,nn,smote,cv10,Accuracy,100,long_description,size,30,decay,0.5,283,1
89,1,1,83,Fold01,0.9885057471264368,0.9880952380952381,0.9888888888888889,0.9884920634920635,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
89,1,0,84,Fold02,0.9942528735632183,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
90,0,1,83,Fold03,0.9942528735632183,1,0.989010989010989,0.9945054945054945,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
89,1,0,84,Fold04,0.9942528735632183,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
87,3,0,84,Fold05,0.9827586206896551,0.9655172413793104,1,0.9827586206896552,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
90,0,0,84,Fold06,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
90,0,0,84,Fold07,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
89,1,0,84,Fold08,0.9942528735632183,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
88,2,0,84,Fold09,0.9885057471264368,0.9767441860465116,1,0.9883720930232558,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
90,0,0,84,Fold10,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,2
89,1,0,84,Fold01,0.9942528735632183,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold02,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
88,2,0,84,Fold03,0.9885057471264368,0.9767441860465116,1,0.9883720930232558,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold04,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold05,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold06,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold07,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
88,2,0,84,Fold08,0.9885057471264368,0.9767441860465116,1,0.9883720930232558,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold09,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
90,0,0,84,Fold10,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,2
71,20,9,75,Fold01,0.8342857142857143,0.7894736842105263,0.8875,0.8384868421052631,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
69,21,9,75,Fold02,0.8275862068965517,0.78125,0.8846153846153846,0.8329326923076923,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
67,24,9,75,Fold03,0.8114285714285714,0.7575757575757576,0.881578947368421,0.8195773524720893,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
72,18,5,79,Fold04,0.867816091954023,0.8144329896907216,0.935064935064935,0.8747489623778284,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
69,21,3,81,Fold05,0.8620689655172413,0.7941176470588235,0.9583333333333334,0.8762254901960784,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
69,22,8,76,Fold06,0.8285714285714286,0.7755102040816326,0.8961038961038961,0.8358070500927643,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
72,18,3,81,Fold07,0.8793103448275862,0.8181818181818182,0.96,0.8890909090909092,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
69,21,3,81,Fold08,0.8620689655172413,0.7941176470588235,0.9583333333333334,0.8762254901960784,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
67,24,4,80,Fold09,0.84,0.7692307692307693,0.9436619718309859,0.8564463705308776,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
72,18,8,76,Fold10,0.8505747126436781,0.8085106382978723,0.9,0.8542553191489362,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,144,3
72,18,12,72,Fold01,0.8275862068965517,0.8,0.8571428571428571,0.8285714285714285,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,283,3
73,17,16,68,Fold02,0.8103448275862069,0.8,0.8202247191011236,0.8101123595505618,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,283,3
64,27,4,80,Fold03,0.8228571428571428,0.7476635514018691,0.9411764705882353,0.8444200109950522,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,283,3
68,23,6,78,Fold04,0.8342857142857143,0.7722772277227723,0.918918918918919,0.8455980733208457,eclipse,nn,smote,cv10,Accuracy,150,long_description,size,30,decay,0.5,283,3
