tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
850,23,1,834,Fold01,0.9859484777517564,0.9731621936989499,0.9988249118683902,0.9859935527836701,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
845,28,2,833,Fold02,0.9824355971896955,0.967479674796748,0.9976387249114522,0.9825591998541001,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
850,23,2,833,Fold03,0.9853629976580797,0.9731308411214953,0.9976525821596244,0.9853917116405598,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
844,29,3,832,Fold04,0.9812646370023419,0.9663182346109176,0.9964580873671782,0.9813881609890479,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
845,28,0,835,Fold05,0.9836065573770492,0.9675550405561993,1,0.9837775202780996,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
841,32,4,832,Fold06,0.9789350497366881,0.9629629629629629,0.9952662721893492,0.979114617576156,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
850,22,1,834,Fold07,0.9865260691271236,0.9742990654205608,0.9988249118683902,0.9865619886444754,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
837,36,0,835,Fold08,0.9789227166276346,0.9586681974741676,1,0.9793340987370838,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
840,33,3,833,Fold09,0.9789350497366881,0.9618937644341802,0.99644128113879,0.9791675227864851,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
849,24,0,835,Fold10,0.9859484777517564,0.9720605355064028,1,0.9860302677532014,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
829,44,1,835,Fold01,0.9736688121708601,0.949943117178612,0.9987951807228915,0.9743691489507518,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
852,21,0,835,Fold02,0.9877049180327869,0.9754672897196262,1,0.9877336448598131,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
842,31,1,834,Fold03,0.9812646370023419,0.9641618497109826,0.9988137603795967,0.9814878050452897,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
851,22,3,832,Fold04,0.9853629976580797,0.9742388758782201,0.9964871194379391,0.9853629976580796,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
838,35,3,832,Fold05,0.977751756440281,0.9596309111880046,0.9964328180737217,0.9780318646308632,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
848,24,1,834,Fold06,0.9853544229642648,0.972027972027972,0.9988221436984688,0.9854250578632204,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
850,23,2,833,Fold07,0.9853629976580797,0.9731308411214953,0.9976525821596244,0.9853917116405598,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
847,26,1,834,Fold08,0.984192037470726,0.9697674418604652,0.9988207547169812,0.9842940982887232,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
856,17,3,832,Fold09,0.9882903981264637,0.9799764428739693,0.9965075669383003,0.9882420049061349,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
843,30,2,834,Fold10,0.981275599765945,0.9652777777777778,0.9976331360946745,0.9814554569362262,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,283,1
850,23,1,835,Fold01,0.9859566998244588,0.9731934731934732,0.9988249118683902,0.9860091925309317,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
838,35,3,832,Fold02,0.977751756440281,0.9596309111880046,0.9964328180737217,0.9780318646308632,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
839,34,2,833,Fold03,0.9789227166276346,0.9607843137254902,0.9976218787158145,0.9792030962206524,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
847,26,1,835,Fold04,0.9842012873025161,0.9698025551684089,0.9988207547169812,0.984311654942695,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
841,32,4,831,Fold05,0.9789227166276346,0.9629200463499421,0.9952662721893492,0.9790931592696457,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
855,18,1,834,Fold06,0.9888758782201406,0.9788732394366197,0.9988317757009346,0.9888525075687772,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
850,23,1,834,Fold07,0.9859484777517564,0.9731621936989499,0.9988249118683902,0.9859935527836701,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
847,26,3,832,Fold08,0.9830210772833724,0.9696969696969697,0.9964705882352941,0.983083778966132,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
857,16,1,834,Fold09,0.9900468384074942,0.9811764705882353,0.9988344988344988,0.9900054847113671,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
845,27,3,832,Fold10,0.9824253075571178,0.9685681024447031,0.9964622641509434,0.9825151832978233,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,1087,1
846,26,0,835,Fold01,0.9847685998828354,0.9698025551684089,1,0.9849012775842044,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
840,33,1,835,Fold02,0.9801053247513165,0.9619815668202765,0.9988109393579072,0.9803962530890918,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
844,29,2,833,Fold03,0.9818501170960188,0.9663573085846868,0.9976359338061466,0.9819966211954168,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
858,15,5,830,Fold04,0.9882903981264637,0.9822485207100592,0.9942062572421785,0.9882273889761188,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
841,32,2,833,Fold05,0.9800936768149883,0.9630057803468208,0.9976275207591934,0.9803166505530071,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
846,27,2,833,Fold06,0.9830210772833724,0.9686046511627907,0.9976415094339622,0.9831230802983765,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
846,27,0,835,Fold07,0.984192037470726,0.968677494199536,1,0.984338747099768,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
844,29,1,835,Fold08,0.9824458747805734,0.9664351851851852,0.9988165680473373,0.9826258766162612,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
846,27,2,833,Fold09,0.9830210772833724,0.9686046511627907,0.9976415094339622,0.9831230802983765,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
853,20,1,834,Fold10,0.9877049180327869,0.9765807962529274,0.9988290398126464,0.9877049180327868,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,2293,1
851,22,2,833,Fold01,0.9859484777517564,0.9742690058479532,0.9976553341148886,0.9859621699814209,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,3581,1
842,31,0,836,Fold02,0.9818607372732592,0.9642445213379469,1,0.9821222606689735,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,3581,1
849,24,3,833,Fold03,0.9842012873025161,0.9719953325554259,0.9964788732394366,0.9842371028974313,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,3581,1
849,24,2,833,Fold04,0.9847775175644028,0.9719953325554259,0.9976498237367802,0.9848225781461031,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,3581,1
850,22,2,833,Fold05,0.9859402460456942,0.9742690058479532,0.9976525821596244,0.9859607940037888,eclipse,svm,smote,cv10,Accuracy,100,long_description,sigma,0.03125,C,32,3581,1
