tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
295,183,266,204,Fold01,0.5263713080168776,0.5271317829457365,0.5258467023172906,0.5264892426315135,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
299,178,256,214,Fold02,0.5417106652587117,0.5459183673469388,0.5387387387387388,0.5423285530428388,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
308,170,289,180,Fold03,0.515311510031679,0.5142857142857142,0.5159128978224455,0.5150993060540798,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
298,179,262,208,Fold04,0.5343189017951425,0.537467700258398,0.5321428571428571,0.5348052787006276,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
320,157,262,208,Fold05,0.5575501583949314,0.5698630136986301,0.5498281786941581,0.5598455961963942,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
317,161,254,216,Fold06,0.5622362869198312,0.5729442970822282,0.5551663747810858,0.5640553359316569,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
307,170,268,202,Fold07,0.5374868004223865,0.543010752688172,0.5339130434782609,0.5384618980832164,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
291,186,255,214,Fold08,0.5338266384778013,0.535,0.532967032967033,0.5339835164835165,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
304,174,275,194,Fold09,0.5258711721224921,0.5271739130434783,0.5250431778929189,0.5261085454681986,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
323,154,254,215,Fold10,0.5687103594080338,0.5826558265582655,0.5597920277296361,0.5712239271439508,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,144,1
298,179,268,202,Fold01,0.5279831045406547,0.5301837270341208,0.5265017667844523,0.5283427469092865,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
307,170,279,191,Fold02,0.5258711721224921,0.5290858725761773,0.5238907849829352,0.5264883287795563,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
306,172,270,200,Fold03,0.5337552742616034,0.5376344086021505,0.53125,0.5344422043010753,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
321,157,258,211,Fold04,0.5617740232312566,0.5733695652173914,0.5544041450777202,0.5638868551475558,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
299,178,226,244,Fold05,0.573389651531151,0.5781990521327014,0.5695238095238095,0.5738614308282555,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
298,179,266,204,Fold06,0.5300950369588173,0.5326370757180157,0.5283687943262412,0.5305029350221284,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
306,171,268,201,Fold07,0.5359408033826638,0.5403225806451613,0.5331010452961672,0.5367118129706643,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
305,173,267,202,Fold08,0.5353748680042238,0.5386666666666666,0.5332167832167832,0.5359417249417249,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
304,174,279,191,Fold09,0.5221518987341772,0.5232876712328767,0.5214408233276158,0.5223642472802462,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
300,177,259,210,Fold10,0.5391120507399577,0.5426356589147286,0.5366726296958855,0.5396541443053071,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,283,1
312,166,265,205,Fold01,0.5453586497890295,0.5525606469002695,0.5407279029462738,0.5466442749232716,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
292,186,269,201,Fold02,0.520042194092827,0.5193798449612403,0.5204991087344029,0.5199394768478216,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
309,168,257,212,Fold03,0.5507399577167019,0.5578947368421052,0.5459363957597173,0.5519155663009112,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
308,169,259,210,Fold04,0.547568710359408,0.554089709762533,0.5432098765432098,0.5486497931528714,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
309,168,265,205,Fold05,0.542766631467793,0.5495978552278821,0.5383275261324042,0.5439626906801431,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
325,153,264,206,Fold06,0.560126582278481,0.5738161559888579,0.5517826825127334,0.5627994192507957,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
317,160,273,197,Fold07,0.542766631467793,0.5518207282913166,0.5372881355932203,0.5445544319422684,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
300,178,293,177,Fold08,0.5031645569620253,0.49859154929577465,0.5059021922428331,0.5022468707693039,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
282,195,260,209,Fold09,0.5190274841437632,0.5173267326732673,0.5202952029520295,0.5188109678126485,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
291,186,257,212,Fold10,0.5317124735729387,0.5326633165829145,0.531021897810219,0.5318426071965667,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
296,181,274,196,Fold01,0.5195353748680043,0.519893899204244,0.519298245614035,0.5195960724091395,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
292,185,264,206,Fold02,0.5258711721224921,0.5268542199488491,0.5251798561151079,0.5260170380319784,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
321,156,259,211,Fold03,0.5617740232312566,0.5749318801089919,0.553448275862069,0.5641900779855304,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
316,161,247,223,Fold04,0.5691657866948258,0.5807291666666666,0.5612788632326821,0.5710040149496743,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
302,175,249,221,Fold05,0.5522703273495249,0.5580808080808081,0.5480943738656987,0.5530875909732533,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
