tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed
981,765,1,1669,Fold1.Rep01,"0,77576112412178","0,685702547247329","0,9989816700611","0,842342108654215",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
988,758,1,1669,Fold2.Rep01,"0,777810304449649","0,687680263700041","0,998988877654196","0,843334570677119",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1027,719,0,1671,Fold3.Rep01,"0,789581504243488","0,699163179916318",1,"0,849581589958159",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
980,766,0,1670,Fold4.Rep01,"0,77576112412178","0,685550082101806",1,"0,842775041050903",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
955,790,0,1671,Fold5.Rep01,"0,768735362997658","0,678992279561154",1,"0,839496139780577",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1016,730,2,1668,Fold1.Rep02,"0,785714285714286","0,69557964970809","0,99803536345776","0,846807506582925",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
984,762,3,1667,Fold2.Rep02,"0,776053864168618","0,686290654590366","0,996960486322188","0,841625570456277",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
983,763,4,1666,Fold3.Rep02,"0,775468384074941","0,685878962536023","0,995947315096251","0,840913138816137",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
958,788,0,1671,Fold4.Rep02,"0,769388352355868","0,679544530296869",1,"0,839772265148434",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
987,758,3,1668,Fold5.Rep02,"0,777224824355972","0,68755152514427","0,996969696969697","0,842260611056984",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1000,745,2,1668,Fold1.Rep03,"0,781259150805271","0,69125569830087","0,998003992015968","0,844629845158419",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1019,727,2,1668,Fold2.Rep03,"0,786592505854801","0,696450939457202","0,998041136141038","0,84724603779912",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
947,799,0,1671,Fold3.Rep03,"0,766169154228856","0,676518218623482",1,"0,838259109311741",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
944,802,1,1670,Fold4.Rep03,"0,764998536728124","0,675566343042071","0,998941798941799","0,837254070991935",eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
