tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
40,55,39,61,Fold1.Rep01,0.517948717948718,0.61,0.42105263157894735,0.5155263157894736,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,43,57,Fold2.Rep01,0.4717948717948718,0.57,0.3684210526315789,0.4692105263157894,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
33,62,32,68,Fold3.Rep01,0.517948717948718,0.68,0.3473684210526316,0.5136842105263159,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
34,61,35,65,Fold4.Rep01,0.5076923076923077,0.65,0.35789473684210527,0.5039473684210527,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
26,69,25,74,Fold5.Rep01,0.5154639175257731,0.7474747474747475,0.2736842105263158,0.5105794790005317,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
22,73,38,61,Fold1.Rep02,0.42783505154639173,0.6161616161616161,0.23157894736842105,0.4238702817650186,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
41,54,34,66,Fold2.Rep02,0.5487179487179488,0.66,0.43157894736842106,0.5457894736842106,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
43,52,36,64,Fold3.Rep02,0.5487179487179488,0.64,0.45263157894736844,0.5463157894736842,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
30,65,29,71,Fold4.Rep02,0.517948717948718,0.71,0.3157894736842105,0.5128947368421053,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,31,69,Fold5.Rep02,0.5333333333333333,0.69,0.3684210526315789,0.5292105263157895,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
38,57,31,69,Fold1.Rep03,0.5487179487179488,0.69,0.4,0.5449999999999999,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
25,70,34,66,Fold2.Rep03,0.4666666666666667,0.66,0.2631578947368421,0.4615789473684211,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
28,67,43,57,Fold3.Rep03,0.4358974358974359,0.57,0.29473684210526313,0.4323684210526315,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
38,57,30,70,Fold4.Rep03,0.5538461538461539,0.7,0.4,0.55,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
33,62,31,68,Fold5.Rep03,0.520618556701031,0.6868686868686869,0.3473684210526316,0.5171185539606592,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,34,65,Fold1.Rep04,0.5154639175257731,0.6565656565656566,0.3684210526315789,0.5124933545986178,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
23,72,33,67,Fold2.Rep04,0.46153846153846156,0.67,0.24210526315789474,0.4560526315789474,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
31,64,42,58,Fold3.Rep04,0.4564102564102564,0.58,0.3263157894736842,0.4531578947368421,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
33,62,36,64,Fold4.Rep04,0.49743589743589745,0.64,0.3473684210526316,0.49368421052631584,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
30,65,37,63,Fold5.Rep04,0.47692307692307695,0.63,0.3157894736842105,0.47289473684210526,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
32,63,39,61,Fold1.Rep05,0.47692307692307695,0.61,0.3368421052631579,0.47342105263157896,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
31,64,25,75,Fold2.Rep05,0.5435897435897435,0.75,0.3263157894736842,0.5381578947368422,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
31,64,38,62,Fold3.Rep05,0.47692307692307695,0.62,0.3263157894736842,0.4731578947368421,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
28,67,31,68,Fold4.Rep05,0.4948453608247423,0.6868686868686869,0.29473684210526313,0.490802764486975,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
37,58,45,55,Fold5.Rep05,0.4717948717948718,0.55,0.3894736842105263,0.4697368421052632,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
33,62,31,69,Fold1.Rep06,0.5230769230769231,0.69,0.3473684210526316,0.5186842105263157,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
31,64,30,70,Fold2.Rep06,0.517948717948718,0.7,0.3263157894736842,0.513157894736842,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
22,73,30,70,Fold3.Rep06,0.4717948717948718,0.7,0.23157894736842105,0.46578947368421053,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,40,60,Fold4.Rep06,0.48717948717948717,0.6,0.3684210526315789,0.4842105263157894,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,37,62,Fold5.Rep06,0.5,0.6262626262626263,0.3684210526315789,0.49734183944710264,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
29,66,29,71,Fold1.Rep07,0.5128205128205128,0.71,0.30526315789473685,0.5076315789473684,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,30,70,Fold2.Rep07,0.5384615384615384,0.7,0.3684210526315789,0.5342105263157895,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
34,61,41,59,Fold3.Rep07,0.47692307692307695,0.59,0.35789473684210527,0.4739473684210526,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
25,70,31,68,Fold4.Rep07,0.4793814432989691,0.6868686868686869,0.2631578947368421,0.47501329080276444,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
39,56,40,60,Fold5.Rep07,0.5076923076923077,0.6,0.4105263157894737,0.5052631578947369,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
23,72,28,72,Fold1.Rep08,0.48717948717948717,0.72,0.24210526315789474,0.48105263157894734,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
37,58,31,68,Fold2.Rep08,0.5412371134020618,0.6868686868686869,0.3894736842105263,0.5381711855396065,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
35,60,33,67,Fold3.Rep08,0.5230769230769231,0.67,0.3684210526315789,0.5192105263157895,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
32,63,38,62,Fold4.Rep08,0.48205128205128206,0.62,0.3368421052631579,0.47842105263157897,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
32,63,27,73,Fold5.Rep08,0.5384615384615384,0.73,0.3368421052631579,0.5334210526315789,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
24,71,42,58,Fold1.Rep09,0.4205128205128205,0.58,0.25263157894736843,0.4163157894736842,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
37,58,26,74,Fold2.Rep09,0.5692307692307692,0.74,0.3894736842105263,0.5647368421052632,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
38,57,30,70,Fold3.Rep09,0.5538461538461539,0.7,0.4,0.55,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
40,55,33,66,Fold4.Rep09,0.5463917525773195,0.6666666666666666,0.42105263157894735,0.5438596491228069,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
34,61,32,68,Fold5.Rep09,0.5230769230769231,0.68,0.35789473684210527,0.5189473684210526,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
34,61,33,67,Fold1.Rep10,0.517948717948718,0.67,0.35789473684210527,0.5139473684210527,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
34,61,32,67,Fold2.Rep10,0.520618556701031,0.6767676767676768,0.35789473684210527,0.517331206804891,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
26,69,34,66,Fold3.Rep10,0.4717948717948718,0.66,0.2736842105263158,0.46684210526315795,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
31,64,32,68,Fold4.Rep10,0.5076923076923077,0.68,0.3263157894736842,0.5031578947368421,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
39,56,35,65,Fold5.Rep10,0.5333333333333333,0.65,0.4105263157894737,0.5302631578947369,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,144,1
36,59,33,67,Fold1.Rep01,0.5282051282051282,0.67,0.37894736842105264,0.5244736842105263,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
34,61,36,64,Fold2.Rep01,0.5025641025641026,0.64,0.35789473684210527,0.49894736842105264,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
35,60,29,71,Fold3.Rep01,0.5435897435897435,0.71,0.3684210526315789,0.5392105263157895,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
24,71,33,67,Fold4.Rep01,0.4666666666666667,0.67,0.25263157894736843,0.46131578947368423,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
33,62,31,68,Fold5.Rep01,0.520618556701031,0.6868686868686869,0.3473684210526316,0.5171185539606592,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
38,57,27,72,Fold1.Rep02,0.5670103092783505,0.7272727272727273,0.4,0.5636363636363637,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
29,66,27,73,Fold2.Rep02,0.5230769230769231,0.73,0.30526315789473685,0.5176315789473684,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
29,66,39,61,Fold3.Rep02,0.46153846153846156,0.61,0.30526315789473685,0.4576315789473684,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
26,69,29,71,Fold4.Rep02,0.49743589743589745,0.71,0.2736842105263158,0.49184210526315786,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
35,60,39,61,Fold5.Rep02,0.49230769230769234,0.61,0.3684210526315789,0.48921052631578943,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
33,62,40,59,Fold1.Rep03,0.4742268041237113,0.5959595959595959,0.3473684210526316,0.4716640085061138,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
27,68,36,64,Fold2.Rep03,0.4666666666666667,0.64,0.28421052631578947,0.46210526315789474,eclipse,knn,smote,repeatedcv5x10,Accuracy,150,long_description,8,k,5,,0,283,1
