bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCELEO-255379,14,N,N,eclipse,nn
ACCELEO-332657,1,N,N,eclipse,nn
ACCELEO-340094,7,N,Y,eclipse,nn
ACCELEO-510922,149,N,N,eclipse,nn
ACTF-218022,62,N,Y,eclipse,nn
ACTF-240727,3,N,N,eclipse,nn
ACTF-260379,77,N,Y,eclipse,nn
AJDT-149675,20,N,N,eclipse,nn
AJDT-163326,602,Y,N,eclipse,nn
AJDT-196108,611,Y,Y,eclipse,nn
AJDT-250375,14,N,N,eclipse,nn
AJDT-253528,41,N,N,eclipse,nn
AJDT-279974,29,N,N,eclipse,nn
AJDT-384434,60,N,N,eclipse,nn
AJDT-42957,11,N,N,eclipse,nn
AJDT-49296,120,N,N,eclipse,nn
AJDT-74174,333,N,Y,eclipse,nn
AJDT-78052,8,N,N,eclipse,nn
AJDT-88602,10,N,N,eclipse,nn
AMALGAM-269577,1530,Y,N,eclipse,nn
AMP-307310,2,N,Y,eclipse,nn
ASPECTJ-108370,1,N,Y,eclipse,nn
ASPECTJ-120351,0,N,N,eclipse,nn
ASPECTJ-120521,0,N,Y,eclipse,nn
ASPECTJ-152257,3,N,Y,eclipse,nn
ASPECTJ-164633,6,N,Y,eclipse,nn
ASPECTJ-169428,308,N,N,eclipse,nn
ASPECTJ-196658,240,N,N,eclipse,nn
ASPECTJ-213073,59,N,N,eclipse,nn
ASPECTJ-275625,24,N,Y,eclipse,nn
ASPECTJ-325731,799,Y,Y,eclipse,nn
ASPECTJ-342323,3,N,N,eclipse,nn
ASPECTJ-36056,18,N,N,eclipse,nn
ASPECTJ-50570,2,N,N,eclipse,nn
ASPECTJ-77163,9,N,N,eclipse,nn
ASPECTJ-99089,6,N,Y,eclipse,nn
ATF-143302,1,N,Y,eclipse,nn
ATF-284247,0,N,N,eclipse,nn
BABEL-220504,0,N,Y,eclipse,nn
BABEL-259461,949,Y,N,eclipse,nn
BABEL-394921,5,N,N,eclipse,nn
BABEL-411126,0,N,N,eclipse,nn
BABEL-421896,201,N,N,eclipse,nn
BABEL-425633,3,N,N,eclipse,nn
BABEL-433035,4,N,N,eclipse,nn
BIRT-104178,0,N,N,eclipse,nn
BIRT-105311,15,N,N,eclipse,nn
BIRT-108231,0,N,N,eclipse,nn
BIRT-113730,6,N,N,eclipse,nn
BIRT-115424,1,N,N,eclipse,nn
BIRT-115456,2,N,Y,eclipse,nn
BIRT-115946,4,N,Y,eclipse,nn
BIRT-115954,1,N,Y,eclipse,nn
BIRT-117650,0,N,N,eclipse,nn
BIRT-118391,7,N,N,eclipse,nn
BIRT-120993,2,N,N,eclipse,nn
BIRT-121017,5,N,N,eclipse,nn
BIRT-122414,4,N,N,eclipse,nn
BIRT-123561,0,N,Y,eclipse,nn
BIRT-123731,3,N,N,eclipse,nn
BIRT-124698,18,N,N,eclipse,nn
BIRT-125971,114,N,N,eclipse,nn
BIRT-130861,7,N,N,eclipse,nn
BIRT-131308,38,N,N,eclipse,nn
BIRT-132079,1,N,Y,eclipse,nn
BIRT-132633,4,N,Y,eclipse,nn
BIRT-133451,3,N,N,eclipse,nn
BIRT-133452,8,N,N,eclipse,nn
BIRT-134219,6,N,N,eclipse,nn
BIRT-134699,17,N,N,eclipse,nn
BIRT-134944,1,N,N,eclipse,nn
BIRT-135467,0,N,N,eclipse,nn
BIRT-135786,18,N,N,eclipse,nn
BIRT-135848,1,N,N,eclipse,nn
BIRT-136279,1,N,N,eclipse,nn
BIRT-136956,42,N,N,eclipse,nn
BIRT-139347,0,N,N,eclipse,nn
BIRT-141919,0,N,N,eclipse,nn
BIRT-142144,1,N,N,eclipse,nn
BIRT-142992,2,N,N,eclipse,nn
BIRT-143901,10,N,N,eclipse,nn
BIRT-144384,1,N,N,eclipse,nn
BIRT-145566,1,N,N,eclipse,nn
BIRT-147385,33,N,N,eclipse,nn
BIRT-147995,1,N,N,eclipse,nn
BIRT-148167,0,N,N,eclipse,nn
BIRT-150200,50,N,Y,eclipse,nn
BIRT-151198,96,N,N,eclipse,nn
BIRT-151381,3,N,Y,eclipse,nn
BIRT-151385,5,N,N,eclipse,nn
BIRT-151552,7,N,N,eclipse,nn
BIRT-151557,0,N,N,eclipse,nn
BIRT-152538,0,N,N,eclipse,nn
BIRT-153382,0,N,N,eclipse,nn
BIRT-161692,66,N,N,eclipse,nn
BIRT-162365,0,N,N,eclipse,nn
BIRT-164273,10,N,N,eclipse,nn
BIRT-166631,2,N,N,eclipse,nn
BIRT-168317,1,N,N,eclipse,nn
BIRT-169027,0,N,N,eclipse,nn
BIRT-169646,1359,Y,N,eclipse,nn
BIRT-171014,14,N,N,eclipse,nn
BIRT-172815,1,N,N,eclipse,nn
BIRT-172825,28,N,N,eclipse,nn
BIRT-176436,67,N,N,eclipse,nn
BIRT-177257,0,N,N,eclipse,nn
BIRT-177704,6,N,N,eclipse,nn
BIRT-177722,0,N,Y,eclipse,nn
BIRT-180025,137,N,N,eclipse,nn
BIRT-180402,1,N,N,eclipse,nn
BIRT-180893,34,N,N,eclipse,nn
BIRT-181663,1,N,N,eclipse,nn
BIRT-182668,0,N,N,eclipse,nn
BIRT-183899,3,N,N,eclipse,nn
BIRT-185441,6,N,N,eclipse,nn
BIRT-189840,0,N,N,eclipse,nn
BIRT-189860,1,N,N,eclipse,nn
BIRT-192335,7,N,N,eclipse,nn
BIRT-193094,21,N,N,eclipse,nn
BIRT-197212,34,N,N,eclipse,nn
BIRT-198231,0,N,N,eclipse,nn
BIRT-199511,1,N,N,eclipse,nn
BIRT-199515,1,N,N,eclipse,nn
BIRT-199978,1,N,N,eclipse,nn
BIRT-200126,1,N,N,eclipse,nn
BIRT-200750,1,N,N,eclipse,nn
BIRT-201036,0,N,N,eclipse,nn
BIRT-201962,353,N,Y,eclipse,nn
BIRT-205327,79,N,Y,eclipse,nn
BIRT-205619,9,N,N,eclipse,nn
BIRT-205931,56,N,N,eclipse,nn
BIRT-206413,4,N,N,eclipse,nn
BIRT-208365,5,N,N,eclipse,nn
BIRT-208727,15,N,N,eclipse,nn
BIRT-209124,6,N,Y,eclipse,nn
BIRT-212238,21,N,N,eclipse,nn
BIRT-214311,4,N,Y,eclipse,nn
BIRT-216733,3,N,Y,eclipse,nn
BIRT-219131,12,N,N,eclipse,nn
BIRT-219293,9,N,N,eclipse,nn
BIRT-219738,11,N,N,eclipse,nn
BIRT-223160,2,N,N,eclipse,nn
BIRT-223598,1,N,Y,eclipse,nn
BIRT-226647,10,N,N,eclipse,nn
BIRT-234323,29,N,N,eclipse,nn
BIRT-234586,1,N,N,eclipse,nn
BIRT-236564,20,N,N,eclipse,nn
BIRT-236813,6,N,N,eclipse,nn
BIRT-238859,3,N,N,eclipse,nn
BIRT-239597,18,N,Y,eclipse,nn
BIRT-240786,9,N,N,eclipse,nn
BIRT-242527,8,N,N,eclipse,nn
BIRT-245489,0,N,N,eclipse,nn
BIRT-255304,26,N,N,eclipse,nn
BIRT-257473,5,N,N,eclipse,nn
BIRT-260650,0,N,N,eclipse,nn
BIRT-260808,6,N,N,eclipse,nn
BIRT-260810,3,N,N,eclipse,nn
