tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed
62,27,46,16,Fold1.Rep01,0.5165562913907285,0.25806451612903225,0.6966292134831461,0.4773468648060892,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
54,34,26,36,Fold2.Rep01,0.6,0.5806451612903226,0.6136363636363636,0.5971407624633431,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
60,28,42,20,Fold3.Rep01,0.5333333333333333,0.3225806451612903,0.6818181818181818,0.5021994134897361,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
61,27,48,13,Fold4.Rep01,0.49664429530201343,0.21311475409836064,0.6931818181818182,0.45314828614008945,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
54,34,32,30,Fold5.Rep01,0.56,0.4838709677419355,0.6136363636363636,0.5487536656891496,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
58,30,36,26,Fold1.Rep02,0.56,0.41935483870967744,0.6590909090909091,0.5392228739002932,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
67,21,48,14,Fold2.Rep02,0.54,0.22580645161290322,0.7613636363636364,0.4935850439882698,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
55,33,35,26,Fold3.Rep02,0.5436241610738255,0.4262295081967213,0.625,0.5256147540983607,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
63,25,44,18,Fold4.Rep02,0.54,0.2903225806451613,0.7159090909090909,0.5031158357771262,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
77,12,49,13,Fold5.Rep02,0.5960264900662252,0.20967741935483872,0.8651685393258427,0.5374229793403407,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
49,39,31,30,Fold1.Rep03,0.5302013422818792,0.4918032786885246,0.5568181818181818,0.5243107302533532,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
57,31,40,22,Fold2.Rep03,0.5266666666666666,0.3548387096774194,0.6477272727272727,0.501282991202346,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
64,24,41,21,Fold3.Rep03,0.5666666666666667,0.3387096774193548,0.7272727272727273,0.532991202346041,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
63,25,47,15,Fold4.Rep03,0.52,0.24193548387096775,0.7159090909090909,0.47892228739002934,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
60,29,44,18,Fold5.Rep03,0.5165562913907285,0.2903225806451613,0.6741573033707865,0.48223994200797393,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
42,46,29,32,Fold1.Rep04,0.49664429530201343,0.5245901639344263,0.4772727272727273,0.5009314456035767,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
61,27,41,21,Fold2.Rep04,0.5466666666666666,0.3387096774193548,0.6931818181818182,0.5159457478005866,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
68,20,42,20,Fold3.Rep04,0.5866666666666667,0.3225806451612903,0.7727272727272727,0.5476539589442815,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
62,26,41,21,Fold4.Rep04,0.5533333333333333,0.3387096774193548,0.7045454545454546,0.5216275659824047,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
67,22,50,12,Fold5.Rep04,0.5231788079470199,0.1935483870967742,0.7528089887640449,0.4731786879304095,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
66,22,42,20,Fold1.Rep05,0.5733333333333334,0.3225806451612903,0.75,0.5362903225806451,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
60,28,41,21,Fold2.Rep05,0.54,0.3387096774193548,0.6818181818181818,0.5102639296187683,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
70,18,44,18,Fold3.Rep05,0.5866666666666667,0.2903225806451613,0.7954545454545454,0.5428885630498533,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
50,39,34,28,Fold4.Rep05,0.5165562913907285,0.45161290322580644,0.5617977528089888,0.5067053280173976,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
65,23,38,23,Fold5.Rep05,0.5906040268456376,0.3770491803278688,0.7386363636363636,0.5578427719821162,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
59,29,39,23,Fold1.Rep06,0.5466666666666666,0.3709677419354839,0.6704545454545454,0.5207111436950147,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
56,32,45,16,Fold2.Rep06,0.48322147651006714,0.26229508196721313,0.6363636363636364,0.4493293591654247,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
69,19,50,12,Fold3.Rep06,0.54,0.1935483870967742,0.7840909090909091,0.4888196480938416,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
49,39,32,30,Fold4.Rep06,0.5266666666666666,0.4838709677419355,0.5568181818181818,0.5203445747800586,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
64,25,42,20,Fold5.Rep06,0.5562913907284768,0.3225806451612903,0.7191011235955056,0.5208408843783979,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
63,25,36,26,Fold1.Rep07,0.5933333333333334,0.41935483870967744,0.7159090909090909,0.5676319648093842,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
62,27,41,20,Fold2.Rep07,0.5466666666666666,0.32786885245901637,0.6966292134831461,0.5122490329710813,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
68,20,46,16,Fold3.Rep07,0.56,0.25806451612903225,0.7727272727272727,0.5153958944281525,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
52,36,34,28,Fold4.Rep07,0.5333333333333333,0.45161290322580644,0.5909090909090909,0.5212609970674487,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
54,34,41,21,Fold5.Rep07,0.5,0.3387096774193548,0.6136363636363636,0.47617302052785926,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
54,34,36,26,Fold1.Rep08,0.5333333333333333,0.41935483870967744,0.6136363636363636,0.5164956011730205,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
68,20,49,12,Fold2.Rep08,0.5369127516778524,0.19672131147540983,0.7727272727272727,0.48472429210134127,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
64,24,31,31,Fold3.Rep08,0.6333333333333333,0.5,0.7272727272727273,0.6136363636363636,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
64,24,44,18,Fold4.Rep08,0.5466666666666666,0.2903225806451613,0.7272727272727273,0.5087976539589443,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
59,30,45,17,Fold5.Rep08,0.5033112582781457,0.27419354838709675,0.6629213483146067,0.4685574483508517,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
68,20,39,23,Fold1.Rep09,0.6066666666666667,0.3709677419354839,0.7727272727272727,0.5718475073313782,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
63,25,37,25,Fold2.Rep09,0.5866666666666667,0.4032258064516129,0.7159090909090909,0.5595674486803519,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
53,35,35,26,Fold3.Rep09,0.5302013422818792,0.4262295081967213,0.6022727272727273,0.5142511177347243,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
71,17,48,14,Fold4.Rep09,0.5666666666666667,0.22580645161290322,0.8068181818181818,0.5163123167155425,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
62,27,38,24,Fold5.Rep09,0.5695364238410596,0.3870967741935484,0.6966292134831461,0.5418629938383472,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
67,22,41,21,Fold1.Rep10,0.5827814569536424,0.3387096774193548,0.7528089887640449,0.5457593330916999,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
66,22,43,19,Fold2.Rep10,0.5666666666666667,0.3064516129032258,0.75,0.5282258064516129,winehq,knn,smote,repeatedcv5x10,Accuracy,150,long_description,365,k,5,,0,144
