bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ACCERCISER-416189,5,N,Y,gnome,knn
ACCERCISER-508778,8,N,Y,gnome,knn
ACCERCISER-520296,328,N,Y,gnome,knn
ACME-146000,46,N,N,gnome,knn
ACME-94044,30,N,N,gnome,knn
ACME-97888,0,N,Y,gnome,knn
ADWAITA-ICON-THEME-157864,0,N,Y,gnome,knn
ADWAITA-ICON-THEME-313643,316,N,Y,gnome,knn
ADWAITA-ICON-THEME-317600,126,N,N,gnome,knn
ADWAITA-ICON-THEME-347840,0,N,N,gnome,knn
ADWAITA-ICON-THEME-354279,1,N,Y,gnome,knn
ADWAITA-ICON-THEME-468035,1,N,N,gnome,knn
AISLERIOT-407329,1758,Y,N,gnome,knn
ALACARTE-359062,0,N,N,gnome,knn
ALACARTE-470103,43,N,N,gnome,knn
ANJUTA-450413,884,Y,Y,gnome,knn
ANJUTA-458034,53,N,N,gnome,knn
ANJUTA-506740,0,N,Y,gnome,knn
ANJUTA-511762,163,N,N,gnome,knn
ANJUTA-518329,2,N,Y,gnome,knn
ANJUTA-528226,42,N,N,gnome,knn
AT-POKE-146013,46,N,N,gnome,knn
AT-POKE-146023,46,N,N,gnome,knn
AT-SPI-100530,0,N,N,gnome,knn
AT-SPI-125834,34,N,N,gnome,knn
AT-SPI-135809,14,N,N,gnome,knn
AT-SPI-345701,0,N,Y,gnome,knn
AT-SPI-351460,7,N,N,gnome,knn
AT-SPI-412910,2,N,N,gnome,knn
ATK-102599,1,N,Y,gnome,knn
ATK-104797,389,Y,N,gnome,knn
ATK-121990,12,N,Y,gnome,knn
ATK-125725,6,N,Y,gnome,knn
ATK-158531,0,N,N,gnome,knn
ATK-382328,108,N,N,gnome,knn
ATK-497218,55,N,Y,gnome,knn
BAKERY-441220,3,N,N,gnome,knn
BALSA-106006,152,N,Y,gnome,knn
BALSA-150159,808,Y,N,gnome,knn
BALSA-156460,12,N,Y,gnome,knn
BALSA-636801,2,N,N,gnome,knn
BANSHEE-314859,0,N,N,gnome,knn
BANSHEE-319302,7,N,Y,gnome,knn
BANSHEE-324353,113,N,N,gnome,knn
BANSHEE-334465,38,N,N,gnome,knn
BANSHEE-336001,70,N,N,gnome,knn
BANSHEE-360733,101,N,N,gnome,knn
BANSHEE-361943,1,N,Y,gnome,knn
BANSHEE-383844,0,N,N,gnome,knn
BANSHEE-384292,422,Y,N,gnome,knn
BANSHEE-396849,37,N,Y,gnome,knn
BANSHEE-401352,208,N,Y,gnome,knn
BANSHEE-414505,1,N,Y,gnome,knn
BANSHEE-426379,193,N,Y,gnome,knn
BANSHEE-523691,2,N,N,gnome,knn
BANSHEE-526326,58,N,Y,gnome,knn
BEAGLE-167896,4,N,N,gnome,knn
BEAGLE-172968,81,N,N,gnome,knn
BEAGLE-318298,4,N,Y,gnome,knn
BEAGLE-318690,1,N,N,gnome,knn
BEAGLE-324910,87,N,N,gnome,knn
BEAGLE-334057,4,N,Y,gnome,knn
BEAGLE-335924,2,N,N,gnome,knn
BEAGLE-349934,0,N,N,gnome,knn
BEAGLE-355191,2,N,Y,gnome,knn
BEAGLE-526685,21,N,N,gnome,knn
BLUEFISH-324517,36,N,Y,gnome,knn
BLUEFISH-327432,781,Y,Y,gnome,knn
BLUEFISH-330781,3,N,Y,gnome,knn
BLUEFISH-337739,135,N,N,gnome,knn
BONOBO-126634,333,N,Y,gnome,knn
BONOBO-352191,121,N,Y,gnome,knn
BONOBO-352305,2,N,Y,gnome,knn
BONOBO-376211,2,N,N,gnome,knn
BONOBO-419535,6,N,N,gnome,knn
BONOBO-65899,1,N,Y,gnome,knn
BONOBO-ACTIVATION_[WAS:_OAF]-338177,20,N,N,gnome,knn
BOOKWORM-124602,1,N,N,gnome,knn
BOOKWORM-124683,1,N,N,gnome,knn
BOUNTIES-169345,428,Y,N,gnome,knn
BRASERO-453273,106,N,Y,gnome,knn
BRASERO-520398,41,N,Y,gnome,knn
BRASERO-520986,47,N,N,gnome,knn
BRASERO-530407,37,N,Y,gnome,knn
BRASERO-588604,1,N,N,gnome,knn
BUG-BUDDY-104777,235,N,N,gnome,knn
BUG-BUDDY-117806,2,N,N,gnome,knn
BUG-BUDDY-337850,221,N,N,gnome,knn
BUG-BUDDY-517514,158,N,N,gnome,knn
BUG-BUDDY-78205,0,N,Y,gnome,knn
BUG-BUDDY-86404,48,N,Y,gnome,knn
BUGZILLA.GNOME.ORG-118572,240,N,N,gnome,knn
BUGZILLA.GNOME.ORG-138883,225,N,Y,gnome,knn
BUGZILLA.GNOME.ORG-140304,138,N,Y,gnome,knn
BUGZILLA.GNOME.ORG-156044,0,N,Y,gnome,knn
BUGZILLA.GNOME.ORG-324370,0,N,N,gnome,knn
BUGZILLA.GNOME.ORG-358443,0,N,Y,gnome,knn
BUGZILLA.GNOME.ORG-517909,49,N,Y,gnome,knn
BUGZILLA.GNOME.ORG-54798,91,N,N,gnome,knn
BUGZILLA.GNOME.ORG-744316,13,N,N,gnome,knn
CHEESE-527870,19,N,Y,gnome,knn
COGL-663127,2,N,N,gnome,knn
COGL-708825,62,N,N,gnome,knn
CONDUIT-524451,0,N,Y,gnome,knn
CONDUIT-525259,120,N,Y,gnome,knn
CONGLOMERATE-125454,1527,Y,N,gnome,knn
CONGLOMERATE-125883,12,N,N,gnome,knn
CRIAWIPS-330725,4,N,Y,gnome,knn
CRIAWIPS-433564,2,N,N,gnome,knn
CRIAWIPS-438525,0,N,Y,gnome,knn
DAMNED-LIES-501347,1,N,Y,gnome,knn
DAMNED-LIES-685633,2,N,Y,gnome,knn
DASHER-374456,0,N,Y,gnome,knn
DASHER-388198,15,N,N,gnome,knn
DESKBAR-APPLET-329490,0,N,N,gnome,knn
DESKBAR-APPLET-362746,0,N,N,gnome,knn
DESKBAR-APPLET-388963,15,N,N,gnome,knn
DESKBAR-APPLET-418014,282,N,N,gnome,knn
DESKBAR-APPLET-450960,229,N,N,gnome,knn
DESKBAR-APPLET-472134,36,N,N,gnome,knn
DESKBAR-APPLET-526574,1,N,N,gnome,knn
DESKTOP-FILE-UTILS-151708,593,Y,Y,gnome,knn
DEVHELP-109881,21,N,Y,gnome,knn
DEVHELP-409182,58,N,Y,gnome,knn
DEVHELP-508513,3,N,N,gnome,knn
DEVHELP-518281,264,N,Y,gnome,knn
DIA-112377,550,Y,N,gnome,knn
DIA-142524,196,N,Y,gnome,knn
DIA-172529,4,N,N,gnome,knn
DIA-300744,8,N,N,gnome,knn
DIA-334037,2,N,N,gnome,knn
DIA-340705,519,Y,Y,gnome,knn
DIA-349765,74,N,Y,gnome,knn
DIA-414733,1,N,N,gnome,knn
DIA-447094,57,N,Y,gnome,knn
DIA-462563,8,N,Y,gnome,knn
DIA-465623,15,N,N,gnome,knn
DIA-497070,145,N,N,gnome,knn
DIA-52857,44,N,Y,gnome,knn
DIA-547173,84,N,Y,gnome,knn
DIA-58882,3,N,Y,gnome,knn
DIA-99001,120,N,Y,gnome,knn
DOXYGEN-135889,174,N,N,gnome,knn
DOXYGEN-137842,126,N,Y,gnome,knn
DOXYGEN-151959,643,Y,N,gnome,knn
DOXYGEN-316944,754,Y,Y,gnome,knn
DOXYGEN-342946,17,N,Y,gnome,knn
DOXYGEN-348537,38,N,N,gnome,knn
DOXYGEN-357037,389,Y,N,gnome,knn
DOXYGEN-437218,79,N,Y,gnome,knn
DOXYGEN-465020,79,N,N,gnome,knn
DOXYGEN-476562,44,N,Y,gnome,knn
DOXYGEN-480722,31,N,Y,gnome,knn
DOXYGEN-509348,584,Y,Y,gnome,knn
DOXYGEN-513885,8,N,Y,gnome,knn
DOXYGEN-525143,49,N,Y,gnome,knn
EEL-150344,160,N,N,gnome,knn
EEL-169866,29,N,Y,gnome,knn
EEL-48219,1330,Y,Y,gnome,knn
EKIGA-133841,0,N,Y,gnome,knn
EKIGA-162449,169,N,Y,gnome,knn
EKIGA-162459,396,Y,N,gnome,knn
EKIGA-326506,2,N,Y,gnome,knn
EKIGA-328340,44,N,Y,gnome,knn
EKIGA-330034,1,N,Y,gnome,knn
EKIGA-346892,2,N,N,gnome,knn
EKIGA-369339,61,N,N,gnome,knn
EKIGA-466680,366,Y,N,gnome,knn
EKIGA-498082,0,N,N,gnome,knn
EKIGA-527763,21,N,N,gnome,knn
EKIGA-557402,36,N,N,gnome,knn
EKIGA-88323,328,N,N,gnome,knn
EMPATHY-459538,60,N,N,gnome,knn
EMPATHY-460621,7,N,Y,gnome,knn
EMPATHY-462057,2,N,Y,gnome,knn
EMPATHY-464954,43,N,N,gnome,knn
EMPATHY-646131,20,N,N,gnome,knn
EOG-116015,3,N,N,gnome,knn
EOG-159575,115,N,Y,gnome,knn
EOG-166849,2,N,N,gnome,knn
EOG-309376,6,N,N,gnome,knn
EOG-313674,73,N,Y,gnome,knn
EOG-314742,56,N,N,gnome,knn
EOG-323124,470,Y,N,gnome,knn
EOG-331971,1,N,N,gnome,knn
EOG-337642,227,N,N,gnome,knn
EOG-421452,95,N,Y,gnome,knn
EOG-424350,87,N,N,gnome,knn
EOG-83399,0,N,N,gnome,knn
EOG-84890,2,N,N,gnome,knn
EOG-88116,61,N,N,gnome,knn
EOG-96231,134,N,N,gnome,knn
EPIPHANY-102780,0,N,Y,gnome,knn
EPIPHANY-113897,13,N,Y,gnome,knn
EPIPHANY-115337,768,Y,N,gnome,knn
EPIPHANY-115933,0,N,N,gnome,knn
EPIPHANY-116613,14,N,N,gnome,knn
EPIPHANY-117874,0,N,N,gnome,knn
EPIPHANY-125770,85,N,N,gnome,knn
EPIPHANY-126397,0,N,N,gnome,knn
EPIPHANY-126571,0,N,Y,gnome,knn
EPIPHANY-128097,61,N,Y,gnome,knn
EPIPHANY-130990,406,Y,Y,gnome,knn
EPIPHANY-132240,331,N,Y,gnome,knn
EPIPHANY-134758,0,N,N,gnome,knn
EPIPHANY-141327,232,N,Y,gnome,knn
EPIPHANY-144121,626,Y,Y,gnome,knn
EPIPHANY-144224,84,N,Y,gnome,knn
EPIPHANY-168295,139,N,N,gnome,knn
EPIPHANY-171179,1060,Y,N,gnome,knn
EPIPHANY-306565,1,N,Y,gnome,knn
EPIPHANY-319301,0,N,Y,gnome,knn
EPIPHANY-321190,98,N,N,gnome,knn
EPIPHANY-325155,50,N,Y,gnome,knn
EPIPHANY-337852,2438,Y,Y,gnome,knn
EPIPHANY-344364,217,N,N,gnome,knn
EPIPHANY-361538,52,N,Y,gnome,knn
EPIPHANY-489321,1,N,N,gnome,knn
EPIPHANY-510694,82,N,N,gnome,knn
EPIPHANY-519370,0,N,N,gnome,knn
EPIPHANY-676043,5,N,Y,gnome,knn
EPIPHANY-791168,14,N,Y,gnome,knn
EPIPHANY-EXTENSIONS-144053,1,N,N,gnome,knn
