bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
ADDONS.MOZILLA.ORG_GRAVEYARD-276467,513,Y,Y,mozilla,knn
ADDONS.MOZILLA.ORG_GRAVEYARD-330242,384,Y,Y,mozilla,knn
ADDONS.MOZILLA.ORG_GRAVEYARD-343503,299,N,Y,mozilla,knn
ADDONS.MOZILLA.ORG_GRAVEYARD-343804,18,N,Y,mozilla,knn
ADDONS.MOZILLA.ORG_GRAVEYARD-370610,6,N,Y,mozilla,knn
ADDONS.MOZILLA.ORG_GRAVEYARD-431534,169,N,Y,mozilla,knn
ADDONS.MOZILLA.ORG_GRAVEYARD-479905,22,N,Y,mozilla,knn
BUGZILLA-124174,367,Y,N,mozilla,knn
BUGZILLA-133201,0,N,Y,mozilla,knn
BUGZILLA-236926,22,N,Y,mozilla,knn
BUGZILLA-337683,3,N,Y,mozilla,knn
BUGZILLA-351178,26,N,N,mozilla,knn
BUGZILLA-365035,9,N,N,mozilla,knn
BUGZILLA-65290,137,N,Y,mozilla,knn
BUGZILLA-99203,298,N,Y,mozilla,knn
BUGZILLA.MOZILLA.ORG-318635,4,N,Y,mozilla,knn
BUGZILLA.MOZILLA.ORG-334959,877,Y,N,mozilla,knn
BUGZILLA.MOZILLA.ORG-380213,8,N,Y,mozilla,knn
BUGZILLA.MOZILLA.ORG-508830,14,N,N,mozilla,knn
CALENDAR-247063,17,N,Y,mozilla,knn
CALENDAR-304486,227,N,Y,mozilla,knn
CALENDAR-351168,23,N,Y,mozilla,knn
CALENDAR-392028,2654,Y,N,mozilla,knn
CALENDAR-395617,319,N,N,mozilla,knn
CALENDAR-449031,1,N,Y,mozilla,knn
CAMINO_GRAVEYARD-232828,136,N,N,mozilla,knn
CAMINO_GRAVEYARD-239217,291,N,Y,mozilla,knn
CAMINO_GRAVEYARD-325873,679,Y,N,mozilla,knn
CAMINO_GRAVEYARD-364024,245,N,Y,mozilla,knn
CAMINO_GRAVEYARD-364252,541,Y,Y,mozilla,knn
CAMINO_GRAVEYARD-482182,16,N,Y,mozilla,knn
CAMINO_GRAVEYARD-491101,13,N,Y,mozilla,knn
CORE_GRAVEYARD-179361,11,N,N,mozilla,knn
CORE_GRAVEYARD-329522,28,N,Y,mozilla,knn
