tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
726,584,4,1248,Fold1,0.7704918032786885,0.9968051118210862,0.5541984732824428,0.7755017925517644,eclipse,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
763,546,0,1253,Fold2,0.7868852459016393,1,0.5828877005347594,0.7914438502673797,eclipse,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
725,585,1,1252,Fold3,0.7713616855247757,0.9992019154030327,0.5534351145038168,0.7763185149534247,eclipse,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
760,549,1,1252,Fold4,0.7853239656518345,0.9992019154030327,0.5805958747135218,0.7898988950582773,eclipse,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
761,548,0,1253,Fold5,0.7861046057767369,1,0.5813598166539343,0.7906799083269671,eclipse,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
0,0,0,0,Fold1,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
0,0,0,0,Fold1,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
0,0,0,0,Fold1,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
0,0,0,0,Fold1,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
0,0,0,0,Fold1,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
0,0,0,0,Fold1,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
616,694,204,1048,Fold1,0.6494925839188135,0.8370607028753994,0.47022900763358777,0.6536448552544936,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,adjust,144,2
