tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
546,701,34,1183,Fold1,0.7017045454545454,0.9720624486442071,0.43785084202085006,0.7049566453325286,gcc,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
516,730,32,1185,Fold2,0.6906211936662606,0.9737058340180772,0.41412520064205455,0.6939155173300658,gcc,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
576,671,29,1188,Fold3,0.7159090909090909,0.9761709120788825,0.4619085805934242,0.7190397463361533,gcc,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
571,676,32,1185,Fold4,0.7126623376623377,0.9737058340180772,0.4578989574979952,0.7158023957580362,gcc,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
547,699,18,1199,Fold5,0.7088915956151035,0.9852095316351684,0.4390048154093098,0.7121071735222391,gcc,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
1113,134,149,1068,Fold1,0.8851461038961039,0.8775677896466721,0.892542101042502,0.8850549453445871,gcc,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1113,133,137,1080,Fold2,0.8903775883069428,0.8874281018898932,0.8932584269662921,0.8903432644280926,gcc,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1104,143,150,1067,Fold3,0.8810876623376623,0.876746096959737,0.8853247794707297,0.8810354382152334,gcc,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1099,148,128,1089,Fold4,0.887987012987013,0.8948233360723089,0.8813151563753007,0.8880692462238048,gcc,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1098,148,127,1090,Fold5,0.8883475436459602,0.895645028759244,0.8812199036918138,0.888432466225529,gcc,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
1148,99,21,1196,Fold1,0.9512987012987013,0.9827444535743632,0.9206094627105053,0.9516769581424342,gcc,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1157,89,30,1187,Fold2,0.9516849370686155,0.9753492193919474,0.9285714285714286,0.9519603239816881,gcc,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1167,80,19,1198,Fold3,0.9598214285714286,0.9843878389482333,0.9358460304731355,0.9601169347106844,gcc,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1153,94,35,1182,Fold4,0.9476461038961039,0.971240755957272,0.9246190858059342,0.9479299208816031,gcc,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
1162,84,24,1193,Fold5,0.9561510353227771,0.9802793755135579,0.9325842696629213,0.9564318225882396,gcc,svm,smote,repeatedcv5x2,Accuracy,100,long_description,365,sigma,0.03125,C,32,144,3
