tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
63,26,43,19,Fold1,0.543046357615894,0.3064516129032258,0.7078651685393258,0.5071583907212758,winehq,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
56,32,39,23,Fold2,0.5266666666666666,0.3709677419354839,0.6363636363636364,0.5036656891495601,winehq,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
59,29,45,17,Fold3,0.5066666666666667,0.27419354838709675,0.6704545454545454,0.4723240469208211,winehq,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
63,25,36,25,Fold4,0.5906040268456376,0.4098360655737705,0.7159090909090909,0.5628725782414308,winehq,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
56,32,38,24,Fold5,0.5333333333333333,0.3870967741935484,0.6363636363636364,0.5117302052785924,winehq,knn,smote,repeatedcv5x2,Accuracy,100,long_description,365,k,5,,0,144,1
70,19,42,20,Fold1,0.5960264900662252,0.3225806451612903,0.7865168539325843,0.5545487495469373,winehq,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
65,23,35,27,Fold2,0.6133333333333333,0.43548387096774194,0.7386363636363636,0.5870601173020528,winehq,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
61,27,40,22,Fold3,0.5533333333333333,0.3548387096774194,0.6931818181818182,0.5240102639296188,winehq,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
59,29,44,17,Fold4,0.5100671140939598,0.2786885245901639,0.6704545454545454,0.47457153502235466,winehq,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
60,28,42,20,Fold5,0.5333333333333333,0.3225806451612903,0.6818181818181818,0.5021994134897361,winehq,rf,smote,repeatedcv5x2,Accuracy,100,long_description,365,mtry,25,"NA",0,144,2
