bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
CAIRO-10175,0,N,Y,freedesktop,nb
CAIRO-14725,0,N,N,freedesktop,nb
CAIRO-15628,206,N,N,freedesktop,nb
CAIRO-16116,559,Y,Y,freedesktop,nb
CAIRO-2336,5,N,N,freedesktop,nb
CAIRO-2379,1354,Y,Y,freedesktop,nb
CAIRO-39654,1,N,Y,freedesktop,nb
DBUS-102558,47,N,N,freedesktop,nb
DBUS-10279,0,N,N,freedesktop,nb
DBUS-13387,256,N,N,freedesktop,nb
DBUS-6043,106,N,Y,freedesktop,nb
DBUS-894,55,N,Y,freedesktop,nb
DBUS-9280,306,N,Y,freedesktop,nb
DESKTOP-FILE-UTILS-66907,4,N,N,freedesktop,nb
DRI-100975,4,N,Y,freedesktop,nb
DRI-103370,146,N,N,freedesktop,nb
DRI-104289,296,N,Y,freedesktop,nb
DRI-104773,8,N,N,freedesktop,nb
DRI-104834,226,N,N,freedesktop,nb
DRI-106706,156,N,N,freedesktop,nb
DRI-109469,11,N,Y,freedesktop,nb
DRI-109481,2,N,N,freedesktop,nb
DRI-109823,11,N,Y,freedesktop,nb
DRI-16106,30,N,N,freedesktop,nb
DRI-16702,1611,Y,N,freedesktop,nb
DRI-2747,1,N,N,freedesktop,nb
DRI-35781,2,N,Y,freedesktop,nb
DRI-45801,147,N,N,freedesktop,nb
DRI-48950,6,N,N,freedesktop,nb
DRI-61158,79,N,N,freedesktop,nb
DRI-68708,3,N,N,freedesktop,nb
DRI-77867,13,N,N,freedesktop,nb
DRI-83038,15,N,Y,freedesktop,nb
DRI-83788,0,N,Y,freedesktop,nb
DRI-83866,641,Y,N,freedesktop,nb
DRI-85301,153,N,Y,freedesktop,nb
DRI-86201,36,N,N,freedesktop,nb
DRI-87888,0,N,N,freedesktop,nb
DRI-88493,195,N,Y,freedesktop,nb
DRI-89036,35,N,N,freedesktop,nb
DRI-89835,2,N,N,freedesktop,nb
DRI-93217,135,N,Y,freedesktop,nb
DRI-93248,0,N,Y,freedesktop,nb
DRI-95253,9,N,N,freedesktop,nb
DRI-96983,265,N,N,freedesktop,nb
DRI-97130,369,Y,N,freedesktop,nb
FARSTREAM-10963,85,N,Y,freedesktop,nb
FARSTREAM-35908,0,N,N,freedesktop,nb
FONTCONFIG-101258,1,N,Y,freedesktop,nb
FONTCONFIG-95481,8,N,N,freedesktop,nb
FONTCONFIG-96676,13,N,Y,freedesktop,nb
FREEDESKTOP.ORG-10063,188,N,N,freedesktop,nb
FREEDESKTOP.ORG-106815,15,N,N,freedesktop,nb
FREEDESKTOP.ORG-16062,5,N,N,freedesktop,nb
FREEDESKTOP.ORG-1953,54,N,N,freedesktop,nb
FREEDESKTOP.ORG-27389,13,N,N,freedesktop,nb
FREEDESKTOP.ORG-29332,283,N,N,freedesktop,nb
FREEDESKTOP.ORG-34550,21,N,Y,freedesktop,nb
FREEDESKTOP.ORG-47831,22,N,N,freedesktop,nb
FREEDESKTOP.ORG-56052,41,N,N,freedesktop,nb
FREEDESKTOP.ORG-77871,26,N,N,freedesktop,nb
FREEDESKTOP.ORG-90834,107,N,N,freedesktop,nb
FREEDESKTOP.ORG-9330,2,N,N,freedesktop,nb
GALAGO-5505,8,N,N,freedesktop,nb
GEOCLUE-14986,0,N,N,freedesktop,nb
HAL-2547,55,N,N,freedesktop,nb
LIBREOFFICE-32173,3,N,N,freedesktop,nb
LIBREOFFICE-33382,2,N,N,freedesktop,nb
LIBREOFFICE-36631,91,N,N,freedesktop,nb
LIBREOFFICE-36950,173,N,Y,freedesktop,nb
LIBREOFFICE-37764,10,N,N,freedesktop,nb
LIBREOFFICE-38963,7,N,N,freedesktop,nb
LIBREOFFICE-40579,0,N,N,freedesktop,nb
LIBREOFFICE-44065,16,N,N,freedesktop,nb
LIBREOFFICE-44983,0,N,N,freedesktop,nb
LIBREOFFICE-46112,111,N,N,freedesktop,nb
LIBREOFFICE-46113,55,N,Y,freedesktop,nb
LIBREOFFICE-46816,1,N,N,freedesktop,nb
LIBREOFFICE-47450,27,N,N,freedesktop,nb
LIBREOFFICE-48081,949,Y,N,freedesktop,nb
LIBREOFFICE-49683,0,N,N,freedesktop,nb
LIBREOFFICE-51569,26,N,Y,freedesktop,nb
LIBREOFFICE-52461,568,Y,N,freedesktop,nb
LIBREOFFICE-56515,129,N,Y,freedesktop,nb
LIBREOFFICE-56886,104,N,Y,freedesktop,nb
LIBREOFFICE-57520,26,N,Y,freedesktop,nb
LIBREOFFICE-58196,6,N,N,freedesktop,nb
LIBREOFFICE-63133,103,N,N,freedesktop,nb
LIBREOFFICE-65257,1,N,N,freedesktop,nb
LIBREOFFICE-65653,20,N,N,freedesktop,nb
LIBREOFFICE-66288,1,N,N,freedesktop,nb
LIBREOFFICE-67810,10,N,Y,freedesktop,nb
LIBREOFFICE-68748,76,N,N,freedesktop,nb
LIBREOFFICE-69309,162,N,N,freedesktop,nb
LIBREOFFICE-72520,72,N,N,freedesktop,nb
LIBREOFFICE-74050,191,N,N,freedesktop,nb
LIBREOFFICE-76591,14,N,N,freedesktop,nb
LIBREOFFICE-78689,11,N,Y,freedesktop,nb
