tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
63,55,23,81,Fold1,0.6486486486486487,0.7788461538461539,0.5338983050847458,0.6563722294654498,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NA,0,0,0,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
65,54,21,83,Fold2,0.6636771300448431,0.7980769230769231,0.5462184873949579,0.6721477052359406,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold2,NA,0,0,0,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
67,52,19,85,Fold3,0.6816143497757847,0.8173076923076923,0.5630252100840336,0.690166451195863,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold3,NA,0,0,0,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
71,48,26,78,Fold4,0.6681614349775785,0.75,0.5966386554621849,0.6733193277310925,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold4,NA,0,0,0,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
75,43,19,85,Fold5,0.7207207207207207,0.8173076923076923,0.635593220338983,0.7264504563233376,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold5,NA,0,0,0,mozilla,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
