bug_id,bug_fix_time,long_lived,y_hat,project_name,parameter$classifier
CLASSPATH-17008,342,N,Y,gcc,nb
CLASSPATH-17060,337,N,Y,gcc,nb
CLASSPATH-22567,5,N,Y,gcc,nb
CLASSPATH-22652,1069,Y,Y,gcc,nb
CLASSPATH-22699,673,Y,Y,gcc,nb
CLASSPATH-22704,642,Y,N,gcc,nb
CLASSPATH-22706,642,Y,N,gcc,nb
CLASSPATH-22709,632,Y,N,gcc,nb
CLASSPATH-22715,578,Y,Y,gcc,nb
CLASSPATH-22734,461,Y,N,gcc,nb
CLASSPATH-22755,390,Y,Y,gcc,nb
CLASSPATH-22757,388,Y,N,gcc,nb
CLASSPATH-22769,348,N,N,gcc,nb
CLASSPATH-22780,316,N,N,gcc,nb
CLASSPATH-22827,205,N,N,gcc,nb
CLASSPATH-22833,195,N,N,gcc,nb
CLASSPATH-22835,191,N,N,gcc,nb
CLASSPATH-22926,106,N,N,gcc,nb
CLASSPATH-22936,79,N,N,gcc,nb
CLASSPATH-22942,73,N,N,gcc,nb
CLASSPATH-22966,99,N,N,gcc,nb
CLASSPATH-22973,48,N,N,gcc,nb
CLASSPATH-22993,64,N,Y,gcc,nb
CLASSPATH-23006,83,N,N,gcc,nb
CLASSPATH-23024,46,N,Y,gcc,nb
CLASSPATH-23121,8,N,Y,gcc,nb
CLASSPATH-23252,3,N,Y,gcc,nb
CLASSPATH-23893,4,N,N,gcc,nb
CLASSPATH-23916,10,N,N,gcc,nb
CLASSPATH-24099,246,N,N,gcc,nb
CLASSPATH-24216,216,N,Y,gcc,nb
CLASSPATH-24723,443,Y,N,gcc,nb
CLASSPATH-24876,76,N,N,gcc,nb
CLASSPATH-25164,7,N,Y,gcc,nb
CLASSPATH-25389,1,N,Y,gcc,nb
CLASSPATH-25727,1,N,N,gcc,nb
CLASSPATH-25837,4,N,Y,gcc,nb
CLASSPATH-25843,72,N,Y,gcc,nb
CLASSPATH-26082,25,N,N,gcc,nb
CLASSPATH-26368,103,N,Y,gcc,nb
CLASSPATH-26627,6,N,Y,gcc,nb
CLASSPATH-26645,3,N,N,gcc,nb
CLASSPATH-26688,1,N,N,gcc,nb
CLASSPATH-26736,6,N,Y,gcc,nb
CLASSPATH-26803,21,N,Y,gcc,nb
CLASSPATH-27375,3,N,N,gcc,nb
CLASSPATH-27429,33,N,N,gcc,nb
CLASSPATH-27455,1,N,N,gcc,nb
CLASSPATH-27484,0,N,N,gcc,nb
CLASSPATH-27605,80,N,Y,gcc,nb
CLASSPATH-27632,35,N,N,gcc,nb
CLASSPATH-27902,2,N,N,gcc,nb
